单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
上海青(份),花叶类,2021-12-16,18:53:54.592,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-16,19:34:55.683,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-16,21:18:33.576,1.0,1.5,销售,是
上海青(份),花叶类,2021-12-16,21:18:45.201,1.0,1.5,销售,是
上海青(份),花叶类,2021-12-17,16:06:04.942,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-17,21:37:08.562,1.0,1.5,销售,是
上海青(份),花叶类,2021-12-18,09:41:57.842,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-18,18:11:53.608,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-23,15:51:01.420,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-23,18:58:08.655,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-23,19:52:20.748,1.0,1.5,销售,是
上海青(份),花叶类,2021-12-23,20:02:01.951,1.0,1.5,销售,是
上海青(份),花叶类,2021-12-24,16:15:19.295,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-24,18:57:13.967,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-24,19:56:21.286,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-24,19:56:21.480,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-24,19:56:21.677,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-24,21:30:25.545,1.0,1.5,销售,是
上海青(份),花叶类,2021-12-25,10:34:15.703,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-25,10:52:19.389,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-25,13:55:46.122,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-25,13:55:46.313,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-25,13:55:46.520,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-25,16:54:31.660,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-25,18:02:09.463,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-25,21:06:37.170,1.0,1.5,销售,是
上海青(份),花叶类,2021-12-25,21:06:40.045,1.0,1.5,销售,是
上海青(份),花叶类,2021-12-25,21:16:42.100,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-25,21:16:43.181,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-26,09:39:18.108,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-26,10:07:06.123,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-26,10:50:29.123,1.0,2.5,销售,否
上海青(份),花叶类,2021-12-26,11:09:16.796,1.0,2.5,销售,否
