单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
丝瓜尖,花叶类,2021-02-05,10:15:11.004,0.461,10.0,销售,否
丝瓜尖,花叶类,2021-02-05,12:50:53.014,0.291,10.0,销售,否
丝瓜尖,花叶类,2021-02-05,20:26:00.780,0.421,10.0,销售,否
丝瓜尖,花叶类,2021-02-06,17:52:50.934,0.411,10.0,销售,否
丝瓜尖,花叶类,2021-02-07,13:13:32.967,0.421,10.0,销售,否
丝瓜尖,花叶类,2021-02-07,16:49:18.843,0.381,10.0,销售,否
丝瓜尖,花叶类,2021-02-07,16:49:18.915,0.421,10.0,销售,否
丝瓜尖,花叶类,2021-02-08,18:34:11.709,0.361,10.0,销售,否
丝瓜尖,花叶类,2021-02-08,18:34:11.906,0.351,10.0,销售,否
丝瓜尖,花叶类,2021-02-09,12:53:27.280,0.351,10.0,销售,否
丝瓜尖,花叶类,2021-02-09,12:53:27.471,0.361,10.0,销售,否
丝瓜尖,花叶类,2021-06-24,10:47:23.948,0.379,14.0,销售,否
丝瓜尖,花叶类,2021-06-24,11:08:53.076,0.515,14.0,销售,否
丝瓜尖,花叶类,2021-06-24,15:09:57.741,0.444,14.0,销售,否
丝瓜尖,花叶类,2021-06-24,16:32:05.639,0.444,14.0,销售,否
丝瓜尖,花叶类,2021-06-24,16:59:44.885,0.422,14.0,销售,否
丝瓜尖,花叶类,2021-06-24,17:07:50.717,0.401,14.0,销售,否
丝瓜尖,花叶类,2021-06-24,18:09:04.043,0.408,14.0,销售,否
丝瓜尖,花叶类,2021-06-25,09:49:39.998,0.537,14.0,销售,否
丝瓜尖,花叶类,2021-06-25,10:19:32.958,0.858,14.0,销售,否
丝瓜尖,花叶类,2022-03-04,14:59:50.951,0.353,49.6,销售,否
丝瓜尖,花叶类,2022-03-14,11:22:59.509,0.294,29.6,销售,否
丝瓜尖,花叶类,2022-03-16,12:03:23.201,0.449,29.6,销售,否
丝瓜尖,花叶类,2022-03-17,10:02:22.965,0.449,29.6,销售,否
丝瓜尖,花叶类,2022-03-20,10:41:59.983,0.497,29.6,销售,否
丝瓜尖,花叶类,2022-04-03,11:31:03.545,0.379,25.8,销售,否
丝瓜尖,花叶类,2022-04-08,10:49:30.389,0.32,25.8,销售,否
丝瓜尖,花叶类,2022-04-10,10:12:02.342,0.294,29.6,销售,否
丝瓜尖,花叶类,2022-04-10,11:16:25.608,0.382,29.6,销售,否
丝瓜尖,花叶类,2022-04-12,15:39:52.532,0.321,29.6,销售,否
丝瓜尖,花叶类,2022-04-12,20:09:05.041,0.324,29.6,销售,否
丝瓜尖,花叶类,2022-04-20,15:39:46.749,0.26,29.6,销售,否
丝瓜尖,花叶类,2023-02-22,12:41:50.905,0.402,39.6,销售,否
丝瓜尖,花叶类,2023-02-25,10:33:31.889,0.432,39.6,销售,否
丝瓜尖,花叶类,2023-02-25,18:23:04.612,0.432,39.6,销售,否
