单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
冰草(盒),花叶类,2022-12-08,11:31:25.068,1.0,6.9,销售,否
冰草(盒),花叶类,2023-02-10,10:06:35.104,1.0,9.9,销售,否
冰草(盒),花叶类,2023-02-12,16:13:01.64,1.0,9.9,销售,否
冰草(盒),花叶类,2023-02-16,14:16:33.944,1.0,9.9,销售,否
冰草(盒),花叶类,2023-02-17,19:45:31.166,1.0,9.9,销售,否
冰草(盒),花叶类,2023-02-19,13:36:55.025,1.0,9.9,销售,否
冰草(盒),花叶类,2023-02-19,21:18:45.889,1.0,9.9,销售,否
冰草(盒),花叶类,2023-02-23,19:44:31.389,1.0,11.8,销售,否
冰草(盒),花叶类,2023-02-26,17:03:20.139,1.0,11.8,销售,否
冰草(盒),花叶类,2023-02-28,19:24:19.066,1.0,11.8,销售,否
冰草(盒),花叶类,2023-03-03,15:19:00.973,1.0,11.8,销售,否
冰草(盒),花叶类,2023-03-03,18:45:42.311,1.0,11.8,销售,否
冰草(盒),花叶类,2023-03-04,11:35:38.266,1.0,11.8,销售,否
冰草(盒),花叶类,2023-03-07,18:31:45.756,1.0,5.9,销售,是
冰草(盒),花叶类,2023-03-07,19:39:37.217,1.0,5.9,销售,是
冰草(盒),花叶类,2023-03-09,16:35:18.78,1.0,11.8,销售,否
冰草(盒),花叶类,2023-03-09,19:56:14.358,1.0,7.1,销售,是
冰草(盒),花叶类,2023-03-17,10:34:54.736,1.0,11.8,销售,否
冰草(盒),花叶类,2023-03-22,19:39:43.827,1.0,5.9,销售,是
冰草(盒),花叶类,2023-03-31,16:09:35.905,1.0,9.8,销售,否
冰草(盒),花叶类,2023-03-31,16:31:41.602,1.0,9.8,销售,否
冰草(盒),花叶类,2023-04-03,10:46:30.179,1.0,9.8,销售,否
冰草(盒),花叶类,2023-04-03,13:09:45.02,1.0,9.8,销售,否
冰草(盒),花叶类,2023-04-18,20:26:42.229,1.0,3.6,销售,是
冰草(盒),花叶类,2023-04-24,21:28:52.408,1.0,3.6,销售,是
冰草(盒),花叶类,2023-04-27,15:16:34.019,1.0,6.0,销售,否
冰草(盒),花叶类,2023-05-04,20:26:36.123,1.0,7.0,销售,是
冰草(盒),花叶类,2023-05-30,19:41:25.342,1.0,7.0,销售,否
冰草(盒),花叶类,2023-06-17,20:57:04.034,1.0,3.5,销售,是
