单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
冰草,花叶类,2021-06-23,09:38:12.268,0.444,14.0,销售,否
冰草,花叶类,2021-06-23,19:54:20.049,0.322,14.0,销售,否
冰草,花叶类,2021-06-24,09:28:47.371,0.122,14.0,销售,否
冰草,花叶类,2021-06-24,12:23:43.832,0.157,14.0,销售,否
冰草,花叶类,2021-06-24,15:55:40.247,0.336,14.0,销售,否
冰草,花叶类,2021-06-24,18:21:29.920,0.179,14.0,销售,否
冰草,花叶类,2021-06-24,19:44:06.626,0.157,14.0,销售,否
冰草,花叶类,2021-06-26,10:24:48.139,0.229,14.0,销售,否
冰草,花叶类,2021-06-29,18:39:36.901,0.222,14.0,销售,否
冰草,花叶类,2021-07-01,09:59:59.155,0.143,14.0,销售,否
冰草,花叶类,2021-07-02,10:24:40.780,0.279,14.0,销售,否
冰草,花叶类,2021-07-02,10:56:52.093,0.265,14.0,销售,否
冰草,花叶类,2021-07-02,11:06:17.358,0.465,14.0,销售,否
冰草,花叶类,2021-07-02,11:46:19.920,0.243,14.0,销售,否
冰草,花叶类,2021-07-02,16:12:45.639,0.351,14.0,销售,否
冰草,花叶类,2021-07-03,09:36:49.248,0.465,14.0,销售,否
冰草,花叶类,2021-07-03,17:01:58.244,0.193,14.0,销售,否
冰草,花叶类,2021-07-03,17:23:39.061,0.379,14.0,销售,否
冰草,花叶类,2021-07-03,17:44:53.576,0.644,14.0,销售,否
冰草,花叶类,2021-07-03,18:57:40.405,0.229,14.0,销售,否
冰草,花叶类,2021-07-04,11:47:57.467,0.25,14.0,销售,否
冰草,花叶类,2021-07-05,20:06:58.201,0.215,14.0,销售,否
冰草,花叶类,2021-07-06,18:18:22.617,0.229,14.0,销售,否
冰草,花叶类,2021-07-06,18:19:04.325,0.393,14.0,销售,否
冰草,花叶类,2021-07-07,10:28:35.632,0.229,14.0,销售,否
冰草,花叶类,2021-07-07,10:46:59.623,0.622,14.0,销售,否
冰草,花叶类,2021-07-07,15:56:59.467,0.3,14.0,销售,否
冰草,花叶类,2021-07-07,18:13:57.457,0.315,14.0,销售,否
冰草,花叶类,2021-07-10,09:09:05.280,1.23,14.0,销售,否
冰草,花叶类,2021-07-10,09:19:02.998,0.515,14.0,销售,否
冰草,花叶类,2021-07-10,09:35:47.253,0.515,14.0,销售,否
冰草,花叶类,2021-07-10,10:05:45.990,0.329,14.0,销售,否
冰草,花叶类,2021-07-10,10:08:24.126,0.522,14.0,销售,否
冰草,花叶类,2021-07-10,12:48:12.436,0.293,14.0,销售,否
冰草,花叶类,2021-07-10,13:06:24.889,0.401,14.0,销售,否
冰草,花叶类,2021-07-10,19:46:26.039,0.25,14.0,销售,否
冰草,花叶类,2021-07-15,10:54:28.874,0.184,12.0,销售,否
冰草,花叶类,2021-07-15,11:34:47.451,0.175,12.0,销售,否
冰草,花叶类,2021-07-15,13:05:45.170,0.501,12.0,销售,否
冰草,花叶类,2021-07-15,17:30:58.577,0.2,12.0,销售,否
冰草,花叶类,2021-07-18,10:37:46.842,0.334,12.0,销售,否
冰草,花叶类,2021-07-18,11:07:57.020,0.292,12.0,销售,否
冰草,花叶类,2021-07-18,13:39:19.651,0.134,12.0,销售,否
冰草,花叶类,2021-07-18,16:44:05.867,0.159,12.0,销售,否
冰草,花叶类,2021-07-21,09:49:30.796,0.294,16.0,销售,否
冰草,花叶类,2021-07-22,09:55:36.811,0.2,16.0,销售,否
冰草,花叶类,2021-07-22,13:29:38.436,1.114,16.0,销售,否
冰草,花叶类,2022-02-04,11:57:36.639,0.318,19.8,销售,否
