单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
双孢菇(盒),食用菌,2022-05-25,12:04:59.170,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-25,13:45:14.898,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-25,15:02:58.406,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-25,15:23:14.569,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-25,17:02:29.399,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-25,18:33:01.183,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-26,09:41:02.780,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-26,11:05:29.536,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-26,17:33:36.540,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-26,19:46:46.735,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-28,09:40:50.546,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-28,10:32:10.245,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-28,11:03:49.999,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-28,11:11:44.943,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-28,11:53:21.530,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-28,11:59:15.843,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-28,12:04:31.701,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-28,17:21:19.733,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-28,20:56:38.045,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-29,09:49:29.978,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-29,09:52:00.517,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-29,10:55:39.451,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-29,11:05:04.712,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-29,13:01:48.201,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-29,14:35:32.295,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-29,15:19:09.733,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-29,18:45:17.208,1.0,5.9,销售,否
双孢菇(盒),食用菌,2022-05-29,19:17:37.284,1.0,5.9,销售,否
