单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
圆茄子(1),茄类,2022-09-06,09:27:48.362,0.426,5.2,销售,否
圆茄子(1),茄类,2022-09-06,09:27:48.575,0.426,5.2,销售,否
圆茄子(1),茄类,2022-09-06,09:54:05.898,0.485,5.2,销售,否
圆茄子(1),茄类,2022-09-06,10:17:28.832,0.388,5.2,销售,否
圆茄子(1),茄类,2022-09-06,10:42:54.338,0.407,5.2,销售,否
圆茄子(1),茄类,2022-09-06,11:05:36.909,0.446,5.2,销售,否
圆茄子(1),茄类,2022-09-06,13:56:55.373,0.426,5.2,销售,否
圆茄子(1),茄类,2022-09-06,19:47:17.707,0.368,5.2,销售,否
圆茄子(1),茄类,2022-09-06,19:57:30.011,0.465,5.2,销售,否
圆茄子(1),茄类,2022-09-06,20:41:39.092,0.446,5.2,销售,否
圆茄子(1),茄类,2022-09-07,10:17:50.383,0.368,5.2,销售,否
圆茄子(1),茄类,2022-09-09,13:16:19.951,0.33,5.2,销售,否
