单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
大芥兰,花叶类,2021-07-18,11:05:02.140,0.501,7.0,销售,否
大芥兰,花叶类,2021-07-18,17:31:55.034,0.745,7.0,销售,否
大芥兰,花叶类,2021-07-18,20:16:56.045,1.567,3.0,销售,是
大芥兰,花叶类,2021-07-18,21:08:06.780,0.567,3.0,销售,是
大芥兰,花叶类,2021-07-18,21:29:17.248,1.1,3.0,销售,是
大芥兰,花叶类,2021-07-18,21:40:02.436,0.467,3.0,销售,是
大芥兰,花叶类,2021-07-19,20:23:25.045,0.367,3.0,销售,是
大芥兰,花叶类,2021-07-19,20:31:22.242,0.8,3.0,销售,是
大芥兰,花叶类,2021-07-19,21:03:17.092,0.533,3.0,销售,是
大芥兰,花叶类,2021-07-19,21:37:33.071,0.833,3.0,销售,是
