单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
大龙茄子,茄类,2020-07-05,09:38:13.447,0.417,12.0,销售,否
大龙茄子,茄类,2020-07-05,10:15:18.962,0.509,12.0,销售,否
大龙茄子,茄类,2020-07-05,10:28:34.130,0.276,12.0,销售,否
大龙茄子,茄类,2020-07-05,10:53:20.148,0.509,12.0,销售,否
大龙茄子,茄类,2020-07-05,10:53:30.030,0.417,12.0,销售,否
大龙茄子,茄类,2020-07-05,11:01:07.608,0.259,12.0,销售,否
大龙茄子,茄类,2020-07-05,11:02:37.816,0.209,12.0,销售,否
大龙茄子,茄类,2020-07-05,11:21:53.326,0.559,12.0,销售,否
大龙茄子,茄类,2020-07-05,11:49:41.436,0.309,12.0,销售,否
大龙茄子,茄类,2020-07-05,12:08:28.983,0.334,12.0,销售,否
大龙茄子,茄类,2020-07-05,12:12:47.092,0.501,12.0,销售,否
大龙茄子,茄类,2020-07-05,13:24:39.784,0.484,12.0,销售,否
大龙茄子,茄类,2020-07-05,13:38:30.115,1.01,12.0,销售,否
大龙茄子,茄类,2020-07-05,14:37:08.014,0.576,12.0,销售,否
大龙茄子,茄类,2020-07-05,15:42:13.686,0.401,11.7,销售,是
大龙茄子,茄类,2020-07-05,16:10:08.352,0.459,12.0,销售,否
大龙茄子,茄类,2020-07-05,16:58:13.701,0.601,12.0,销售,否
大龙茄子,茄类,2020-07-05,17:11:36.233,0.326,12.0,销售,否
大龙茄子,茄类,2020-07-05,17:15:40.780,0.217,12.0,销售,否
大龙茄子,茄类,2020-07-05,18:38:34.361,0.434,12.0,销售,否
大龙茄子,茄类,2020-07-05,19:12:55.623,0.326,12.0,销售,否
大龙茄子,茄类,2020-07-05,19:29:18.416,0.384,12.0,销售,否
大龙茄子,茄类,2020-07-05,20:11:47.436,0.568,12.0,销售,否
大龙茄子,茄类,2020-07-05,21:11:30.649,0.342,12.0,销售,否
大龙茄子,茄类,2020-07-06,09:47:17.138,0.367,12.0,销售,否
大龙茄子,茄类,2020-07-06,09:55:43.592,0.609,12.0,销售,否
大龙茄子,茄类,2020-07-06,10:58:12.155,0.785,12.0,销售,否
大龙茄子,茄类,2020-07-06,11:16:03.030,0.367,12.0,销售,否
大龙茄子,茄类,2020-07-06,11:49:30.264,0.71,12.0,销售,否
大龙茄子,茄类,2020-07-06,15:04:09.014,0.242,12.0,销售,否
大龙茄子,茄类,2020-07-06,16:52:43.123,0.225,12.0,销售,否
大龙茄子,茄类,2020-07-06,17:50:25.795,0.584,12.0,销售,否
大龙茄子,茄类,2020-07-06,19:04:17.352,0.292,12.0,销售,否
大龙茄子,茄类,2020-07-06,20:13:38.875,0.442,12.0,销售,否
大龙茄子,茄类,2020-07-06,20:15:30.400,0.184,12.0,销售,否
大龙茄子,茄类,2020-07-06,20:47:59.686,0.526,12.0,销售,否
大龙茄子,茄类,2020-07-09,09:22:18.561,0.551,12.0,销售,否
大龙茄子,茄类,2020-07-09,10:32:16.530,0.417,12.0,销售,否
大龙茄子,茄类,2020-07-09,11:38:09.670,0.826,12.0,销售,否
大龙茄子,茄类,2020-07-09,13:08:00.596,0.367,12.0,销售,否
大龙茄子,茄类,2020-07-09,15:04:27.478,0.701,12.0,销售,否
大龙茄子,茄类,2020-07-09,15:18:03.498,0.685,12.0,销售,否
大龙茄子,茄类,2020-07-09,16:44:06.325,0.693,12.0,销售,否
大龙茄子,茄类,2020-07-09,17:38:40.234,0.326,12.0,销售,否
大龙茄子,茄类,2020-07-09,18:21:18.550,0.426,12.0,销售,否
大龙茄子,茄类,2020-07-09,19:57:11.958,0.501,12.0,销售,否
大龙茄子,茄类,2020-07-09,20:09:10.842,1.327,12.0,销售,否
大龙茄子,茄类,2020-07-09,20:16:16.080,0.451,12.0,销售,否
大龙茄子,茄类,2020-07-09,20:26:35.188,0.484,12.0,销售,否
大龙茄子,茄类,2020-07-10,11:09:10.749,1.018,12.0,销售,否
大龙茄子,茄类,2020-07-10,11:56:14.442,0.409,12.0,销售,否
大龙茄子,茄类,2020-07-10,12:41:16.209,0.359,12.0,销售,否
大龙茄子,茄类,2020-07-10,13:27:05.451,0.668,12.0,销售,否
大龙茄子,茄类,2020-07-10,15:15:12.373,0.768,12.0,销售,否
大龙茄子,茄类,2020-07-10,15:45:42.514,0.376,10.8,销售,是
大龙茄子,茄类,2020-07-10,17:08:36.189,0.467,12.0,销售,否
大龙茄子,茄类,2020-07-10,17:19:08.301,0.676,12.0,销售,否
大龙茄子,茄类,2020-07-10,17:23:48.205,0.392,12.0,销售,否
大龙茄子,茄类,2020-07-10,18:36:11.878,0.284,12.0,销售,否
大龙茄子,茄类,2020-07-10,18:46:15.734,0.334,12.0,销售,否
大龙茄子,茄类,2020-07-10,18:52:35.873,0.735,12.0,销售,否
大龙茄子,茄类,2020-07-10,19:13:49.475,0.301,12.0,销售,否
大龙茄子,茄类,2020-07-10,20:02:51.620,0.259,12.0,销售,否
大龙茄子,茄类,2020-07-12,09:52:47.733,0.561,10.0,销售,否
大龙茄子,茄类,2020-07-12,10:10:40.726,0.471,10.0,销售,否
大龙茄子,茄类,2020-07-12,10:24:24.045,0.291,7.1,销售,是
