单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
奶白菜苗,花叶类,2021-07-21,10:38:49.505,0.461,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,10:58:22.348,0.451,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,14:13:54.201,0.812,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,14:28:39.793,0.2,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,14:46:23.108,0.431,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,16:36:05.092,0.361,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,16:36:48.700,0.351,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,18:01:57.436,0.291,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,18:35:59.717,0.12,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,19:06:17.670,0.321,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,19:33:37.405,0.651,10.0,销售,否
奶白菜苗,花叶类,2021-07-21,19:45:51.961,0.16,10.0,销售,否
奶白菜苗,花叶类,2021-07-22,11:02:19.264,0.651,10.0,销售,否
奶白菜苗,花叶类,2021-07-22,11:06:51.184,0.361,10.0,销售,否
奶白菜苗,花叶类,2021-07-22,11:26:59.514,0.902,10.0,销售,否
奶白菜苗,花叶类,2021-07-22,11:39:55.797,0.621,10.0,销售,否
奶白菜苗,花叶类,2021-07-22,16:56:01.186,0.371,10.0,销售,否
奶白菜苗,花叶类,2021-07-22,17:06:23.237,0.762,10.0,销售,否
奶白菜苗,花叶类,2021-07-22,18:00:45.061,0.521,10.0,销售,否
奶白菜苗,花叶类,2021-07-22,18:12:00.350,0.19,10.0,销售,否
奶白菜苗,花叶类,2021-07-22,19:15:21.622,0.441,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,09:31:50.358,0.691,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,10:07:08.701,0.411,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,10:22:11.201,0.361,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,11:07:12.247,0.421,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,12:11:42.498,0.511,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,13:52:42.070,0.401,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,15:57:55.076,0.381,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,16:01:54.258,0.22,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,16:12:03.030,0.261,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,16:16:41.045,0.12,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,16:47:41.239,0.461,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,17:44:30.358,0.391,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,18:44:32.358,0.331,10.0,销售,否
奶白菜苗,花叶类,2021-07-23,19:32:43.651,0.12,10.0,销售,否
奶白菜苗,花叶类,2021-07-30,14:06:53.655,0.301,10.0,销售,否
奶白菜苗,花叶类,2021-07-30,16:14:22.470,0.492,10.0,销售,否
奶白菜苗,花叶类,2021-07-30,16:16:55.964,0.572,10.0,销售,否
奶白菜苗,花叶类,2021-07-30,18:27:31.967,0.351,10.0,销售,否
奶白菜苗,花叶类,2021-07-30,19:02:43.648,0.291,10.0,销售,否
奶白菜苗,花叶类,2021-07-30,19:07:12.492,0.311,10.0,销售,否
