单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
姬菇(2),食用菌,2022-03-13,10:14:27.491,0.242,19.8,销售,否
姬菇(2),食用菌,2022-03-13,12:59:36.639,0.232,19.8,销售,否
姬菇(2),食用菌,2022-03-15,17:55:51.860,0.212,19.8,销售,否
姬菇(2),食用菌,2022-03-16,10:34:10.107,0.248,19.8,销售,否
姬菇(2),食用菌,2022-03-16,21:02:35.653,0.232,11.9,销售,是
姬菇(2),食用菌,2022-03-17,14:13:03.994,0.253,19.8,销售,否
姬菇(2),食用菌,2022-03-17,20:07:27.045,0.227,19.8,销售,否
姬菇(2),食用菌,2022-03-18,20:17:14.101,0.263,9.9,销售,是
姬菇(2),食用菌,2022-03-18,20:36:37.379,0.298,9.9,销售,是
姬菇(2),食用菌,2022-03-18,21:03:31.796,0.293,9.9,销售,是
姬菇(2),食用菌,2022-03-21,13:59:37.372,0.232,19.8,销售,否
姬菇(2),食用菌,2022-03-22,20:58:04.295,0.237,13.9,销售,是
姬菇(2),食用菌,2022-03-25,17:03:43.518,0.242,19.8,销售,否
姬菇(2),食用菌,2022-03-25,17:16:03.389,0.187,19.8,销售,否
姬菇(2),食用菌,2022-03-25,18:20:27.467,0.227,13.9,销售,是
姬菇(2),食用菌,2022-03-26,11:52:35.120,0.172,13.9,销售,是
姬菇(2),食用菌,2022-03-26,15:42:00.599,0.182,19.8,销售,否
姬菇(2),食用菌,2022-03-26,20:12:21.389,0.182,13.9,销售,是
姬菇(2),食用菌,2022-03-26,20:16:18.774,0.222,11.9,销售,是
姬菇(2),食用菌,2022-03-26,20:25:15.123,0.237,11.9,销售,是
姬菇(2),食用菌,2022-03-26,20:33:55.681,0.162,11.9,销售,是
姬菇(2),食用菌,2022-03-26,20:43:34.611,0.192,11.9,销售,是
姬菇(2),食用菌,2022-03-27,20:00:42.771,0.212,13.9,销售,是
姬菇(2),食用菌,2022-03-27,21:02:09.764,0.273,11.9,销售,是
姬菇(2),食用菌,2022-03-27,21:07:31.879,0.177,13.9,销售,是
姬菇(2),食用菌,2022-03-29,19:58:11.681,0.202,11.9,销售,是
姬菇(2),食用菌,2022-03-29,20:52:02.922,0.217,11.9,销售,是
姬菇(2),食用菌,2022-03-29,21:01:59.549,0.253,11.9,销售,是
姬菇(2),食用菌,2022-03-29,21:05:14.710,0.202,11.9,销售,是
姬菇(2),食用菌,2022-03-30,11:18:31.204,0.232,19.8,销售,否
姬菇(2),食用菌,2022-03-30,19:55:06.473,0.182,11.9,销售,是
姬菇(2),食用菌,2022-03-30,19:55:06.600,0.212,11.9,销售,是
姬菇(2),食用菌,2022-03-30,21:02:14.845,0.212,11.9,销售,是
姬菇(2),食用菌,2022-04-01,17:43:19.889,0.258,19.8,销售,否
姬菇(2),食用菌,2022-04-01,21:36:11.687,0.258,13.9,销售,是
姬菇(2),食用菌,2022-04-02,20:42:37.264,0.258,13.9,销售,是
姬菇(2),食用菌,2022-04-05,10:34:53.092,0.167,19.8,销售,否
姬菇(2),食用菌,2022-04-05,11:21:37.795,0.187,19.8,销售,否
姬菇(2),食用菌,2022-04-06,18:37:25.342,0.157,19.8,销售,否
姬菇(2),食用菌,2022-04-06,20:05:56.817,0.182,13.9,销售,是
姬菇(2),食用菌,2022-04-07,20:47:09.623,0.172,13.9,销售,是
姬菇(2),食用菌,2022-04-08,21:24:21.248,0.293,13.9,销售,是
姬菇(2),食用菌,2022-04-09,12:30:12.149,0.182,19.8,销售,否
姬菇(2),食用菌,2022-04-09,18:34:26.877,0.212,19.8,销售,否
姬菇(2),食用菌,2022-04-09,20:25:29.811,0.237,19.8,销售,否
姬菇(2),食用菌,2022-04-10,10:43:28.925,0.222,19.8,销售,否
姬菇(2),食用菌,2022-04-10,21:07:32.573,0.207,13.9,销售,是
姬菇(2),食用菌,2022-04-13,20:50:14.629,0.244,15.2,销售,否
姬菇(2),食用菌,2022-04-17,09:37:55.439,0.211,15.2,销售,否
姬菇(2),食用菌,2022-04-18,09:31:10.544,0.224,15.2,销售,否
姬菇(2),食用菌,2022-04-20,16:57:31.108,0.231,15.2,销售,否
姬菇(2),食用菌,2022-04-21,15:22:55.038,0.238,15.2,销售,否
姬菇(2),食用菌,2022-04-21,20:00:10.904,0.231,10.6,销售,是
姬菇(2),食用菌,2022-04-22,21:11:29.718,0.284,10.6,销售,是
姬菇(2),食用菌,2022-04-23,20:13:14.861,0.224,10.6,销售,是
姬菇(2),食用菌,2022-04-23,21:09:18.881,0.198,10.6,销售,是
姬菇(2),食用菌,2022-04-24,11:40:16.951,0.231,15.2,销售,否
姬菇(2),食用菌,2022-04-24,17:28:20.199,0.218,15.2,销售,否
姬菇(2),食用菌,2022-04-25,10:51:44.869,0.251,15.2,销售,否
姬菇(2),食用菌,2022-04-25,11:36:26.991,0.277,15.2,销售,否
姬菇(2),食用菌,2022-04-25,12:52:07.420,0.191,10.6,销售,是
姬菇(2),食用菌,2022-04-25,20:00:02.514,0.218,10.6,销售,是
姬菇(2),食用菌,2022-04-25,20:59:40.889,0.257,10.6,销售,是
姬菇(2),食用菌,2022-04-26,20:54:08.998,0.284,9.1,销售,是
姬菇(2),食用菌,2022-04-26,21:10:55.098,0.317,9.1,销售,是
姬菇(2),食用菌,2022-04-27,10:49:01.561,0.152,15.2,销售,否
姬菇(2),食用菌,2022-04-27,11:48:48.561,0.224,15.2,销售,否
姬菇(2),食用菌,2022-04-27,15:57:45.451,0.165,15.2,销售,否
姬菇(2),食用菌,2022-04-28,11:01:36.682,0.218,15.2,销售,否
姬菇(2),食用菌,2022-04-28,14:42:53.515,0.218,15.2,销售,否
姬菇(2),食用菌,2022-04-29,16:18:02.201,0.257,15.2,销售,否
姬菇(2),食用菌,2022-04-29,21:07:08.311,0.284,10.6,销售,是
姬菇(2),食用菌,2022-04-29,21:07:10.826,0.251,10.6,销售,是
姬菇(2),食用菌,2022-04-29,21:07:14.701,0.231,10.6,销售,是
姬菇(2),食用菌,2022-04-29,21:52:19.660,0.284,10.6,销售,是
