单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
姬菇(包),食用菌,2020-07-16,16:09:02.436,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-16,16:43:35.155,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-16,18:35:57.560,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-16,21:35:52.983,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-17,16:29:53.783,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-17,17:41:38.007,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-18,09:52:19.624,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-18,11:31:36.905,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-18,11:40:59.530,1.0,5.3,销售,是
姬菇(包),食用菌,2020-07-18,13:49:14.811,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-18,15:23:51.608,1.0,5.5,销售,是
姬菇(包),食用菌,2020-07-18,17:25:35.264,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-19,10:40:52.826,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-19,11:42:30.501,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-19,11:42:30.557,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-20,13:56:18.451,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-20,17:13:54.155,1.0,5.1,销售,是
姬菇(包),食用菌,2020-07-20,18:15:54.411,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-20,20:20:32.498,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-20,20:23:38.144,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-21,09:34:27.867,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-21,10:21:34.321,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-21,18:09:45.218,1.0,5.4,销售,是
姬菇(包),食用菌,2020-07-21,18:33:00.906,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-22,09:48:33.280,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-22,10:50:48.063,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-22,18:12:07.934,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-22,18:20:46.260,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-23,09:40:01.910,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-23,11:25:56.199,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-23,16:26:49.842,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-23,20:30:43.436,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-24,10:10:46.065,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-24,10:11:00.766,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-24,12:17:24.436,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-24,14:35:58.545,1.0,5.0,销售,是
姬菇(包),食用菌,2020-07-24,19:44:06.842,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-25,10:34:00.745,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-25,10:42:17.780,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-25,12:36:34.155,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-25,16:11:46.194,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-25,19:08:55.272,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-26,10:27:45.795,1.0,5.9,销售,否
姬菇(包),食用菌,2020-07-26,10:37:08.110,1.0,5.9,销售,否
