单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
小白菜(份),花叶类,2022-04-18,10:45:27.826,1.0,8.9,销售,否
小白菜(份),花叶类,2022-04-18,11:20:09.531,1.0,8.9,销售,否
小白菜(份),花叶类,2022-04-18,17:40:45.326,1.0,8.9,销售,否
小白菜(份),花叶类,2022-04-22,21:38:09.559,1.0,4.5,销售,是
小白菜(份),花叶类,2022-07-29,09:43:37.420,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-29,10:23:06.849,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-29,10:33:59.032,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-29,11:06:39.369,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-29,15:53:06.729,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-29,17:49:01.592,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-29,17:58:30.182,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-29,18:11:52.139,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-29,20:21:32.233,1.0,5.3,销售,是
小白菜(份),花叶类,2022-07-30,11:05:11.055,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-30,12:45:24.030,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-30,16:13:58.127,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-30,17:29:50.811,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-30,18:44:40.276,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-30,18:44:40.456,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-30,20:22:54.420,1.0,5.3,销售,是
小白菜(份),花叶类,2022-07-30,21:21:39.710,1.0,5.3,销售,是
小白菜(份),花叶类,2022-07-31,11:22:48.889,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-31,18:51:35.732,1.0,8.9,销售,否
小白菜(份),花叶类,2022-07-31,19:39:25.898,1.0,5.3,销售,是
小白菜(份),花叶类,2022-07-31,20:36:52.676,1.0,5.3,销售,是
