单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
小皱皮,辣椒类,2021-07-15,09:27:02.411,0.175,8.0,销售,否
小皱皮,辣椒类,2021-07-15,09:42:09.920,0.501,8.0,销售,否
小皱皮,辣椒类,2021-07-15,09:54:50.514,0.226,8.0,销售,否
小皱皮,辣椒类,2021-07-15,10:08:01.373,0.263,8.0,销售,否
小皱皮,辣椒类,2021-07-15,10:24:08.518,0.226,8.0,销售,否
小皱皮,辣椒类,2021-07-15,10:42:33.113,0.288,8.0,销售,否
小皱皮,辣椒类,2021-07-15,10:59:10.800,0.326,8.0,销售,否
小皱皮,辣椒类,2021-07-15,11:15:55.014,0.301,8.0,销售,否
小皱皮,辣椒类,2021-07-15,11:22:37.733,0.226,8.0,销售,否
小皱皮,辣椒类,2021-07-15,11:30:28.644,0.1,8.0,销售,否
小皱皮,辣椒类,2021-07-15,11:46:46.587,0.213,8.0,销售,否
小皱皮,辣椒类,2021-07-15,12:22:24.681,0.238,8.0,销售,否
小皱皮,辣椒类,2021-07-15,13:59:45.915,0.226,8.0,销售,否
小皱皮,辣椒类,2021-07-15,15:20:44.788,0.263,8.0,销售,否
小皱皮,辣椒类,2021-07-15,16:47:57.773,0.226,8.0,销售,否
小皱皮,辣椒类,2021-07-15,16:52:23.155,0.138,8.0,销售,否
小皱皮,辣椒类,2021-07-15,17:19:53.269,0.276,8.0,销售,否
小皱皮,辣椒类,2021-07-15,17:27:23.373,0.351,8.0,销售,否
小皱皮,辣椒类,2021-07-15,18:00:14.909,0.338,8.0,销售,否
小皱皮,辣椒类,2021-07-15,18:21:08.069,0.113,8.0,销售,否
小皱皮,辣椒类,2021-07-15,18:48:32.030,0.313,8.0,销售,否
小皱皮,辣椒类,2021-07-15,19:38:30.217,0.351,8.0,销售,否
小皱皮,辣椒类,2021-07-15,21:16:22.608,0.276,8.0,销售,否
小皱皮,辣椒类,2021-07-16,09:42:02.421,0.201,8.0,销售,否
小皱皮,辣椒类,2021-07-16,09:52:31.518,0.426,8.0,销售,否
小皱皮,辣椒类,2021-07-16,10:19:00.448,0.138,8.0,销售,否
