单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
快菜,花叶类,2020-08-04,10:03:02.543,0.238,8.0,销售,否
快菜,花叶类,2020-08-04,10:05:54.095,0.188,8.0,销售,否
快菜,花叶类,2020-08-04,10:46:24.996,0.414,8.0,销售,否
快菜,花叶类,2020-08-04,10:53:27.915,0.389,8.0,销售,否
快菜,花叶类,2020-08-04,10:59:24.886,0.238,8.0,销售,否
快菜,花叶类,2020-08-04,11:01:45.755,0.451,8.0,销售,否
快菜,花叶类,2020-08-04,11:39:52.439,0.313,8.0,销售,否
快菜,花叶类,2020-08-04,11:49:34.369,0.451,8.0,销售,否
快菜,花叶类,2020-08-04,11:56:47.125,0.338,8.0,销售,否
快菜,花叶类,2020-08-04,11:58:26.927,0.238,8.0,销售,否
快菜,花叶类,2020-08-04,13:05:07.638,0.376,8.0,销售,否
快菜,花叶类,2020-08-04,15:32:43.186,0.201,8.0,销售,否
快菜,花叶类,2020-08-04,16:00:51.405,0.188,8.0,销售,否
快菜,花叶类,2020-08-04,18:13:47.961,0.276,8.0,销售,否
快菜,花叶类,2020-08-04,18:23:54.467,0.201,8.0,销售,否
快菜,花叶类,2020-08-04,18:26:56.929,0.464,8.0,销售,否
快菜,花叶类,2020-08-04,18:41:05.050,0.15,8.0,销售,否
快菜,花叶类,2020-08-04,18:47:46.686,0.326,8.0,销售,否
快菜,花叶类,2020-08-04,18:51:33.561,0.401,8.0,销售,否
快菜,花叶类,2020-08-04,20:47:40.321,0.163,8.0,销售,否
快菜,花叶类,2020-08-05,10:07:25.638,0.489,8.0,销售,否
快菜,花叶类,2020-08-05,10:19:27.498,0.288,8.0,销售,否
快菜,花叶类,2020-08-05,10:50:38.342,0.201,8.0,销售,否
快菜,花叶类,2020-08-05,11:14:53.799,0.439,8.0,销售,否
快菜,花叶类,2020-08-05,14:34:31.984,0.389,8.0,销售,否
快菜,花叶类,2020-08-05,14:59:22.078,0.175,8.0,销售,否
快菜,花叶类,2020-08-05,15:53:24.623,0.238,8.0,销售,否
快菜,花叶类,2020-08-05,16:37:35.607,0.276,8.0,销售,否
快菜,花叶类,2020-08-05,16:39:54.972,0.401,8.0,销售,否
快菜,花叶类,2020-08-05,17:08:52.728,0.439,8.0,销售,否
快菜,花叶类,2020-08-05,17:24:34.939,0.476,8.0,销售,否
快菜,花叶类,2020-08-05,17:50:32.045,0.464,8.0,销售,否
快菜,花叶类,2020-08-05,17:54:07.639,0.489,8.0,销售,否
快菜,花叶类,2020-08-05,18:09:47.920,0.213,8.0,销售,否
快菜,花叶类,2020-08-05,18:11:28.686,0.426,8.0,销售,否
快菜,花叶类,2020-08-05,18:43:34.530,0.576,8.0,销售,否
快菜,花叶类,2020-08-05,19:09:04.966,0.313,8.0,销售,否
快菜,花叶类,2020-08-05,19:28:01.818,0.188,8.0,销售,否
快菜,花叶类,2020-08-05,20:07:30.306,0.714,8.0,销售,否
快菜,花叶类,2020-08-05,20:14:18.472,0.514,8.0,销售,否
快菜,花叶类,2020-08-05,20:15:58.764,0.288,8.0,销售,否
快菜,花叶类,2020-08-05,20:42:35.663,0.234,6.0,销售,是
快菜,花叶类,2020-08-05,20:42:53.951,0.268,6.0,销售,是
快菜,花叶类,2020-08-05,20:47:56.997,0.334,6.0,销售,是
快菜,花叶类,2020-08-05,20:49:14.169,0.201,6.0,销售,是
快菜,花叶类,2020-08-05,20:49:14.238,0.301,6.0,销售,是
快菜,花叶类,2020-08-05,20:49:16.315,0.251,6.0,销售,是
快菜,花叶类,2020-08-06,09:21:19.983,0.526,8.0,销售,否
快菜,花叶类,2020-08-06,09:23:56.233,0.677,8.0,销售,否
快菜,花叶类,2020-08-06,09:32:44.412,0.589,8.0,销售,否
快菜,花叶类,2020-08-06,09:40:39.057,0.489,8.0,销售,否
快菜,花叶类,2020-08-06,09:53:25.790,0.301,8.0,销售,否
快菜,花叶类,2020-08-06,09:55:02.506,0.476,8.0,销售,否
快菜,花叶类,2020-08-06,10:02:24.123,0.564,8.0,销售,否
快菜,花叶类,2020-08-06,10:14:02.670,0.464,8.0,销售,否
快菜,花叶类,2020-08-06,10:17:40.123,0.338,8.0,销售,否
快菜,花叶类,2020-08-06,10:21:04.693,0.301,8.0,销售,否
快菜,花叶类,2020-08-06,10:30:26.181,0.238,8.0,销售,否
快菜,花叶类,2020-08-06,10:40:35.435,0.313,8.0,销售,否
快菜,花叶类,2020-08-06,10:59:08.697,0.213,8.0,销售,否
快菜,花叶类,2020-08-06,11:05:39.451,0.326,8.0,销售,否
快菜,花叶类,2020-08-06,11:10:19.061,0.576,8.0,销售,否
快菜,花叶类,2020-08-06,11:12:02.756,0.501,8.0,销售,否
快菜,花叶类,2020-08-06,11:20:54.623,0.326,8.0,销售,否
快菜,花叶类,2020-08-06,11:25:58.260,0.313,8.0,销售,否
快菜,花叶类,2020-08-06,11:28:33.439,0.313,8.0,销售,否
快菜,花叶类,2020-08-06,11:35:00.152,0.238,8.0,销售,否
快菜,花叶类,2020-08-06,11:36:30.217,0.514,8.0,销售,否
快菜,花叶类,2020-08-06,12:00:54.303,0.363,8.0,销售,否
快菜,花叶类,2020-08-06,12:03:09.092,0.276,8.0,销售,否
快菜,花叶类,2020-08-06,12:53:51.670,0.238,8.0,销售,否
快菜,花叶类,2020-08-06,14:27:54.287,0.263,8.0,销售,否
快菜,花叶类,2020-08-06,18:03:31.945,0.251,8.0,销售,否
快菜,花叶类,2020-08-07,09:23:35.292,0.188,8.0,销售,否
快菜,花叶类,2020-08-07,09:24:36.967,0.476,8.0,销售,否
快菜,花叶类,2020-08-07,09:29:50.536,0.476,8.0,销售,否
快菜,花叶类,2020-08-07,09:53:06.870,0.288,8.0,销售,否
快菜,花叶类,2020-08-07,09:59:03.956,0.15,8.0,销售,否
快菜,花叶类,2020-08-07,10:07:47.515,0.376,8.0,销售,否
快菜,花叶类,2020-08-07,10:14:26.062,0.426,8.0,销售,否
快菜,花叶类,2020-08-07,10:23:23.906,0.188,8.0,销售,否
快菜,花叶类,2020-08-07,10:25:39.239,0.489,8.0,销售,否
快菜,花叶类,2020-08-07,10:26:54.961,0.238,8.0,销售,否
快菜,花叶类,2020-08-07,10:28:44.780,0.288,8.0,销售,否
快菜,花叶类,2020-08-07,10:32:41.625,0.501,8.0,销售,否
快菜,花叶类,2020-08-07,10:39:30.705,0.338,8.0,销售,否
快菜,花叶类,2020-08-07,10:53:11.421,0.551,8.0,销售,否
快菜,花叶类,2020-08-07,11:06:02.767,0.652,8.0,销售,否
快菜,花叶类,2020-08-07,11:19:38.015,0.263,8.0,销售,否
快菜,花叶类,2020-08-07,11:20:20.998,0.501,8.0,销售,否
快菜,花叶类,2020-08-07,11:27:20.812,0.213,8.0,销售,否
快菜,花叶类,2020-08-07,11:28:17.952,0.451,8.0,销售,否
快菜,花叶类,2020-08-07,11:29:46.749,0.288,8.0,销售,否
快菜,花叶类,2020-08-07,11:30:22.061,0.464,8.0,销售,否
快菜,花叶类,2020-08-07,11:52:42.989,0.238,8.0,销售,否
快菜,花叶类,2020-08-07,12:36:30.139,0.376,8.0,销售,否
快菜,花叶类,2020-08-07,15:59:23.701,0.238,8.0,销售,否
快菜,花叶类,2020-08-07,17:20:49.552,0.389,8.0,销售,否
快菜,花叶类,2020-08-08,09:32:59.498,0.526,8.0,销售,否
快菜,花叶类,2020-08-08,09:51:52.041,0.338,8.0,销售,否
