单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
木耳菜(份),花叶类,2023-05-15,10:32:18.414,1.0,4.9,销售,否
木耳菜(份),花叶类,2023-05-19,18:26:45.429,1.0,4.9,销售,否
木耳菜(份),花叶类,2023-05-23,10:29:28.28,1.0,4.9,销售,否
木耳菜(份),花叶类,2023-05-27,18:46:03.288,1.0,4.9,销售,否
木耳菜(份),花叶类,2023-05-28,17:00:04.114,1.0,4.9,销售,否
木耳菜(份),花叶类,2023-06-01,20:38:23.725,1.0,2.9,销售,是
木耳菜(份),花叶类,2023-06-03,15:55:06.201,1.0,4.9,销售,否
木耳菜(份),花叶类,2023-06-04,10:02:27.467,1.0,4.9,销售,否
木耳菜(份),花叶类,2023-06-05,18:50:17.545,1.0,3.9,销售,否
木耳菜(份),花叶类,2023-06-07,14:09:46.086,1.0,3.9,销售,否
木耳菜(份),花叶类,2023-06-07,20:06:15.985,1.0,2.3,销售,是
木耳菜(份),花叶类,2023-06-09,15:41:15.139,1.0,3.9,销售,否
木耳菜(份),花叶类,2023-06-09,20:26:54.897,1.0,2.3,销售,是
木耳菜(份),花叶类,2023-06-10,16:59:28.998,1.0,3.9,销售,否
木耳菜(份),花叶类,2023-06-11,10:41:12.092,1.0,3.9,销售,否
木耳菜(份),花叶类,2023-06-13,20:47:22.452,1.0,2.3,销售,是
木耳菜(份),花叶类,2023-06-14,21:43:09.739,1.0,2.3,销售,是
木耳菜(份),花叶类,2023-06-15,19:54:50.09,1.0,2.3,销售,是
木耳菜(份),花叶类,2023-06-16,18:39:17.307,1.0,2.3,销售,是
木耳菜(份),花叶类,2023-06-17,20:15:35.861,1.0,2.3,销售,是
木耳菜(份),花叶类,2023-06-18,21:17:56.286,1.0,2.3,销售,是
木耳菜(份),花叶类,2023-06-19,10:18:18.266,1.0,3.9,销售,否
木耳菜(份),花叶类,2023-06-21,16:30:43.092,1.0,3.9,销售,否
木耳菜(份),花叶类,2023-06-23,18:47:46.777,1.0,3.9,销售,否
木耳菜(份),花叶类,2023-06-27,20:48:10.998,1.0,3.9,销售,是
木耳菜(份),花叶类,2023-06-29,19:14:35.799,1.0,2.3,销售,是
木耳菜(份),花叶类,2023-06-30,11:57:30.376,1.0,3.9,销售,否
