单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
本地小毛白菜,花叶类,2022-09-28,09:30:39.651,0.42,4.8,销售,否
本地小毛白菜,花叶类,2022-09-28,09:58:08.895,0.42,4.8,销售,否
本地小毛白菜,花叶类,2022-09-28,10:50:08.088,0.189,4.8,销售,否
本地小毛白菜,花叶类,2022-09-28,11:45:38.373,0.399,4.8,销售,否
本地小毛白菜,花叶类,2022-09-28,13:43:23.402,0.42,4.8,销售,否
本地小毛白菜,花叶类,2022-09-28,17:26:31.193,0.168,4.8,销售,否
本地小毛白菜,花叶类,2022-09-28,17:52:45.961,0.315,4.8,销售,否
本地小毛白菜,花叶类,2022-09-28,18:20:34.045,0.21,4.8,销售,否
本地小毛白菜,花叶类,2022-09-28,18:40:21.209,0.231,4.8,销售,否
本地小毛白菜,花叶类,2022-09-29,11:30:30.243,0.399,4.8,销售,否
本地小毛白菜,花叶类,2022-09-29,16:40:48.913,0.21,4.8,销售,否
本地小毛白菜,花叶类,2022-10-01,09:52:04.936,0.42,4.8,销售,否
本地小毛白菜,花叶类,2022-10-01,09:53:51.395,0.378,4.8,销售,否
本地小毛白菜,花叶类,2022-10-01,10:26:45.445,0.42,4.8,销售,否
本地小毛白菜,花叶类,2022-10-01,10:56:10.827,0.189,4.8,销售,否
本地小毛白菜,花叶类,2022-10-01,11:15:42.984,0.399,4.8,销售,否
本地小毛白菜,花叶类,2022-10-02,09:22:43.264,0.504,4.8,销售,否
本地小毛白菜,花叶类,2022-10-02,09:40:49.346,0.399,4.8,销售,否
本地小毛白菜,花叶类,2022-10-02,09:46:31.080,0.546,4.8,销售,否
本地小毛白菜,花叶类,2022-10-02,09:50:37.704,0.462,4.8,销售,否
本地小毛白菜,花叶类,2022-10-02,12:22:04.607,0.483,4.8,销售,否
本地小毛白菜,花叶类,2022-10-03,10:25:07.325,0.21,4.8,销售,否
本地小毛白菜,花叶类,2022-10-03,10:33:31.479,0.168,4.8,销售,否
本地小毛白菜,花叶类,2022-10-03,10:43:30.764,0.189,4.8,销售,否
本地小毛白菜,花叶类,2022-10-03,15:34:15.544,0.399,4.8,销售,否
本地小毛白菜,花叶类,2022-10-04,09:19:12.549,0.609,4.8,销售,否
本地小毛白菜,花叶类,2022-10-04,09:25:22.684,0.21,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,09:29:39.655,0.231,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,09:36:39.107,0.462,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,09:38:19.561,0.546,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,09:49:34.247,0.441,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,09:58:30.344,0.315,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,10:01:25.514,0.273,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,10:03:57.662,0.252,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,10:26:06.684,0.483,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,10:40:34.405,1.029,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,10:57:24.582,0.147,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,11:01:12.862,0.189,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,11:17:56.436,0.315,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,11:22:43.615,0.399,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,11:33:13.889,0.441,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,16:12:28.284,0.336,4.8,销售,否
本地小毛白菜,花叶类,2022-10-05,17:53:13.945,0.168,4.8,销售,否
本地小毛白菜,花叶类,2022-10-06,10:05:19.518,0.294,4.8,销售,否
本地小毛白菜,花叶类,2022-10-06,10:36:29.841,0.504,4.8,销售,否
本地小毛白菜,花叶类,2022-10-06,10:43:50.201,0.483,4.8,销售,否
本地小毛白菜,花叶类,2022-10-06,10:45:11.140,0.504,4.8,销售,否
本地小毛白菜,花叶类,2022-10-06,12:01:31.998,0.294,4.8,销售,否
本地小毛白菜,花叶类,2022-10-06,15:49:18.459,0.231,4.8,销售,否
本地小毛白菜,花叶类,2022-10-06,16:38:20.451,0.273,4.8,销售,否
本地小毛白菜,花叶类,2022-10-06,17:59:07.784,0.21,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,09:31:01.043,0.231,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,10:08:13.179,0.294,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,10:36:51.467,0.273,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,10:38:58.638,0.294,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,10:51:12.453,0.231,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,10:51:23.634,0.231,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,11:21:06.280,0.483,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,12:39:17.101,0.567,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,15:38:28.802,0.252,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,15:44:22.517,0.231,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,16:08:47.259,0.462,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,16:14:19.983,0.231,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,16:34:44.780,0.588,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,16:51:31.888,0.252,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,17:37:17.462,0.252,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,17:40:54.980,0.21,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,18:07:22.980,0.525,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,18:09:39.489,0.231,4.8,销售,否
本地小毛白菜,花叶类,2022-10-08,18:15:33.628,0.462,4.8,销售,否
本地小毛白菜,花叶类,2022-10-13,10:21:55.619,0.546,4.8,销售,否
本地小毛白菜,花叶类,2022-10-13,10:32:37.145,0.252,4.8,销售,否
本地小毛白菜,花叶类,2022-10-13,17:40:15.901,0.378,4.8,销售,否
本地小毛白菜,花叶类,2022-10-13,18:13:19.149,0.567,4.8,销售,否
本地小毛白菜,花叶类,2022-10-14,18:44:26.623,0.462,4.8,销售,否
本地小毛白菜,花叶类,2022-10-14,19:09:14.776,0.399,4.8,销售,否
本地小毛白菜,花叶类,2022-10-14,19:13:57.821,0.399,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,10:02:11.076,0.483,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,10:08:27.728,0.588,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,10:30:28.264,0.42,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,11:05:24.233,0.252,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,11:23:47.842,0.525,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,11:33:26.032,0.336,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,12:24:18.998,0.462,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,12:50:05.530,0.399,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,13:22:53.152,0.336,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,14:39:49.473,0.189,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,15:07:44.101,0.441,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,16:12:35.929,0.336,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,16:27:24.455,0.441,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,17:40:49.483,0.525,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,17:46:01.818,0.588,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,17:49:35.342,0.441,4.8,销售,否
本地小毛白菜,花叶类,2022-10-15,18:29:49.639,0.189,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,09:29:16.920,0.21,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,09:29:18.205,0.42,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,09:45:39.821,0.588,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,09:48:25.689,0.63,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,09:54:00.789,0.441,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,10:11:15.139,0.378,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,10:27:07.701,0.189,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,10:54:03.288,0.378,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,10:56:26.459,0.168,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,11:07:35.311,0.567,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,11:42:19.986,0.189,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,11:44:08.394,0.399,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,11:54:44.521,0.147,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,12:32:39.585,0.441,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,13:49:21.845,0.189,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,14:55:28.664,0.21,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,17:02:45.963,0.252,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,17:10:03.245,0.462,4.8,销售,否
本地小毛白菜,花叶类,2022-10-16,17:54:59.170,0.399,4.8,销售,否
