单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
杏鲍菇(250克),食用菌,2021-07-05,15:56:15.164,1.0,4.9,销售,否
杏鲍菇(250克),食用菌,2021-07-05,18:03:46.664,1.0,4.9,销售,否
杏鲍菇(250克),食用菌,2021-07-05,18:13:04.222,1.0,4.9,销售,否
杏鲍菇(250克),食用菌,2021-07-18,10:11:36.947,1.0,4.9,销售,否
杏鲍菇(250克),食用菌,2021-07-18,10:14:54.441,1.0,4.9,销售,否
杏鲍菇(250克),食用菌,2021-07-18,17:07:05.550,1.0,4.9,销售,否
杏鲍菇(250克),食用菌,2021-09-22,15:39:56.776,1.0,4.9,销售,否
杏鲍菇(250克),食用菌,2021-09-23,09:47:59.548,1.0,4.9,销售,否
杏鲍菇(250克),食用菌,2021-10-06,18:25:26.254,1.0,4.9,销售,否
杏鲍菇(250克),食用菌,2021-10-06,19:48:44.892,1.0,4.9,销售,否
