单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
杏鲍菇(份),食用菌,2022-01-06,10:03:16.936,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-06,12:13:15.582,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-06,14:24:40.983,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-06,15:44:22.313,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-06,15:44:44.435,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-06,17:25:15.420,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-07,13:16:21.295,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-07,15:26:07.049,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-07,15:38:16.014,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-07,15:57:41.045,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-07,16:52:33.399,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-07,19:21:27.998,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-07,21:20:47.326,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-08,13:38:50.931,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-08,14:53:43.779,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-08,14:53:43.976,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-08,16:17:43.591,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-08,16:23:48.311,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-08,17:16:24.497,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-08,17:32:55.335,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-08,17:38:39.463,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-08,21:08:46.987,1.0,2.5,销售,否
杏鲍菇(份),食用菌,2022-01-09,10:15:10.912,1.0,3.9,销售,否
杏鲍菇(份),食用菌,2022-01-09,10:18:01.342,1.0,3.9,销售,否
