单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
枝江红菜苔(份),花叶类,2021-12-17,09:30:22.582,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-17,10:31:27.297,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-17,11:04:35.346,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-17,21:32:58.910,1.0,1.7,销售,是
枝江红菜苔(份),花叶类,2021-12-19,17:37:26.748,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-19,18:05:44.045,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-19,19:35:12.889,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-19,21:34:47.716,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-22,19:48:53.498,1.0,2.0,销售,是
枝江红菜苔(份),花叶类,2021-12-22,20:41:27.796,1.0,2.0,销售,是
枝江红菜苔(份),花叶类,2021-12-24,13:09:27.217,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-24,17:57:50.368,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-24,20:59:56.379,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-24,21:13:19.124,1.0,1.7,销售,是
枝江红菜苔(份),花叶类,2021-12-25,09:43:54.675,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-25,10:17:41.843,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-25,11:30:56.074,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-25,11:47:58.576,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-26,09:37:02.701,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-26,10:52:33.341,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-26,10:56:44.076,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-27,10:58:47.707,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-27,16:39:50.632,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-27,18:34:05.295,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-28,10:59:27.723,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-28,11:51:52.045,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-28,13:41:42.293,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-28,16:08:59.076,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-29,15:25:29.623,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-29,18:05:15.030,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-29,20:22:00.024,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-29,20:44:54.780,1.0,1.7,销售,是
枝江红菜苔(份),花叶类,2021-12-30,10:45:24.781,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-30,17:11:38.858,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-30,17:51:36.498,1.0,2.9,销售,否
枝江红菜苔(份),花叶类,2021-12-30,21:02:12.289,1.0,1.7,销售,是
枝江红菜苔(份),花叶类,2021-12-31,09:21:29.045,1.0,2.9,销售,否
