单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
水果辣椒(份),辣椒类,2022-02-17,13:07:40.327,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-17,20:00:59.319,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-18,12:11:32.484,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-18,13:43:49.588,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-18,17:58:24.578,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-18,18:18:35.447,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-18,20:32:39.703,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-19,11:00:17.045,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-19,13:12:41.951,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-19,14:22:57.342,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-19,14:22:59.170,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-19,17:05:57.895,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-19,19:10:34.201,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-19,20:37:45.988,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-20,10:46:22.530,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-20,11:02:23.503,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-20,14:35:11.623,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-21,14:38:37.334,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-21,17:31:10.930,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-22,10:47:01.806,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-22,13:51:37.608,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-22,15:42:44.420,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-22,16:03:13.366,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-22,19:29:53.326,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-22,20:27:48.883,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-22,20:27:48.981,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-22,21:23:50.717,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-23,11:55:07.628,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-23,15:25:16.873,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-23,18:26:16.131,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-23,20:38:11.266,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-24,21:18:14.949,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-25,10:42:19.717,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-25,17:09:05.043,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-25,17:38:03.186,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-25,18:59:31.205,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-25,21:15:47.159,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-26,10:33:20.251,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-26,16:21:56.135,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-26,18:42:47.764,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-26,19:15:55.655,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-26,20:23:59.091,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-27,09:21:20.574,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-27,09:56:22.748,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-27,09:56:22.948,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-27,10:10:39.611,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-27,14:23:52.717,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-27,14:52:13.664,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-27,19:10:25.576,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-27,20:06:02.326,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-28,09:40:28.530,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-28,09:58:51.282,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-28,14:32:59.717,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-02-28,18:30:20.039,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-02-28,20:12:13.329,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-03-02,15:54:01.795,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-03-02,18:31:04.592,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-03-02,19:18:34.623,1.0,3.5,销售,是
水果辣椒(份),辣椒类,2022-03-02,20:46:40.858,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-03-02,20:46:58.514,1.0,4.8,销售,是
水果辣椒(份),辣椒类,2022-03-03,16:49:02.780,1.0,6.9,销售,否
水果辣椒(份),辣椒类,2022-03-04,12:26:16.650,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-04,16:53:15.389,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-04,19:54:53.420,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-04,21:26:08.267,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-04,21:26:08.366,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-05,11:05:12.631,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-05,13:21:46.545,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-05,15:33:34.776,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-05,20:35:18.199,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-06,11:39:12.108,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-06,12:16:26.623,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-07,14:43:08.342,1.0,5.0,销售,是
水果辣椒(份),辣椒类,2022-03-07,15:09:49.342,1.0,5.0,销售,是
水果辣椒(份),辣椒类,2022-03-08,11:33:04.403,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-08,11:42:38.251,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-08,19:52:41.498,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-09,10:54:32.514,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-09,14:17:55.623,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-09,16:26:00.076,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-09,16:58:56.706,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-09,17:30:49.494,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-10,12:01:46.623,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-10,14:27:26.201,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-10,16:34:40.518,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-10,17:36:57.502,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-10,18:36:59.842,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-11,15:59:10.076,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-11,19:22:26.076,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-11,19:32:58.715,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-11,19:36:15.401,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-12,10:26:13.762,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-12,12:27:57.893,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-12,13:49:31.108,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-12,14:29:33.655,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-12,17:54:03.983,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-13,10:05:08.045,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-13,10:06:58.092,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-13,18:57:05.379,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-13,21:06:03.420,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-14,12:28:02.826,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-14,12:35:29.139,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-14,14:50:34.708,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-14,15:51:19.545,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-14,20:04:27.905,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-15,15:17:08.451,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-15,15:54:43.811,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-15,16:32:18.691,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-15,17:21:25.670,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-15,17:43:13.135,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-15,19:38:07.593,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-16,14:09:09.932,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-16,18:55:21.014,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-17,12:46:19.967,1.0,5.9,销售,是
水果辣椒(份),辣椒类,2022-03-17,14:28:11.467,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-17,18:24:42.376,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-17,19:33:49.748,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-17,21:06:15.727,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-18,19:17:00.733,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-18,19:42:24.500,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-18,20:29:47.267,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-19,12:39:16.326,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-19,13:36:54.951,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-19,14:10:57.217,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-19,16:44:03.285,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-19,17:57:00.521,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-20,09:56:48.358,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-21,17:32:17.342,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-21,20:04:37.508,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-21,21:13:46.822,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-22,18:33:10.071,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-23,16:51:03.576,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-23,17:07:20.159,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-23,17:13:38.334,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-23,19:43:37.442,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-23,21:17:54.425,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-23,21:23:52.015,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-24,10:57:30.841,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-24,14:46:25.536,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-25,18:12:30.873,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-25,20:49:50.623,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-25,21:32:53.185,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-26,09:55:32.170,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-26,09:57:33.873,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-26,14:22:13.186,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-26,17:39:09.820,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-26,18:21:21.538,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-26,19:35:12.280,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-27,10:23:58.020,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-27,10:30:19.170,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-27,15:01:44.246,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-27,20:04:11.576,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-28,10:56:24.686,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-28,14:43:18.793,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-28,15:34:27.676,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-28,17:35:46.943,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-28,21:29:12.170,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-29,15:44:35.530,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-29,17:35:50.172,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-30,11:56:29.873,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-31,16:10:24.087,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-31,17:24:26.197,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-31,19:22:08.271,1.0,6.9,销售,是
水果辣椒(份),辣椒类,2022-03-31,20:45:30.301,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-03-31,21:14:51.071,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-04-01,11:47:58.483,1.0,9.9,销售,否
水果辣椒(份),辣椒类,2022-04-01,13:32:19.967,1.0,9.9,销售,否
