单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
洪山菜苔,花叶类,2021-12-26,14:33:48.854,1.0,6.8,销售,否
洪山菜苔,花叶类,2021-12-26,17:20:56.196,1.0,6.8,销售,否
洪山菜苔,花叶类,2021-12-26,17:32:17.620,1.0,6.8,销售,否
洪山菜苔,花叶类,2021-12-27,11:10:04.290,1.0,6.8,销售,否
洪山菜苔,花叶类,2021-12-29,17:49:38.574,1.0,6.8,销售,否
洪山菜苔,花叶类,2021-12-30,18:21:50.998,1.0,6.8,销售,否
洪山菜苔,花叶类,2021-12-31,10:14:37.349,1.0,6.8,销售,否
洪山菜苔,花叶类,2022-01-02,18:15:14.205,1.0,3.4,销售,是
洪山菜苔,花叶类,2022-01-19,12:37:54.541,1.0,4.7,销售,是
洪山菜苔,花叶类,2022-01-24,20:38:01.595,1.0,7.8,销售,否
洪山菜苔,花叶类,2022-11-09,15:14:54.972,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-09,15:14:55.078,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-09,15:53:07.209,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-09,16:49:05.263,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-09,16:55:37.264,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-09,20:02:59.781,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-09,20:19:21.03,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-09,20:39:48.114,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-09,21:37:31.14,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-09,21:37:33.734,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-10,11:24:22.946,1.0,2.5,销售,是
洪山菜苔,花叶类,2022-11-12,20:35:44.712,1.0,2.0,销售,是
洪山菜苔,花叶类,2022-11-12,20:35:44.822,1.0,2.0,销售,是
洪山菜苔,花叶类,2022-11-12,20:49:01.139,1.0,2.0,销售,是
洪山菜苔,花叶类,2022-11-12,20:49:02.399,1.0,2.0,销售,是
