单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
洪湖莲藕(脆藕),水生根茎类,2022-07-21,11:57:03.623,1.0,10.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-07-21,19:34:17.967,1.0,10.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-07-22,21:48:03.740,1.0,10.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-07-23,10:17:31.352,1.0,6.5,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-23,10:17:31.459,1.0,6.5,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-23,15:10:19.264,1.0,6.5,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-23,15:10:27.035,1.0,10.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-07-23,20:41:51.123,1.0,6.5,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-27,09:51:37.805,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-07-27,18:20:11.300,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-07-27,18:26:08.962,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-07-27,20:23:20.787,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-07-28,14:23:08.870,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-07-28,20:20:39.889,1.0,7.1,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-28,20:37:16.451,1.0,7.1,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-29,09:52:22.295,1.0,7.1,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-29,10:03:32.670,1.0,7.1,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-29,17:38:09.209,1.0,7.1,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-29,20:50:36.280,1.0,7.1,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-30,12:53:20.170,1.0,7.1,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-07-30,15:08:21.403,1.0,7.1,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-08-16,10:51:59.170,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-16,17:36:30.043,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-17,19:54:51.889,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-18,12:10:00.561,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-18,18:43:09.768,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-18,20:45:17.311,1.0,8.3,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-08-19,12:06:12.641,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-19,12:43:11.954,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-19,12:49:47.207,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-19,12:49:47.394,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-19,15:08:12.582,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-19,16:02:35.595,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-19,16:25:37.998,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-19,17:06:21.842,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-19,17:06:25.139,1.0,11.8,销售,否
洪湖莲藕(脆藕),水生根茎类,2022-08-19,17:32:05.329,1.0,8.3,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-08-19,20:14:05.311,1.0,8.3,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-08-19,20:14:10.358,1.0,8.3,销售,是
洪湖莲藕(脆藕),水生根茎类,2022-09-23,18:24:44.201,1.0,11.8,销售,否
