单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
海鲜菇(2),食用菌,2022-03-13,12:00:51.393,0.219,16.0,销售,否
海鲜菇(2),食用菌,2022-03-13,15:21:39.407,0.219,16.0,销售,否
海鲜菇(2),食用菌,2022-03-13,16:31:25.234,0.244,16.0,销售,否
海鲜菇(2),食用菌,2022-03-14,12:02:18.623,0.313,16.0,销售,否
海鲜菇(2),食用菌,2022-03-14,12:14:05.676,0.32,16.0,销售,否
海鲜菇(2),食用菌,2022-03-14,13:42:58.755,0.301,16.0,销售,否
海鲜菇(2),食用菌,2022-03-14,18:40:29.290,0.244,16.0,销售,否
海鲜菇(2),食用菌,2022-03-15,12:42:00.574,0.301,16.0,销售,否
海鲜菇(2),食用菌,2022-03-15,20:42:22.095,0.282,16.0,销售,否
海鲜菇(2),食用菌,2022-03-16,09:48:59.874,0.282,16.0,销售,否
海鲜菇(2),食用菌,2022-03-16,12:56:20.670,0.313,16.0,销售,否
海鲜菇(2),食用菌,2022-03-16,15:41:58.831,0.301,16.0,销售,否
海鲜菇(2),食用菌,2022-03-16,19:12:34.076,0.32,9.6,销售,是
海鲜菇(2),食用菌,2022-03-16,20:54:19.980,0.32,9.6,销售,是
海鲜菇(2),食用菌,2022-03-16,21:22:33.980,0.32,9.6,销售,是
海鲜菇(2),食用菌,2022-03-17,14:13:04.195,0.282,16.0,销售,否
海鲜菇(2),食用菌,2022-03-17,15:38:49.941,0.332,16.0,销售,否
海鲜菇(2),食用菌,2022-03-17,17:39:19.587,0.263,16.0,销售,否
海鲜菇(2),食用菌,2022-03-17,20:16:58.391,0.338,16.0,销售,否
海鲜菇(2),食用菌,2022-03-18,18:33:33.530,0.313,16.0,销售,否
海鲜菇(2),食用菌,2022-03-18,20:17:13.962,0.32,8.0,销售,是
海鲜菇(2),食用菌,2022-03-19,11:08:31.572,0.282,16.0,销售,否
海鲜菇(2),食用菌,2022-03-19,15:35:41.436,0.338,16.0,销售,否
