单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
海鲜菇(份),食用菌,2022-02-08,14:08:02.998,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-08,15:37:01.092,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-08,20:58:13.686,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-09,12:15:20.869,1.0,4.5,销售,是
海鲜菇(份),食用菌,2022-02-09,12:49:11.670,1.0,4.5,销售,是
海鲜菇(份),食用菌,2022-02-09,16:27:36.572,1.0,4.5,销售,是
海鲜菇(份),食用菌,2022-02-09,17:03:16.554,1.0,4.5,销售,是
海鲜菇(份),食用菌,2022-02-09,18:50:25.639,1.0,4.5,销售,是
海鲜菇(份),食用菌,2022-02-09,21:03:26.585,1.0,4.5,销售,是
海鲜菇(份),食用菌,2022-02-10,09:39:06.368,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-10,13:13:09.467,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-10,17:19:34.709,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-10,19:25:22.170,1.0,4.5,销售,是
海鲜菇(份),食用菌,2022-02-10,20:59:17.370,1.0,4.5,销售,是
海鲜菇(份),食用菌,2022-02-11,13:32:49.562,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-11,15:53:04.373,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-11,18:27:39.021,1.0,4.5,销售,是
海鲜菇(份),食用菌,2022-02-11,19:55:32.451,1.0,4.5,销售,是
海鲜菇(份),食用菌,2022-02-11,20:20:39.032,1.0,3.8,销售,是
海鲜菇(份),食用菌,2022-02-11,20:48:49.984,1.0,3.8,销售,是
海鲜菇(份),食用菌,2022-02-11,20:59:08.483,1.0,3.8,销售,是
海鲜菇(份),食用菌,2022-02-11,21:05:51.134,1.0,3.8,销售,是
海鲜菇(份),食用菌,2022-02-11,21:11:45.236,1.0,3.8,销售,是
海鲜菇(份),食用菌,2022-02-11,21:16:24.264,1.0,3.8,销售,是
海鲜菇(份),食用菌,2022-02-14,20:09:35.623,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-14,20:28:49.701,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-14,20:40:20.358,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-15,09:23:28.495,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-15,10:57:14.936,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-15,17:30:28.696,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-15,18:06:10.498,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-15,18:13:25.483,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-15,20:22:12.880,1.0,7.5,销售,否
海鲜菇(份),食用菌,2022-02-17,15:05:22.907,1.0,4.1,销售,是
海鲜菇(份),食用菌,2022-06-28,17:59:58.146,1.0,4.9,销售,否
海鲜菇(份),食用菌,2022-06-29,11:48:47.233,1.0,4.9,销售,否
海鲜菇(份),食用菌,2022-06-29,16:14:00.321,1.0,4.9,销售,否
海鲜菇(份),食用菌,2022-06-29,18:51:25.061,1.0,4.9,销售,否
海鲜菇(份),食用菌,2022-06-29,19:56:30.311,1.0,2.9,销售,是
海鲜菇(份),食用菌,2022-06-29,19:59:54.770,1.0,2.9,销售,是
海鲜菇(份),食用菌,2022-06-30,14:01:24.373,1.0,4.9,销售,否
海鲜菇(份),食用菌,2022-06-30,14:20:16.983,1.0,4.9,销售,否
海鲜菇(份),食用菌,2022-06-30,18:08:51.264,1.0,4.9,销售,否
海鲜菇(份),食用菌,2022-07-15,17:14:37.903,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-15,18:10:43.733,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-15,18:27:23.474,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-15,20:09:08.994,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-15,21:23:40.951,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-16,21:03:24.867,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-16,21:23:05.961,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-17,17:52:44.767,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-17,22:07:22.043,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-19,18:51:51.853,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-20,09:58:40.260,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-21,10:59:21.733,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-21,18:30:59.795,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-21,21:05:55.174,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-23,11:27:17.550,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-23,13:14:54.948,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-23,17:40:47.586,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-23,19:20:09.803,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-23,19:40:03.092,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-23,19:40:47.408,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-23,20:13:42.561,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-23,20:26:33.144,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-23,21:07:42.842,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-25,13:50:01.139,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-25,14:17:24.248,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-25,18:14:04.148,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-25,19:17:00.530,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-25,19:17:53.064,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-25,20:47:29.764,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-25,21:42:05.045,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-26,18:35:34.951,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-26,19:06:30.155,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-26,20:30:48.295,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-26,20:49:15.389,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-27,16:04:52.714,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-27,16:41:01.826,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-27,19:05:06.574,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-27,20:37:34.451,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-28,11:33:13.264,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-28,16:51:46.799,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-28,17:41:27.362,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-28,20:17:03.536,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-28,20:17:24.259,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-28,20:26:46.535,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-28,20:30:49.780,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-28,20:36:13.264,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-29,09:59:50.710,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-29,20:21:57.061,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-29,21:02:48.565,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-29,21:24:03.499,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-29,21:25:46.734,1.0,2.4,销售,是
海鲜菇(份),食用菌,2022-07-29,21:27:59.076,1.0,2.4,销售,是
海鲜菇(份),食用菌,2022-07-30,15:27:35.316,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-30,21:03:54.108,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-07-31,09:28:07.778,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-31,11:00:50.762,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-07-31,12:12:31.076,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-01,09:27:41.104,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-01,10:14:49.959,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-01,10:17:29.897,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-01,11:12:24.320,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-02,11:08:25.441,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-02,17:28:20.150,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-02,20:39:35.764,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-03,10:58:40.180,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-03,11:22:01.603,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-03,11:42:07.772,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-04,09:18:36.951,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-04,09:55:37.665,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-04,09:59:01.342,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-04,10:05:02.302,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-04,17:22:29.045,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-04,19:38:50.210,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-05,09:16:13.875,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-05,10:00:17.832,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-05,11:55:02.444,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-05,16:45:42.451,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-05,16:51:56.648,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-05,17:51:09.608,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-05,17:55:09.539,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-05,18:10:05.452,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-05,18:36:30.204,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-05,19:52:09.670,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-05,19:55:20.040,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-05,20:06:03.978,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-05,20:15:37.670,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-05,20:36:02.086,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-06,09:59:47.664,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-06,10:07:34.454,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-06,11:52:20.298,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-06,17:07:43.749,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-06,20:39:43.798,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-07,09:35:41.420,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-07,11:28:19.992,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-07,14:57:33.858,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-07,19:49:22.533,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-07,20:00:24.315,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-07,20:04:25.753,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-07,20:09:20.342,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-07,20:09:50.061,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-07,20:09:53.811,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-07,20:51:43.341,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-07,21:31:41.623,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-08,10:45:58.248,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-08,11:12:51.747,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-08,11:15:40.405,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-08,11:37:32.355,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-08,17:11:09.198,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-08,17:14:43.233,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-08,17:24:08.795,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-08,18:43:58.200,1.0,5.9,销售,否
海鲜菇(份),食用菌,2022-08-08,19:20:09.588,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-08,19:40:48.437,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-08,19:53:25.092,1.0,3.5,销售,是
海鲜菇(份),食用菌,2022-08-08,20:35:14.437,1.0,3.5,销售,是
