单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
海鲜菇(袋)(3),食用菌,2022-01-13,10:03:31.573,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-14,18:30:18.951,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-15,10:59:51.768,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-15,10:59:51.956,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-15,12:04:52.092,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-15,14:06:50.342,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-15,16:26:37.253,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-15,17:26:43.168,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-15,18:46:56.295,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-15,19:05:57.155,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-16,11:43:51.066,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-16,13:37:22.667,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-16,15:44:17.561,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-16,15:45:24.733,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-16,17:35:22.561,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-17,10:16:50.145,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-17,11:40:30.616,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-17,12:19:26.523,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-17,15:55:57.968,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-17,18:38:12.555,1.0,3.5,销售,否
海鲜菇(袋)(3),食用菌,2022-01-18,16:12:59.444,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-18,17:25:36.014,1.0,3.5,销售,是
海鲜菇(袋)(3),食用菌,2022-01-19,17:00:31.458,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-19,17:00:31.646,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-19,17:33:41.408,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-19,18:08:25.767,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-19,18:18:57.889,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-19,18:33:19.701,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-19,18:59:45.557,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-19,18:59:45.744,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,11:32:36.468,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,13:38:49.264,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,13:49:53.248,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,13:49:53.447,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,13:49:54.250,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,14:59:52.076,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,16:54:05.717,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,16:55:51.925,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,17:07:37.326,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,17:10:03.389,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,18:55:02.233,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-20,20:25:36.601,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,09:56:56.168,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,10:21:52.692,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,11:03:16.815,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,11:14:29.608,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,11:51:23.841,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,13:47:22.061,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,17:20:51.858,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,18:04:13.405,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,18:05:07.821,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,19:12:57.464,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-21,20:14:22.842,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,09:33:20.280,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,10:29:03.764,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,12:14:25.655,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,13:19:13.967,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,13:40:16.801,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,15:15:00.889,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,15:17:36.889,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,15:37:59.187,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,19:58:23.217,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,20:06:04.967,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-22,20:06:06.889,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,10:10:23.417,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,10:10:23.612,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,10:14:21.217,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,10:51:29.311,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,12:06:58.658,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,13:41:41.260,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,13:41:41.458,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,15:12:08.175,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,15:12:08.370,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,15:59:41.249,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,17:43:40.835,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,19:15:42.467,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-23,19:16:05.889,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,10:52:40.272,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,10:52:40.929,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,12:19:14.074,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,13:49:14.553,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,16:22:39.373,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,16:22:39.573,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,16:36:35.123,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,16:47:58.436,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,17:05:13.758,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,17:38:39.045,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-24,20:24:45.066,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-25,15:49:52.248,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-25,17:28:31.092,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-25,18:49:25.318,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-26,12:10:22.842,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-26,13:39:56.877,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-26,13:39:57.070,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-26,13:39:57.257,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-26,15:13:41.271,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-26,15:35:43.376,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-26,15:49:53.915,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-26,15:49:54.328,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-26,17:05:51.913,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-26,19:38:39.427,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,09:38:51.980,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,09:38:52.162,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,11:23:36.962,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,11:23:37.156,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,13:37:22.687,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,14:03:11.319,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,14:12:29.750,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,14:12:34.687,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,18:21:07.778,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,18:38:01.421,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,19:15:59.864,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,19:32:27.216,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-27,20:03:09.436,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,10:07:54.576,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,10:07:57.936,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,10:45:38.892,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,10:45:39.089,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,10:48:47.592,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,10:51:12.373,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,10:51:29.701,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,12:11:29.233,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,12:12:39.561,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,12:32:26.969,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,12:32:27.169,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,13:09:41.655,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,13:09:43.733,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,13:13:16.784,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,13:13:16.980,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,15:50:52.076,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,15:50:58.561,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,15:59:25.811,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,16:19:52.031,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,16:43:43.826,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,16:43:54.983,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,17:24:09.184,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,17:24:10.091,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,18:11:50.759,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,18:11:54.538,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,18:47:03.891,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,19:29:19.839,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-28,19:29:20.031,1.0,3.9,销售,否
海鲜菇(袋)(3),食用菌,2022-01-29,10:25:39.623,1.0,4.9,销售,否
