单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
灯笼椒(1),辣椒类,2020-07-01,11:15:57.248,0.376,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-01,14:01:31.889,0.359,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-01,18:59:21.042,0.192,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-02,16:10:55.655,0.359,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-02,16:45:49.141,0.342,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-02,19:02:17.280,0.401,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-02,19:18:07.701,0.301,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-02,21:28:10.833,0.276,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-03,15:26:32.858,0.342,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-03,18:36:16.808,0.417,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-03,18:54:43.795,0.301,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-03,20:46:24.530,0.309,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-04,10:03:13.071,0.292,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-04,19:41:50.436,0.326,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-05,11:03:15.374,0.317,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-05,17:33:42.243,0.309,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-06,11:49:32.311,0.359,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-06,15:19:41.363,0.409,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-06,20:07:50.057,0.359,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-07,16:35:38.326,0.351,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-07,18:09:40.762,0.292,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-07,18:09:40.830,0.401,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-07,18:11:52.777,0.326,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-07,18:44:49.624,0.417,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-08,11:04:36.552,0.217,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-08,12:52:52.280,0.376,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-08,15:38:08.233,0.192,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-08,20:11:15.733,0.2,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-09,09:20:58.045,0.442,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-09,10:52:47.709,0.234,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-09,10:52:47.844,0.234,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-09,11:12:41.873,0.342,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-11,10:41:30.579,0.292,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-11,10:50:36.156,0.351,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-11,13:22:02.571,0.367,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-11,14:10:13.685,0.276,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-11,15:22:32.795,0.184,11.2,销售,是
灯笼椒(1),辣椒类,2020-07-11,15:23:45.545,0.334,11.2,销售,是
灯笼椒(1),辣椒类,2020-07-11,16:49:09.045,0.309,11.6,销售,是
灯笼椒(1),辣椒类,2020-07-11,20:42:28.280,0.284,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-11,20:57:55.419,0.367,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-11,21:15:15.780,0.317,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-12,16:43:43.561,0.317,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-12,17:02:34.545,0.359,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-12,18:26:11.795,0.142,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-12,21:13:20.873,0.367,12.0,销售,否
灯笼椒(1),辣椒类,2020-07-13,09:17:37.483,0.341,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-13,09:17:50.467,0.351,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-13,10:53:37.951,0.371,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-13,14:19:35.320,0.16,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-13,14:27:17.092,0.431,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-14,10:29:02.892,0.311,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-14,16:25:13.202,0.511,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-14,18:07:00.746,0.381,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-14,18:24:55.371,0.521,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-14,19:47:46.357,0.371,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-15,20:29:29.872,0.451,10.0,销售,否
灯笼椒(1),辣椒类,2020-07-16,18:23:17.030,0.351,2.5,销售,是
灯笼椒(1),辣椒类,2020-07-16,18:23:19.405,0.321,2.5,销售,是
灯笼椒(1),辣椒类,2020-07-17,11:04:00.295,0.371,10.0,销售,否
