单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
牛排菇(盒),食用菌,2021-12-30,15:45:49.706,1.0,9.9,销售,否
牛排菇(盒),食用菌,2021-12-31,11:27:50.768,1.0,5.9,销售,是
牛排菇(盒),食用菌,2021-12-31,11:49:36.795,1.0,9.9,销售,否
牛排菇(盒),食用菌,2021-12-31,19:42:21.045,1.0,5.9,销售,是
牛排菇(盒),食用菌,2022-01-05,13:55:29.514,1.0,5.9,销售,是
牛排菇(盒),食用菌,2022-02-20,16:15:18.465,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-02-24,19:17:18.873,1.0,4.1,销售,是
牛排菇(盒),食用菌,2022-02-27,12:27:08.030,1.0,6.9,销售,是
牛排菇(盒),食用菌,2022-02-27,15:59:19.536,1.0,6.9,销售,是
牛排菇(盒),食用菌,2022-02-27,20:04:52.780,1.0,6.9,销售,是
牛排菇(盒),食用菌,2022-02-27,20:49:06.806,1.0,6.9,销售,是
牛排菇(盒),食用菌,2022-02-28,20:44:22.870,1.0,6.9,销售,是
牛排菇(盒),食用菌,2022-03-05,17:54:19.434,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-03-05,18:11:40.358,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-03-05,20:09:13.967,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-03-08,20:24:51.145,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-03-09,16:11:13.605,1.0,5.9,销售,是
牛排菇(盒),食用菌,2022-03-16,10:09:37.483,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-03-18,19:12:02.451,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-04-12,17:29:06.571,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-04-16,10:34:52.639,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-04-17,17:10:31.733,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-04-28,16:30:43.378,1.0,6.9,销售,是
牛排菇(盒),食用菌,2022-05-09,19:55:31.452,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-06-21,21:05:03.634,1.0,5.0,销售,是
牛排菇(盒),食用菌,2022-06-23,12:19:07.905,-1.0,5.0,退货,否
牛排菇(盒),食用菌,2022-07-10,10:23:50.380,1.0,9.9,销售,否
牛排菇(盒),食用菌,2022-07-10,21:11:34.082,1.0,5.9,销售,是
牛排菇(盒),食用菌,2022-08-19,14:52:10.712,1.0,8.9,销售,否
牛排菇(盒),食用菌,2022-08-19,17:00:35.967,1.0,8.9,销售,否
牛排菇(盒),食用菌,2022-08-19,17:06:58.889,1.0,8.9,销售,否
牛排菇(盒),食用菌,2022-08-19,17:07:10.092,1.0,8.9,销售,否
牛排菇(盒),食用菌,2023-02-04,10:51:02.012,1.0,9.9,销售,否
牛排菇(盒),食用菌,2023-02-06,18:02:08.726,1.0,5.9,销售,是
牛排菇(盒),食用菌,2023-02-11,20:41:07.063,1.0,9.9,销售,否
牛排菇(盒),食用菌,2023-03-03,15:31:42.545,1.0,5.9,销售,是
