单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
牛排菇,食用菌,2020-12-12,11:18:30.733,0.271,25.8,销售,否
牛排菇,食用菌,2020-12-12,16:04:50.248,0.264,25.8,销售,否
牛排菇,食用菌,2020-12-13,10:35:19.568,0.287,25.8,销售,否
牛排菇,食用菌,2020-12-13,17:44:25.862,0.306,25.8,销售,否
牛排菇,食用菌,2020-12-13,18:41:32.336,0.295,25.8,销售,否
牛排菇,食用菌,2020-12-17,18:15:06.842,0.14,25.8,销售,否
牛排菇,食用菌,2020-12-17,19:09:07.109,0.252,25.8,销售,否
牛排菇,食用菌,2020-12-18,13:44:06.249,0.271,25.8,销售,否
牛排菇,食用菌,2020-12-18,21:42:14.544,0.248,25.8,销售,否
牛排菇,食用菌,2021-10-31,12:16:46.641,0.319,29.8,销售,否
牛排菇,食用菌,2021-10-31,16:38:38.701,0.289,29.8,销售,否
牛排菇,食用菌,2021-10-31,17:16:02.757,0.309,29.8,销售,否
牛排菇,食用菌,2021-10-31,19:28:16.254,0.346,29.8,销售,否
牛排菇,食用菌,2021-10-31,20:07:43.341,0.322,29.8,销售,否
牛排菇,食用菌,2021-11-01,09:48:22.592,0.322,29.8,销售,否
牛排菇,食用菌,2021-11-01,14:59:04.524,0.319,29.8,销售,否
牛排菇,食用菌,2021-11-02,12:00:57.748,0.258,29.8,销售,否
牛排菇,食用菌,2021-11-02,13:07:13.113,0.289,29.8,销售,否
牛排菇,食用菌,2021-11-02,13:32:57.444,0.309,29.8,销售,否
牛排菇,食用菌,2021-11-04,18:31:34.518,0.222,29.8,销售,否
牛排菇,食用菌,2021-11-06,21:05:07.879,0.101,29.8,销售,否
牛排菇,食用菌,2021-11-07,11:36:21.686,0.222,29.8,销售,否
牛排菇,食用菌,2021-11-07,11:45:58.561,0.215,29.8,销售,否
牛排菇,食用菌,2021-11-07,15:40:38.866,0.225,29.8,销售,否
牛排菇,食用菌,2021-11-07,19:50:02.171,0.201,29.8,销售,否
