单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
田七,花叶类,2021-02-22,17:46:06.757,0.242,12.0,销售,否
田七,花叶类,2021-02-22,19:55:45.998,0.234,12.0,销售,否
田七,花叶类,2021-02-23,18:35:21.215,0.209,12.0,销售,否
田七,花叶类,2021-02-24,21:02:27.951,0.234,12.0,销售,否
田七,花叶类,2021-03-07,09:50:12.342,0.393,14.0,销售,否
田七,花叶类,2021-03-07,10:02:14.186,0.444,14.0,销售,否
田七,花叶类,2021-03-07,10:12:00.764,0.379,14.0,销售,否
田七,花叶类,2021-03-08,11:59:20.792,0.408,14.0,销售,否
田七,花叶类,2021-03-09,09:53:05.545,0.125,12.0,销售,否
田七,花叶类,2021-03-09,11:20:53.639,0.434,12.0,销售,否
田七,花叶类,2021-03-09,16:14:01.532,0.134,12.0,销售,否
田七,花叶类,2021-03-10,10:06:52.127,0.184,12.0,销售,否
田七,花叶类,2021-03-10,10:19:41.998,0.192,12.0,销售,否
田七,花叶类,2021-03-10,16:10:22.811,0.242,12.0,销售,否
田七,花叶类,2021-03-10,18:02:57.920,0.175,12.0,销售,否
田七,花叶类,2021-03-11,15:56:03.500,0.159,12.0,销售,否
田七,花叶类,2021-03-11,17:42:19.953,0.225,12.0,销售,否
田七,花叶类,2021-03-12,09:22:20.483,0.159,12.0,销售,否
田七,花叶类,2021-03-12,09:23:08.473,0.217,12.0,销售,否
田七,花叶类,2021-03-12,09:39:39.139,0.217,12.0,销售,否
田七,花叶类,2021-03-13,15:48:26.030,0.301,12.0,销售,否
田七,花叶类,2021-03-13,17:15:00.423,0.1,12.0,销售,否
田七,花叶类,2021-03-14,09:55:34.873,0.167,12.0,销售,否
田七,花叶类,2021-03-14,10:22:09.662,0.384,12.0,销售,否
田七,花叶类,2021-03-14,11:15:35.561,0.301,12.0,销售,否
田七,花叶类,2021-03-14,12:10:42.996,0.092,12.0,销售,否
田七,花叶类,2021-03-14,17:41:28.959,0.217,12.0,销售,否
田七,花叶类,2021-03-19,20:19:50.237,0.25,16.0,销售,否
田七,花叶类,2021-03-20,15:23:11.617,0.069,16.0,销售,否
田七,花叶类,2021-03-22,11:17:17.451,0.056,16.0,销售,否
田七,花叶类,2021-03-24,09:54:01.034,0.244,16.0,销售,否
田七,花叶类,2021-03-25,14:52:27.197,0.269,16.0,销售,否
田七,花叶类,2021-03-25,18:07:18.283,0.232,16.0,销售,否
田七,花叶类,2021-03-26,18:44:28.920,0.263,16.0,销售,否
田七,花叶类,2021-03-27,16:34:17.358,0.225,16.0,销售,否
田七,花叶类,2021-03-27,19:03:01.424,0.244,16.0,销售,否
田七,花叶类,2021-03-27,19:59:48.520,0.213,16.0,销售,否
田七,花叶类,2021-03-28,20:57:19.358,0.282,16.0,销售,否
田七,花叶类,2021-03-29,09:58:56.170,0.25,16.0,销售,否
田七,花叶类,2021-03-30,15:54:56.108,0.25,16.0,销售,否
田七,花叶类,2021-03-30,20:13:03.875,0.238,16.0,销售,否
田七,花叶类,2021-03-30,20:13:04.066,0.207,16.0,销售,否
田七,花叶类,2021-04-02,09:36:05.045,0.225,16.0,销售,否
田七,花叶类,2021-04-02,09:51:26.387,0.225,16.0,销售,否
田七,花叶类,2021-04-02,12:32:39.250,0.219,16.0,销售,否
田七,花叶类,2021-04-03,13:10:29.467,0.238,16.0,销售,否
田七,花叶类,2021-04-03,13:10:30.691,0.207,16.0,销售,否
田七,花叶类,2021-04-04,09:37:05.121,0.294,16.0,销售,否
田七,花叶类,2021-04-04,10:16:49.967,0.3,16.0,销售,否
田七,花叶类,2021-04-04,11:46:08.937,0.119,16.0,销售,否
田七,花叶类,2021-04-04,12:58:47.030,0.2,16.0,销售,否
田七,花叶类,2021-04-05,10:27:57.530,0.175,16.0,销售,否
田七,花叶类,2021-04-06,18:22:12.748,0.35,16.0,销售,否
田七,花叶类,2021-04-07,13:50:01.983,0.369,16.0,销售,否
田七,花叶类,2021-04-08,09:45:46.655,0.325,16.0,销售,否
田七,花叶类,2021-04-08,16:20:06.889,0.438,16.0,销售,否
田七,花叶类,2021-04-08,16:34:41.080,0.131,16.0,销售,否
田七,花叶类,2021-04-10,10:31:01.592,0.131,16.0,销售,否
田七,花叶类,2021-04-11,10:53:46.373,0.313,16.0,销售,否
田七,花叶类,2021-04-13,09:42:00.248,0.088,16.0,销售,否
田七,花叶类,2021-04-13,09:55:16.808,0.376,16.0,销售,否
田七,花叶类,2021-04-13,16:32:42.601,0.419,16.0,销售,否
田七,花叶类,2021-04-14,10:28:08.983,0.163,16.0,销售,否
田七,花叶类,2021-04-16,10:06:42.623,0.207,16.0,销售,否
田七,花叶类,2021-04-16,15:00:40.774,0.056,16.0,销售,否
田七,花叶类,2021-04-16,15:32:07.108,0.175,16.0,销售,否
田七,花叶类,2021-04-16,15:47:34.393,0.476,16.0,销售,否
田七,花叶类,2021-04-17,09:46:18.817,0.294,16.0,销售,否
田七,花叶类,2021-04-17,15:08:31.186,0.432,16.0,销售,否
田七,花叶类,2021-04-21,16:31:26.248,0.113,16.0,销售,否
田七,花叶类,2021-04-22,10:39:03.842,0.125,16.0,销售,否
田七,花叶类,2021-04-22,11:09:32.889,0.501,16.0,销售,否
田七,花叶类,2021-04-22,14:48:32.460,0.05,16.0,销售,否
田七,花叶类,2021-04-22,21:19:17.231,0.219,16.0,销售,否
田七,花叶类,2021-04-24,15:13:07.537,0.288,16.0,销售,否
田七,花叶类,2021-04-26,10:48:10.748,0.156,16.0,销售,否
田七,花叶类,2021-04-27,15:24:13.451,0.369,16.0,销售,否
田七,花叶类,2021-04-28,09:40:37.599,0.288,16.0,销售,否
田七,花叶类,2021-04-28,20:03:39.717,0.357,16.0,销售,否
田七,花叶类,2021-04-30,19:37:10.248,0.801,16.0,销售,否
田七,花叶类,2021-05-01,11:52:19.561,0.163,16.0,销售,否
田七,花叶类,2021-05-03,16:53:44.085,0.307,16.0,销售,否
田七,花叶类,2021-05-03,18:08:02.574,0.182,16.0,销售,否
田七,花叶类,2021-05-04,13:25:52.665,0.288,16.0,销售,否
田七,花叶类,2021-05-07,10:13:59.451,0.282,16.0,销售,否
田七,花叶类,2021-05-08,17:45:40.361,0.088,16.0,销售,否
田七,花叶类,2021-05-09,12:34:53.738,0.163,16.0,销售,否
田七,花叶类,2021-05-10,14:10:28.920,0.357,16.0,销售,否
田七,花叶类,2021-05-11,14:34:29.186,0.344,16.0,销售,否
田七,花叶类,2021-05-12,10:15:44.164,0.163,16.0,销售,否
田七,花叶类,2021-05-12,11:00:05.092,0.182,16.0,销售,否
田七,花叶类,2021-05-14,10:42:37.920,0.194,16.0,销售,否
田七,花叶类,2021-05-14,15:42:46.746,0.238,16.0,销售,否
田七,花叶类,2021-05-14,18:38:02.795,0.807,16.0,销售,否
田七,花叶类,2021-05-15,09:55:07.701,0.329,14.0,销售,否
田七,花叶类,2021-05-15,14:01:21.092,0.479,14.0,销售,否
田七,花叶类,2021-05-17,14:25:16.998,0.329,14.0,销售,否
田七,花叶类,2021-05-17,17:58:49.572,0.401,14.0,销售,否
田七,花叶类,2021-05-17,20:57:05.280,0.1,14.0,销售,否
田七,花叶类,2021-05-18,15:36:25.014,0.215,14.0,销售,否
田七,花叶类,2021-05-20,09:48:46.244,0.165,14.0,销售,否
田七,花叶类,2021-05-20,11:13:39.308,0.229,14.0,销售,否
田七,花叶类,2021-05-20,14:00:54.998,0.236,14.0,销售,否
田七,花叶类,2021-05-22,15:11:51.701,0.15,14.0,销售,否
田七,花叶类,2021-05-23,11:08:02.649,0.293,14.0,销售,否
田七,花叶类,2021-05-23,15:56:33.330,0.258,14.0,销售,否
田七,花叶类,2021-05-24,10:17:55.748,0.157,14.0,销售,否
田七,花叶类,2021-05-24,10:45:36.373,0.179,14.0,销售,否
田七,花叶类,2021-05-25,15:25:23.706,0.265,14.0,销售,否
田七,花叶类,2021-05-27,11:33:44.434,0.186,14.0,销售,否
田七,花叶类,2021-05-27,11:44:37.403,0.215,14.0,销售,否
田七,花叶类,2021-05-27,13:37:57.545,0.157,14.0,销售,否
田七,花叶类,2021-05-29,09:29:20.068,0.258,14.0,销售,否
田七,花叶类,2021-05-29,11:04:10.170,0.207,14.0,销售,否
田七,花叶类,2021-05-29,11:35:17.604,0.186,14.0,销售,否
田七,花叶类,2021-05-31,10:21:33.782,0.179,14.0,销售,否
田七,花叶类,2021-05-31,11:48:15.238,0.243,14.0,销售,否
田七,花叶类,2021-06-01,20:27:27.905,0.186,14.0,销售,否
田七,花叶类,2021-06-02,13:49:00.826,0.458,14.0,销售,否
田七,花叶类,2021-06-05,14:58:21.434,0.165,14.0,销售,否
田七,花叶类,2021-06-05,19:58:58.389,0.358,14.0,销售,否
田七,花叶类,2021-06-06,11:13:24.553,0.25,14.0,销售,否
田七,花叶类,2021-06-06,11:45:09.639,0.358,14.0,销售,否
田七,花叶类,2021-06-07,09:35:31.469,0.186,14.0,销售,否
田七,花叶类,2021-06-11,10:55:45.979,0.279,14.0,销售,否
田七,花叶类,2021-06-12,11:59:41.049,0.25,14.0,销售,否
田七,花叶类,2021-06-13,09:33:28.690,0.329,14.0,销售,否
田七,花叶类,2021-06-28,11:36:25.306,0.15,10.0,销售,否
田七,花叶类,2021-06-28,15:35:26.014,0.301,10.0,销售,否
田七,花叶类,2021-06-29,10:42:44.008,0.267,12.0,销售,否
田七,花叶类,2021-06-29,16:41:54.661,0.159,12.0,销售,否
田七,花叶类,2021-06-29,19:27:09.701,0.184,12.0,销售,否
田七,花叶类,2021-07-02,18:32:05.436,0.489,8.0,销售,否
田七,花叶类,2021-07-03,10:05:57.139,0.489,8.0,销售,否
田七,花叶类,2021-07-03,10:06:43.358,0.451,8.0,销售,否
田七,花叶类,2021-07-04,10:37:25.201,0.301,8.0,销售,否
田七,花叶类,2021-07-04,17:33:19.655,0.138,8.0,销售,否
田七,花叶类,2021-07-05,17:20:20.964,0.401,8.0,销售,否
田七,花叶类,2021-07-06,09:49:26.058,0.15,8.0,销售,否
田七,花叶类,2021-07-06,18:56:57.264,0.326,8.0,销售,否
田七,花叶类,2021-07-08,09:36:02.959,0.389,8.0,销售,否
田七,花叶类,2021-07-09,11:16:39.030,0.238,8.0,销售,否
田七,花叶类,2021-07-09,14:09:33.923,0.113,8.0,销售,否
田七,花叶类,2021-07-09,17:42:58.778,0.163,8.0,销售,否
田七,花叶类,2021-07-10,10:08:24.342,0.313,8.0,销售,否
田七,花叶类,2021-07-11,10:59:59.866,0.301,8.0,销售,否
田七,花叶类,2021-07-12,11:31:12.982,0.251,8.0,销售,否
田七,花叶类,2021-07-14,09:52:34.780,0.376,8.0,销售,否
田七,花叶类,2021-07-16,10:57:35.484,0.276,8.0,销售,否
田七,花叶类,2021-07-16,16:24:31.890,0.226,8.0,销售,否
田七,花叶类,2021-07-16,17:38:12.809,0.15,8.0,销售,否
田七,花叶类,2021-07-17,09:54:17.141,0.313,8.0,销售,否
田七,花叶类,2021-07-17,10:55:04.750,0.401,8.0,销售,否
田七,花叶类,2021-07-17,10:59:55.530,0.088,8.0,销售,否
田七,花叶类,2021-07-17,11:32:52.030,0.15,8.0,销售,否
田七,花叶类,2021-07-17,12:13:40.780,0.251,8.0,销售,否
田七,花叶类,2021-07-18,11:15:47.123,0.188,8.0,销售,否
田七,花叶类,2021-07-18,18:26:42.444,0.213,8.0,销售,否
田七,花叶类,2021-07-19,11:06:32.092,0.175,8.0,销售,否
田七,花叶类,2021-07-19,13:15:35.280,0.451,8.0,销售,否
田七,花叶类,2021-07-19,16:24:42.684,0.163,8.0,销售,否
田七,花叶类,2021-07-20,09:48:58.264,0.439,8.0,销售,否
田七,花叶类,2021-07-20,11:32:30.498,0.338,8.0,销售,否
田七,花叶类,2021-07-22,10:41:00.030,0.167,12.0,销售,否
田七,花叶类,2021-07-22,19:35:41.996,0.084,12.0,销售,否
田七,花叶类,2021-07-23,13:55:35.608,0.543,12.0,销售,否
田七,花叶类,2021-07-26,21:08:58.905,0.244,14.0,销售,否
田七,花叶类,2021-07-28,11:18:08.126,0.179,14.0,销售,否
田七,花叶类,2021-07-28,11:41:43.474,0.172,14.0,销售,否
田七,花叶类,2021-07-30,12:10:18.156,0.219,16.0,销售,否
田七,花叶类,2021-07-31,17:38:03.795,0.194,16.0,销售,否
田七,花叶类,2021-08-01,11:28:34.280,0.207,16.0,销售,否
田七,花叶类,2021-08-01,12:53:59.217,0.219,16.0,销售,否
田七,花叶类,2023-03-11,10:35:41.233,0.308,19.8,销售,否
田七,花叶类,2023-03-11,10:58:09.214,0.253,19.8,销售,否
田七,花叶类,2023-03-11,13:55:43.272,0.298,19.8,销售,否
田七,花叶类,2023-03-11,18:10:27.846,0.328,19.8,销售,否
