单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
白玉菇(2),食用菌,2020-07-12,15:59:37.086,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-12,17:02:24.967,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-12,17:02:34.498,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-12,17:02:42.030,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-14,15:00:40.451,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-14,15:00:59.389,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-14,19:04:27.545,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-14,21:38:42.610,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-15,14:52:59.282,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-15,15:54:17.389,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-15,16:51:52.758,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-16,15:48:28.452,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-16,16:23:48.655,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-16,18:38:45.748,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-16,18:49:59.260,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-16,18:55:54.063,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-17,10:47:14.889,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-17,11:38:04.749,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-17,12:22:15.326,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-17,19:52:42.717,1.0,3.3,销售,是
白玉菇(2),食用菌,2020-07-18,09:24:15.406,1.0,3.1,销售,是
白玉菇(2),食用菌,2020-07-18,11:46:06.373,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-18,11:46:20.967,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-18,11:51:55.967,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-18,12:07:51.201,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-18,14:36:57.092,1.0,3.3,销售,是
白玉菇(2),食用菌,2020-07-19,10:52:38.295,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-19,12:17:05.587,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-19,14:40:39.170,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-20,16:03:14.639,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-20,16:03:31.483,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-20,16:03:37.123,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-20,17:47:09.139,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-20,19:48:28.576,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-21,09:50:46.015,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-21,20:53:17.557,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-22,09:34:58.733,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-22,11:05:23.306,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-22,11:26:26.616,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-22,12:52:19.766,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-22,12:52:19.820,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-22,17:18:51.618,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-22,17:45:15.326,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-23,12:24:18.043,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-23,16:14:07.104,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-23,18:00:52.511,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-23,18:12:24.748,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-23,18:20:24.162,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-24,09:47:26.351,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-24,10:04:40.744,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-24,10:37:32.476,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-24,12:11:52.414,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-24,16:39:52.632,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-25,09:37:27.967,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-25,11:29:59.901,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-25,11:44:13.108,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-25,14:16:41.657,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-25,16:37:42.135,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-26,09:36:45.585,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-26,10:39:02.858,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-26,11:13:38.030,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-26,11:17:10.060,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-26,11:17:10.114,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-27,10:06:30.795,1.0,3.5,销售,是
白玉菇(2),食用菌,2020-07-27,10:17:14.655,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-27,11:37:31.405,1.0,3.0,销售,是
白玉菇(2),食用菌,2020-07-28,18:01:29.920,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-28,18:28:31.842,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-28,18:28:37.826,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-28,18:38:51.140,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-29,10:38:33.702,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-29,17:22:06.514,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-29,17:54:50.890,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-30,09:53:35.165,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-30,10:19:54.757,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-30,11:00:52.201,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-30,14:57:57.969,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-30,16:42:59.195,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-30,18:43:57.870,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-31,11:37:09.854,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-31,16:45:58.829,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-31,16:45:58.932,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-31,18:30:30.561,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-07-31,20:31:26.551,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-01,09:11:04.514,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-01,09:27:09.858,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-01,10:35:34.310,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-01,10:37:48.497,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-01,10:58:41.116,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-02,09:29:36.545,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-02,09:36:40.408,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-02,11:16:03.889,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-02,11:37:04.623,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-02,12:57:30.027,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-03,10:47:33.467,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-03,12:12:50.936,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-03,17:36:58.385,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-03,17:47:03.126,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-05,09:18:44.900,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-05,11:20:15.989,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-05,11:23:18.998,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-05,15:11:34.467,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-05,18:00:26.334,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-05,18:19:25.876,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-05,20:45:53.759,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-06,09:30:42.623,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-06,10:04:53.405,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-06,12:00:15.413,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-06,16:44:18.998,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-07,09:46:47.024,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-07,10:09:40.648,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-07,11:10:28.389,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-07,17:52:03.231,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-07,18:05:40.578,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-08,14:15:51.717,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-08,16:22:42.799,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-08,17:06:45.531,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-08,17:22:35.092,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-08,17:56:24.040,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-09,10:26:29.573,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-09,10:35:12.108,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-09,11:40:10.826,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-09,15:24:00.139,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-09,15:24:03.545,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-14,11:04:24.576,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-14,11:05:32.264,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-15,09:45:11.224,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-15,11:06:54.873,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-15,11:22:50.623,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-15,11:51:16.026,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-15,15:58:40.712,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-16,10:16:10.892,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-16,10:16:10.952,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-16,15:11:26.905,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-16,17:18:32.889,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-17,09:44:40.600,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-17,10:16:56.714,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-17,17:30:26.545,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-17,17:36:52.998,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-17,17:37:02.983,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-17,18:30:46.139,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-18,09:53:05.092,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-18,14:34:35.217,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-19,13:05:14.462,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-19,19:16:06.967,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-20,10:47:03.393,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-20,12:12:46.925,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-21,10:47:28.092,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-21,10:56:48.108,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-24,17:42:10.701,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-25,10:22:51.451,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-25,11:14:17.001,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-25,11:22:59.014,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-25,17:50:03.164,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-25,18:51:00.733,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-26,14:54:25.920,1.0,3.5,销售,否
白玉菇(2),食用菌,2020-08-27,10:42:41.373,1.0,3.5,销售,是
白玉菇(2),食用菌,2020-08-27,16:52:07.889,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-28,10:42:04.500,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-28,11:24:40.592,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-28,15:05:16.562,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-28,17:16:30.233,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-28,17:36:43.339,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-28,18:37:53.246,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-28,19:01:48.348,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-28,19:23:08.416,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-29,11:01:24.093,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-29,12:06:15.535,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-29,12:51:12.047,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-29,15:02:36.936,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-29,17:16:33.795,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-29,17:32:54.824,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-30,14:03:14.998,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-30,17:31:44.782,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-30,18:10:48.654,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-30,19:10:37.454,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-08-30,20:23:02.873,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-01,09:36:10.306,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-01,15:47:42.248,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-01,16:25:20.592,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-01,18:23:30.014,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-01,19:16:08.347,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-01,20:12:30.481,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-02,10:33:11.676,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-02,14:32:19.826,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-02,17:09:49.684,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-02,20:01:27.523,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-02,20:01:27.576,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-02,20:01:27.631,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-02,20:01:27.683,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-03,10:51:07.997,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-03,15:16:05.030,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-03,17:49:32.708,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-03,19:09:16.584,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-04,09:43:12.006,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-04,09:43:12.057,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-04,10:16:12.701,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-04,10:51:50.030,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-04,11:38:46.545,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-04,14:09:14.405,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-04,15:51:02.167,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-05,11:11:03.436,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-05,11:20:39.197,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-05,12:43:26.894,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-05,16:53:13.369,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-05,20:52:57.670,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-05,21:03:57.531,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-05,21:30:50.311,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-06,10:57:38.670,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-06,11:12:28.091,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-06,11:17:56.530,1.0,4.9,销售,否
白玉菇(2),食用菌,2020-09-06,13:37:57.349,1.0,4.9,销售,否
