单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
白玉菇(盒),食用菌,2022-01-13,11:07:20.592,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-14,09:55:47.467,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-14,19:03:27.280,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-17,13:29:15.227,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-18,09:58:06.608,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-18,16:13:02.538,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-18,20:10:44.703,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-19,12:06:17.373,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-19,18:28:22.749,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-20,12:25:45.889,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-20,15:14:31.000,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-20,18:28:08.842,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-21,15:06:26.576,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-21,19:06:52.451,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-21,20:18:18.651,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-22,15:32:01.129,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-22,16:11:43.336,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-22,21:20:06.655,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-22,21:20:17.561,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-23,18:27:08.248,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-24,16:48:05.280,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-26,09:21:52.335,1.0,2.0,销售,是
白玉菇(盒),食用菌,2022-01-26,09:23:30.873,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-26,12:10:24.998,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-26,18:28:43.114,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-27,14:12:32.671,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-27,17:55:14.702,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-28,10:47:46.400,1.0,2.9,销售,否
白玉菇(盒),食用菌,2022-01-28,10:47:46.583,1.0,2.9,销售,否
