单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
白玉菇(袋),食用菌,2020-08-07,18:05:47.218,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-07,18:42:05.351,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-07,19:59:39.093,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-07,20:20:47.341,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-08,11:54:39.390,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-08,16:49:59.884,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-08,17:18:40.125,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-08,17:31:45.127,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-08,17:56:23.846,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-08,18:20:03.338,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-08,19:20:52.102,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-19,18:10:44.780,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-19,18:45:09.649,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-20,11:01:33.014,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-20,12:14:42.936,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-21,19:30:47.014,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-21,20:21:15.789,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-22,09:38:13.686,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-22,16:11:33.507,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-23,14:04:08.608,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-23,17:01:08.147,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-24,11:27:27.890,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-24,13:48:11.225,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-25,19:18:53.500,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-25,19:27:24.592,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-26,09:57:10.942,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-27,15:11:52.862,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-27,21:35:55.708,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-27,21:56:50.904,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-28,11:15:17.156,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-28,12:12:30.998,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-29,17:38:44.655,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-30,11:23:06.833,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-30,18:20:01.117,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-30,19:30:51.030,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-08-31,17:38:11.541,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-09-01,10:25:14.136,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-09-02,10:23:58.822,1.0,7.9,销售,否
白玉菇(袋),食用菌,2020-09-02,20:16:16.637,1.0,7.9,销售,否
