单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
白蒿,花叶类,2023-02-15,10:36:17.655,0.104,35.6,销售,否
白蒿,花叶类,2023-02-17,11:21:49.264,0.098,35.6,销售,否
白蒿,花叶类,2023-02-19,11:52:58.594,0.124,35.6,销售,否
白蒿,花叶类,2023-02-19,11:53:01.131,0.183,35.6,销售,否
白蒿,花叶类,2023-02-20,10:11:55.486,0.079,35.6,销售,否
白蒿,花叶类,2023-02-23,12:55:50.295,0.051,31.6,销售,否
白蒿,花叶类,2023-02-26,15:38:31.191,0.187,31.6,销售,否
白蒿,花叶类,2023-03-09,10:47:01.936,0.119,23.6,销售,否
白蒿,花叶类,2023-03-10,10:32:48.655,0.165,14.2,销售,是
白蒿,花叶类,2023-03-11,20:53:23.009,0.186,14.2,销售,是
白蒿,花叶类,2023-03-14,14:21:59.465,0.178,23.6,销售,否
白蒿,花叶类,2023-03-15,16:16:15.016,0.178,23.6,销售,否
白蒿,花叶类,2023-03-21,19:45:52.282,0.178,14.2,销售,是
白蒿,花叶类,2023-03-22,19:39:43.687,0.186,14.2,销售,是
白蒿,花叶类,2023-03-23,11:47:08.249,0.208,23.6,销售,否
