单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
秀珍菇,食用菌,2020-11-25,09:52:22.686,0.229,14.0,销售,否
秀珍菇,食用菌,2020-11-25,17:04:37.436,0.258,14.0,销售,否
秀珍菇,食用菌,2020-11-25,18:30:11.139,0.236,14.0,销售,否
秀珍菇,食用菌,2020-11-25,18:39:50.583,0.193,14.0,销售,否
秀珍菇,食用菌,2020-11-25,21:06:49.639,0.207,14.0,销售,否
秀珍菇,食用菌,2020-11-26,11:12:42.409,0.213,16.0,销售,否
秀珍菇,食用菌,2020-11-26,17:56:43.936,0.2,16.0,销售,否
秀珍菇,食用菌,2020-11-26,18:53:45.264,0.219,16.0,销售,否
秀珍菇,食用菌,2020-11-26,18:55:04.764,0.207,16.0,销售,否
秀珍菇,食用菌,2020-11-27,18:17:59.739,0.25,16.0,销售,否
秀珍菇,食用菌,2020-11-28,18:16:30.226,0.269,16.0,销售,否
秀珍菇,食用菌,2020-11-28,18:42:31.386,0.269,16.0,销售,否
秀珍菇,食用菌,2020-11-28,19:00:09.389,0.3,16.0,销售,否
秀珍菇,食用菌,2020-11-28,20:22:58.422,0.219,16.0,销售,否
秀珍菇,食用菌,2020-11-29,14:49:12.717,0.225,16.0,销售,否
秀珍菇,食用菌,2020-11-29,17:59:54.826,0.25,16.0,销售,否
秀珍菇,食用菌,2020-11-29,18:19:23.686,0.144,16.0,销售,否
秀珍菇,食用菌,2020-11-29,19:44:32.936,0.194,16.0,销售,否
秀珍菇,食用菌,2020-11-30,19:18:41.222,0.2,16.0,销售,否
秀珍菇,食用菌,2020-11-30,19:51:39.717,0.238,16.0,销售,否
秀珍菇,食用菌,2020-11-30,21:14:47.233,0.25,16.0,销售,否
秀珍菇,食用菌,2020-12-04,09:49:28.373,0.223,18.0,销售,否
秀珍菇,食用菌,2020-12-04,09:49:31.389,0.223,18.0,销售,否
秀珍菇,食用菌,2020-12-04,11:22:25.358,0.245,18.0,销售,否
秀珍菇,食用菌,2020-12-04,17:50:18.248,0.2,18.0,销售,否
秀珍菇,食用菌,2020-12-04,18:35:39.436,0.278,18.0,销售,否
秀珍菇,食用菌,2020-12-04,21:08:07.003,0.234,18.0,销售,否
秀珍菇,食用菌,2020-12-05,10:42:05.045,0.306,18.0,销售,否
秀珍菇,食用菌,2020-12-05,18:16:54.358,0.267,18.0,销售,否
秀珍菇,食用菌,2020-12-06,11:37:52.076,0.195,18.0,销售,否
秀珍菇,食用菌,2020-12-06,15:55:04.789,0.245,18.0,销售,否
秀珍菇,食用菌,2020-12-06,17:14:48.343,0.178,18.0,销售,否
秀珍菇,食用菌,2020-12-06,17:19:55.962,0.2,18.0,销售,否
秀珍菇,食用菌,2020-12-06,17:19:56.018,0.211,18.0,销售,否
秀珍菇,食用菌,2020-12-06,18:20:50.481,0.178,18.0,销售,否
秀珍菇,食用菌,2020-12-06,20:17:34.545,0.2,18.0,销售,否
秀珍菇,食用菌,2020-12-06,21:28:50.561,0.223,18.0,销售,否
秀珍菇,食用菌,2020-12-07,15:08:29.545,0.25,16.0,销售,否
秀珍菇,食用菌,2020-12-07,19:23:17.842,0.244,16.0,销售,否
秀珍菇,食用菌,2020-12-10,13:32:42.561,0.188,16.0,销售,否
秀珍菇,食用菌,2020-12-10,18:03:09.717,0.194,16.0,销售,否
秀珍菇,食用菌,2020-12-10,20:53:16.707,0.15,16.0,销售,否
秀珍菇,食用菌,2020-12-12,16:04:48.264,0.332,16.0,销售,否
秀珍菇,食用菌,2020-12-12,21:21:54.436,0.232,16.0,销售,否
秀珍菇,食用菌,2020-12-16,18:57:07.510,0.244,16.0,销售,否
秀珍菇,食用菌,2020-12-16,19:35:36.666,0.175,16.0,销售,否
秀珍菇,食用菌,2020-12-17,15:27:21.534,0.207,16.0,销售,否
秀珍菇,食用菌,2021-02-15,15:20:11.239,0.309,12.0,销售,否
秀珍菇,食用菌,2021-02-15,16:33:20.001,0.242,12.0,销售,否
秀珍菇,食用菌,2021-02-15,17:01:21.621,0.217,12.0,销售,否
秀珍菇,食用菌,2021-02-15,20:18:29.576,0.309,12.0,销售,否
秀珍菇,食用菌,2021-02-15,20:18:32.951,0.259,12.0,销售,否
秀珍菇,食用菌,2021-02-16,17:31:29.233,0.209,12.0,销售,否
秀珍菇,食用菌,2021-02-16,18:09:35.641,0.142,12.0,销售,否
秀珍菇,食用菌,2021-02-16,18:33:49.758,0.309,12.0,销售,否
秀珍菇,食用菌,2021-02-16,19:27:37.333,0.234,12.0,销售,否
秀珍菇,食用菌,2021-02-16,19:27:37.533,0.301,12.0,销售,否
秀珍菇,食用菌,2021-02-16,19:35:20.061,0.259,12.0,销售,否
秀珍菇,食用菌,2021-02-16,19:56:51.858,0.2,12.0,销售,否
秀珍菇,食用菌,2021-02-16,20:00:46.437,0.25,12.0,销售,否
秀珍菇,食用菌,2021-02-16,20:30:12.061,0.292,12.0,销售,否
秀珍菇,食用菌,2021-02-16,20:35:22.459,0.317,12.0,销售,否
秀珍菇,食用菌,2021-02-17,15:01:15.316,0.267,12.0,销售,否
