单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
竹叶菜(份),花叶类,2022-03-13,10:23:52.623,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-13,10:28:36.869,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-13,10:33:04.429,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-14,11:37:36.701,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-14,11:37:36.881,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-14,15:18:51.836,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-15,11:36:21.258,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-15,17:14:53.270,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-15,18:27:08.132,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-17,11:00:18.442,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-17,20:43:23.132,1.0,4.5,销售,是
竹叶菜(份),花叶类,2022-03-18,20:05:15.701,1.0,4.5,销售,是
竹叶菜(份),花叶类,2022-03-18,20:28:40.117,1.0,4.5,销售,是
竹叶菜(份),花叶类,2022-03-19,10:40:09.304,1.0,8.9,销售,否
竹叶菜(份),花叶类,2022-03-21,09:53:29.827,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-21,15:48:33.123,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-21,16:12:00.592,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-21,16:50:01.456,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-21,16:55:15.060,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-21,19:07:17.264,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-24,11:34:33.741,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-24,16:20:04.701,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-24,21:15:58.195,1.0,3.5,销售,是
竹叶菜(份),花叶类,2022-03-27,10:12:51.545,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-27,10:33:44.326,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-27,11:18:49.967,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-27,13:23:32.889,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-27,15:32:58.040,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-27,15:53:08.545,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-27,17:13:56.670,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-27,17:18:07.503,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-27,20:42:02.682,1.0,4.1,销售,是
竹叶菜(份),花叶类,2022-03-29,13:17:11.764,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-29,15:59:37.626,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-29,17:35:48.790,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-29,20:24:18.451,1.0,3.0,销售,是
竹叶菜(份),花叶类,2022-03-29,20:30:23.541,1.0,3.0,销售,是
竹叶菜(份),花叶类,2022-03-30,10:45:27.545,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-03-30,20:20:02.436,1.0,4.1,销售,是
竹叶菜(份),花叶类,2022-04-01,10:15:18.936,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-04-01,10:57:43.405,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-04-01,18:30:37.139,1.0,5.9,销售,否
竹叶菜(份),花叶类,2022-04-01,20:21:46.280,1.0,5.9,销售,否
