单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
紫白菜(1),花菜类,2021-01-17,14:45:21.405,0.702,19.8,销售,否
紫白菜(1),花菜类,2021-01-17,16:14:55.140,0.667,19.8,销售,否
紫白菜(1),花菜类,2021-01-19,10:52:59.609,0.735,12.0,销售,否
紫白菜(1),花菜类,2021-01-19,16:33:30.673,0.601,12.0,销售,否
紫白菜(1),花菜类,2021-01-20,09:34:02.061,0.392,12.0,销售,否
紫白菜(1),花菜类,2021-01-20,18:06:40.633,0.451,12.0,销售,否
紫白菜(1),花菜类,2021-01-21,17:28:16.576,0.493,12.0,销售,否
紫白菜(1),花菜类,2021-01-23,10:40:58.296,0.626,12.0,销售,否
紫白菜(1),花菜类,2021-01-23,11:23:25.805,0.493,12.0,销售,否
紫白菜(1),花菜类,2021-01-23,12:56:56.140,0.459,12.0,销售,否
紫白菜(1),花菜类,2021-01-24,18:05:27.639,0.935,12.0,销售,否
紫白菜(1),花菜类,2021-01-24,18:57:01.155,0.634,12.0,销售,否
紫白菜(1),花菜类,2021-01-26,19:44:09.108,0.584,12.0,销售,否
紫白菜(1),花菜类,2021-01-27,16:18:01.463,0.459,12.0,销售,否
紫白菜(1),花菜类,2021-01-27,21:06:00.639,0.885,12.0,销售,否
紫白菜(1),花菜类,2021-01-29,14:07:40.968,0.317,12.0,销售,否
紫白菜(1),花菜类,2021-01-29,15:02:03.264,0.292,12.0,销售,否
紫白菜(1),花菜类,2021-02-09,11:29:28.471,0.885,12.0,销售,否
紫白菜(1),花菜类,2021-02-09,13:16:45.795,0.576,12.0,销售,否
紫白菜(1),花菜类,2021-10-18,10:17:03.373,0.798,19.8,销售,否
紫白菜(1),花菜类,2022-03-11,16:24:21.735,0.194,16.0,销售,否
紫白菜(1),花菜类,2022-03-12,19:09:55.686,0.52,16.0,销售,否
紫白菜(1),花菜类,2022-03-16,13:30:29.556,0.188,16.0,销售,否
紫白菜(1),花菜类,2022-04-29,09:41:20.163,0.365,14.0,销售,否
