单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
紫苏(份),花叶类,2022-02-25,10:27:55.430,1.0,3.9,销售,否
紫苏(份),花叶类,2022-02-25,12:10:25.436,1.0,3.9,销售,否
紫苏(份),花叶类,2022-03-04,10:57:08.799,1.0,3.9,销售,否
紫苏(份),花叶类,2022-03-11,09:37:33.437,1.0,3.9,销售,否
紫苏(份),花叶类,2022-03-11,16:26:52.677,1.0,3.9,销售,否
紫苏(份),花叶类,2022-03-14,17:24:06.115,1.0,3.9,销售,否
紫苏(份),花叶类,2022-03-15,20:59:26.248,1.0,2.7,销售,是
紫苏(份),花叶类,2022-03-18,20:47:31.092,1.0,2.0,销售,是
紫苏(份),花叶类,2022-03-21,12:18:41.727,1.0,3.9,销售,否
紫苏(份),花叶类,2022-03-26,12:25:53.974,1.0,3.9,销售,否
紫苏(份),花叶类,2022-03-27,10:25:53.704,1.0,3.9,销售,否
紫苏(份),花叶类,2022-03-29,17:26:25.483,1.0,3.9,销售,否
紫苏(份),花叶类,2022-03-30,09:30:45.501,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-01,16:29:24.059,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-05,11:40:56.729,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-06,16:58:39.733,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-07,09:46:17.451,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-08,10:49:23.280,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-09,10:13:48.405,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-10,16:12:08.922,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-11,09:55:50.123,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-12,10:46:14.849,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-14,16:30:28.858,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-14,20:49:05.590,1.0,2.7,销售,是
紫苏(份),花叶类,2022-04-16,10:01:56.557,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-19,20:14:33.995,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-21,09:20:00.342,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-21,18:38:59.490,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-21,18:49:11.713,1.0,2.7,销售,是
紫苏(份),花叶类,2022-04-22,09:48:48.780,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-22,09:48:51.311,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-23,11:53:00.208,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-24,10:02:17.498,1.0,3.9,销售,否
紫苏(份),花叶类,2022-04-29,16:43:33.207,1.0,3.9,销售,否
紫苏(份),花叶类,2022-06-16,09:42:52.672,1.0,3.9,销售,否
紫苏(份),花叶类,2022-06-16,10:21:39.733,1.0,3.9,销售,否
紫苏(份),花叶类,2022-06-21,17:40:15.125,1.0,3.9,销售,否
紫苏(份),花叶类,2022-06-25,11:25:25.187,1.0,3.9,销售,否
紫苏(份),花叶类,2022-06-29,20:16:45.076,1.0,2.3,销售,是
紫苏(份),花叶类,2022-07-02,10:32:10.130,1.0,3.9,销售,否
