单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
紫贝菜,花叶类,2021-02-22,11:12:58.114,0.278,19.8,销售,否
紫贝菜,花叶类,2021-02-22,11:46:54.548,0.288,19.8,销售,否
紫贝菜,花叶类,2021-02-22,12:04:10.686,0.278,19.8,销售,否
紫贝菜,花叶类,2021-02-25,10:09:20.860,0.273,19.8,销售,否
紫贝菜,花叶类,2021-02-25,11:42:29.079,0.308,19.8,销售,否
紫贝菜,花叶类,2021-02-25,17:11:09.265,0.268,19.8,销售,否
紫贝菜,花叶类,2021-02-25,17:14:14.092,0.308,19.8,销售,否
紫贝菜,花叶类,2021-02-25,18:25:29.748,0.268,19.8,销售,否
紫贝菜,花叶类,2021-02-26,09:40:20.233,0.217,19.8,销售,否
紫贝菜,花叶类,2021-02-26,09:40:22.811,0.202,19.8,销售,否
紫贝菜,花叶类,2021-02-26,09:40:52.780,0.217,19.8,销售,否
紫贝菜,花叶类,2021-02-26,09:41:49.670,0.152,19.8,销售,否
紫贝菜,花叶类,2021-02-26,16:51:02.705,0.187,19.8,销售,否
紫贝菜,花叶类,2021-02-26,16:51:02.887,0.126,19.8,销售,否
紫贝菜,花叶类,2021-03-07,12:24:17.237,0.192,19.8,销售,否
紫贝菜,花叶类,2021-03-07,12:24:17.466,0.202,19.8,销售,否
紫贝菜,花叶类,2021-03-08,15:52:36.873,0.162,19.8,销售,否
紫贝菜,花叶类,2021-03-08,15:52:39.576,0.136,19.8,销售,否
紫贝菜,花叶类,2021-03-09,09:14:29.804,0.187,19.8,销售,否
紫贝菜,花叶类,2021-03-09,18:34:48.776,0.227,19.8,销售,否
紫贝菜,花叶类,2021-03-09,18:34:49.025,0.192,19.8,销售,否
紫贝菜,花叶类,2021-03-10,18:07:53.460,0.192,19.8,销售,否
紫贝菜,花叶类,2021-03-12,10:33:46.498,0.197,19.8,销售,否
紫贝菜,花叶类,2021-03-12,10:33:48.639,0.172,19.8,销售,否
紫贝菜,花叶类,2021-03-12,19:55:58.136,0.182,19.8,销售,否
紫贝菜,花叶类,2021-03-13,11:23:07.030,0.172,14.0,销售,否
紫贝菜,花叶类,2021-03-13,11:23:10.545,0.179,14.0,销售,否
紫贝菜,花叶类,2021-03-13,14:43:21.342,0.222,14.0,销售,否
紫贝菜,花叶类,2021-03-13,16:14:32.986,0.122,14.0,销售,否
紫贝菜,花叶类,2021-03-21,13:44:26.186,0.179,14.0,销售,否
紫贝菜,花叶类,2021-03-21,13:44:52.170,0.215,14.0,销售,否
紫贝菜,花叶类,2021-03-22,21:07:25.962,0.2,14.0,销售,否
紫贝菜,花叶类,2021-03-28,10:57:37.436,0.157,14.0,销售,否
紫贝菜,花叶类,2021-03-28,12:29:57.686,0.15,14.0,销售,否
紫贝菜,花叶类,2021-03-28,15:46:04.229,0.2,14.0,销售,否
紫贝菜,花叶类,2021-03-28,15:49:19.853,0.193,14.0,销售,否
紫贝菜,花叶类,2021-03-28,15:49:20.214,0.172,14.0,销售,否
紫贝菜,花叶类,2021-04-01,11:43:45.138,0.143,14.0,销售,否
紫贝菜,花叶类,2021-04-01,11:43:45.318,0.165,14.0,销售,否
