单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
红尖椒,辣椒类,2020-07-30,10:05:37.873,0.326,12.0,销售,否
红尖椒,辣椒类,2020-07-30,10:10:18.845,0.342,12.0,销售,否
红尖椒,辣椒类,2020-07-30,10:32:26.107,0.2,12.0,销售,否
红尖椒,辣椒类,2020-07-30,11:48:59.205,0.109,12.0,销售,否
红尖椒,辣椒类,2020-07-30,12:43:03.090,0.109,12.0,销售,否
红尖椒,辣椒类,2020-07-30,13:54:47.991,0.058,12.0,销售,否
红尖椒,辣椒类,2020-07-30,15:40:21.340,0.234,12.0,销售,否
红尖椒,辣椒类,2020-07-30,17:49:50.920,0.075,12.0,销售,否
红尖椒,辣椒类,2020-07-30,19:22:06.717,0.225,12.0,销售,否
红尖椒,辣椒类,2020-07-30,20:07:01.520,0.117,12.0,销售,否
红尖椒,辣椒类,2020-07-30,21:11:42.748,0.084,11.5,销售,是
红尖椒,辣椒类,2020-07-30,21:14:33.464,0.2,12.0,销售,否
红尖椒,辣椒类,2020-07-30,21:27:02.092,0.184,10.8,销售,是
红尖椒,辣椒类,2020-08-01,09:35:12.836,0.1,16.0,销售,否
红尖椒,辣椒类,2020-08-01,09:57:40.568,0.1,16.0,销售,否
红尖椒,辣椒类,2020-08-01,10:16:06.326,0.169,16.0,销售,否
红尖椒,辣椒类,2020-08-01,10:27:00.181,0.188,16.0,销售,否
红尖椒,辣椒类,2020-08-01,11:14:31.241,0.194,16.0,销售,否
红尖椒,辣椒类,2020-08-01,12:22:53.146,0.119,16.0,销售,否
红尖椒,辣椒类,2020-08-01,13:33:26.108,0.106,16.0,销售,否
红尖椒,辣椒类,2020-08-01,19:47:16.171,0.269,16.0,销售,否
红尖椒,辣椒类,2020-08-01,20:15:45.213,0.138,16.0,销售,否
红尖椒,辣椒类,2020-08-01,21:01:07.826,0.15,16.0,销售,否
红尖椒,辣椒类,2020-08-02,09:48:11.797,0.106,16.0,销售,否
红尖椒,辣椒类,2020-08-02,09:52:27.811,0.125,16.0,销售,否
红尖椒,辣椒类,2020-08-02,09:59:25.123,0.313,16.0,销售,否
红尖椒,辣椒类,2020-08-02,10:42:27.125,0.075,16.0,销售,否
红尖椒,辣椒类,2020-08-02,11:40:03.530,0.05,16.0,销售,否
红尖椒,辣椒类,2020-08-02,15:47:26.451,0.175,16.0,销售,否
红尖椒,辣椒类,2020-08-02,16:55:34.924,0.426,16.0,销售,否
红尖椒,辣椒类,2020-08-02,17:18:46.985,0.056,16.0,销售,否
红尖椒,辣椒类,2020-08-02,17:43:40.405,0.063,16.0,销售,否
红尖椒,辣椒类,2020-08-02,18:39:07.483,0.075,16.0,销售,否
红尖椒,辣椒类,2020-08-03,09:35:50.061,0.376,16.0,销售,否
红尖椒,辣椒类,2020-08-03,09:49:21.006,0.15,16.0,销售,否
红尖椒,辣椒类,2020-08-03,10:07:14.794,0.282,16.0,销售,否
红尖椒,辣椒类,2020-08-03,10:16:57.980,0.213,16.0,销售,否
红尖椒,辣椒类,2020-08-03,11:01:02.710,0.194,16.0,销售,否
红尖椒,辣椒类,2020-08-03,11:34:42.530,0.244,16.0,销售,否
红尖椒,辣椒类,2020-08-03,14:42:43.733,0.063,16.0,销售,否
红尖椒,辣椒类,2020-08-03,17:59:40.747,0.056,16.0,销售,否
红尖椒,辣椒类,2020-08-03,19:25:55.842,0.131,16.0,销售,否
红尖椒,辣椒类,2020-08-03,21:39:34.717,0.088,16.0,销售,否
红尖椒,辣椒类,2020-08-03,21:46:34.829,0.175,16.0,销售,否
红尖椒,辣椒类,2020-08-05,09:56:36.733,0.3,18.0,销售,否
红尖椒,辣椒类,2020-08-05,10:13:55.270,0.362,18.0,销售,否
红尖椒,辣椒类,2020-08-05,11:42:36.102,0.122,18.0,销售,否
红尖椒,辣椒类,2020-08-05,12:07:31.600,0.206,18.0,销售,否
红尖椒,辣椒类,2020-08-05,13:01:59.854,0.156,18.0,销售,否
红尖椒,辣椒类,2020-08-05,14:58:56.764,0.467,18.0,销售,否
红尖椒,辣椒类,2020-08-05,16:18:39.327,0.223,18.0,销售,否
红尖椒,辣椒类,2020-08-05,17:28:56.855,0.211,18.0,销售,否
红尖椒,辣椒类,2020-08-05,17:34:09.699,0.156,18.0,销售,否
红尖椒,辣椒类,2020-08-06,09:40:38.123,0.178,18.0,销售,否
红尖椒,辣椒类,2020-08-06,10:39:04.156,0.273,18.0,销售,否
红尖椒,辣椒类,2020-08-06,10:43:49.496,0.067,18.0,销售,否
红尖椒,辣椒类,2020-08-06,16:59:13.836,0.134,18.0,销售,否
红尖椒,辣椒类,2020-08-06,20:21:37.504,0.167,18.0,销售,否
红尖椒,辣椒类,2020-08-06,21:04:08.280,0.256,18.0,销售,否
红尖椒,辣椒类,2020-08-06,21:13:51.333,0.167,18.0,销售,否
红尖椒,辣椒类,2020-08-09,15:53:41.871,0.111,18.0,销售,否
红尖椒,辣椒类,2020-08-11,09:17:38.358,0.117,18.0,销售,否
红尖椒,辣椒类,2020-08-11,09:26:00.061,0.3,18.0,销售,否
红尖椒,辣椒类,2020-08-11,09:58:10.457,0.117,18.0,销售,否
红尖椒,辣椒类,2020-08-11,10:06:15.048,0.217,18.0,销售,否
红尖椒,辣椒类,2020-08-11,10:22:26.020,0.211,18.0,销售,否
红尖椒,辣椒类,2020-08-11,11:09:50.386,0.134,18.0,销售,否
红尖椒,辣椒类,2020-08-11,12:16:46.641,0.245,18.0,销售,否
红尖椒,辣椒类,2020-08-11,15:50:16.963,0.206,18.0,销售,否
红尖椒,辣椒类,2020-08-11,16:01:26.592,0.1,18.0,销售,否
红尖椒,辣椒类,2020-08-11,16:34:41.811,0.261,18.0,销售,否
红尖椒,辣椒类,2020-08-11,16:42:00.226,0.122,18.0,销售,否
红尖椒,辣椒类,2020-08-11,17:26:21.061,0.2,18.0,销售,否
红尖椒,辣椒类,2020-08-11,18:43:40.750,0.1,18.0,销售,否
红尖椒,辣椒类,2020-08-11,18:45:21.561,0.306,18.0,销售,否
红尖椒,辣椒类,2020-08-12,09:59:01.670,0.267,18.0,销售,否
红尖椒,辣椒类,2020-08-12,10:31:28.847,0.651,18.0,销售,否
红尖椒,辣椒类,2020-08-12,10:50:36.451,0.312,18.0,销售,否
红尖椒,辣椒类,2020-08-12,10:53:56.186,0.223,18.0,销售,否
红尖椒,辣椒类,2020-08-12,11:48:26.956,0.117,18.0,销售,否
红尖椒,辣椒类,2020-08-12,14:41:55.186,0.089,18.0,销售,否
红尖椒,辣椒类,2020-08-12,15:41:14.148,0.195,18.0,销售,否
红尖椒,辣椒类,2020-08-12,17:02:02.983,0.706,18.0,销售,否
红尖椒,辣椒类,2020-08-12,18:31:32.859,0.378,18.0,销售,否
红尖椒,辣椒类,2020-08-12,19:09:55.441,0.072,18.0,销售,否
红尖椒,辣椒类,2021-02-23,16:37:11.514,0.13,33.8,销售,否
红尖椒,辣椒类,2021-02-24,10:08:23.786,0.201,33.8,销售,否
红尖椒,辣椒类,2021-02-24,11:31:15.429,0.201,33.8,销售,否
红尖椒,辣椒类,2021-02-24,14:11:32.248,0.263,33.8,销售,否
红尖椒,辣椒类,2021-02-24,15:25:18.384,0.175,33.8,销售,否
红尖椒,辣椒类,2021-02-24,17:00:51.474,0.317,33.8,销售,否
红尖椒,辣椒类,2021-02-24,17:42:18.405,0.411,33.8,销售,否
红尖椒,辣椒类,2021-02-25,15:56:14.670,0.163,33.8,销售,否
红尖椒,辣椒类,2021-02-25,16:08:07.061,0.216,33.8,销售,否
红尖椒,辣椒类,2021-02-25,16:44:23.436,0.252,33.8,销售,否
红尖椒,辣椒类,2021-02-25,20:04:43.530,0.281,33.8,销售,否
红尖椒,辣椒类,2021-02-26,09:40:36.842,0.237,33.8,销售,否
红尖椒,辣椒类,2021-03-01,17:52:27.886,0.435,33.8,销售,否
红尖椒,辣椒类,2021-05-13,11:18:12.467,0.213,16.0,销售,否
红尖椒,辣椒类,2021-05-13,11:20:26.045,0.2,16.0,销售,否
红尖椒,辣椒类,2021-05-13,11:52:31.045,0.544,16.0,销售,否
红尖椒,辣椒类,2021-05-13,11:57:36.795,0.194,16.0,销售,否
红尖椒,辣椒类,2021-05-13,12:18:30.865,0.463,16.0,销售,否
红尖椒,辣椒类,2021-05-13,14:33:33.951,0.232,16.0,销售,否
红尖椒,辣椒类,2021-05-13,17:01:54.061,0.419,16.0,销售,否
红尖椒,辣椒类,2021-05-14,11:27:56.993,0.188,16.0,销售,否
红尖椒,辣椒类,2021-05-14,15:53:49.447,0.363,16.0,销售,否
红尖椒,辣椒类,2021-05-14,16:11:28.717,0.1,16.0,销售,否
红尖椒,辣椒类,2021-05-14,17:26:58.405,0.207,16.0,销售,否
红尖椒,辣椒类,2021-05-14,19:18:48.311,0.106,16.0,销售,否
红尖椒,辣椒类,2021-05-14,21:21:00.670,0.357,16.0,销售,否
红尖椒,辣椒类,2021-05-15,11:32:03.295,0.081,16.0,销售,否
红尖椒,辣椒类,2021-05-15,12:14:52.201,0.344,16.0,销售,否
红尖椒,辣椒类,2021-05-15,15:02:37.889,0.701,16.0,销售,否
红尖椒,辣椒类,2021-05-15,16:02:15.436,0.213,16.0,销售,否
红尖椒,辣椒类,2021-05-15,16:12:23.733,0.15,16.0,销售,否
红尖椒,辣椒类,2021-05-15,16:45:53.717,0.163,16.0,销售,否
红尖椒,辣椒类,2021-05-15,17:17:44.820,0.213,16.0,销售,否
红尖椒,辣椒类,2021-05-15,19:54:24.201,0.188,16.0,销售,否
红尖椒,辣椒类,2021-05-15,20:07:33.971,0.294,16.0,销售,否
红尖椒,辣椒类,2021-05-15,20:38:31.108,0.113,16.0,销售,否
红尖椒,辣椒类,2021-05-16,09:30:50.795,0.113,16.0,销售,否
红尖椒,辣椒类,2021-05-16,14:04:16.389,0.1,16.0,销售,否
红尖椒,辣椒类,2021-05-16,14:44:12.248,0.05,16.0,销售,否
红尖椒,辣椒类,2021-05-16,18:03:18.426,0.188,16.0,销售,否
红尖椒,辣椒类,2021-05-23,10:16:32.700,0.11,10.0,销售,否
红尖椒,辣椒类,2021-05-23,10:18:52.764,0.13,10.0,销售,否
红尖椒,辣椒类,2021-05-23,13:46:58.369,0.261,10.0,销售,否
红尖椒,辣椒类,2021-05-23,14:36:15.014,0.291,10.0,销售,否
红尖椒,辣椒类,2021-05-23,14:38:24.739,0.19,10.0,销售,否
红尖椒,辣椒类,2021-05-23,15:04:12.311,0.07,10.0,销售,否
红尖椒,辣椒类,2021-05-23,16:08:19.467,0.19,10.0,销售,否
红尖椒,辣椒类,2021-05-23,16:29:51.655,0.16,10.0,销售,否
红尖椒,辣椒类,2021-05-23,16:51:18.951,0.301,10.0,销售,否
红尖椒,辣椒类,2021-05-23,16:54:21.720,0.331,10.0,销售,否
红尖椒,辣椒类,2021-05-23,16:57:27.201,0.18,10.0,销售,否
红尖椒,辣椒类,2021-05-24,18:04:32.631,0.261,10.0,销售,否
红尖椒,辣椒类,2021-05-24,19:00:42.316,0.11,10.0,销售,否
红尖椒,辣椒类,2021-05-24,21:05:51.717,0.17,10.0,销售,否
红尖椒,辣椒类,2021-05-25,11:35:24.184,0.1,10.0,销售,否
红尖椒,辣椒类,2021-05-25,12:19:31.545,0.1,10.0,销售,否
红尖椒,辣椒类,2021-05-25,16:11:50.186,0.22,10.0,销售,否
红尖椒,辣椒类,2021-05-27,15:36:33.301,0.21,10.0,销售,否
红尖椒,辣椒类,2021-05-27,17:02:34.592,0.17,10.0,销售,否
红尖椒,辣椒类,2021-05-27,20:23:57.155,0.581,10.0,销售,否
红尖椒,辣椒类,2021-05-27,21:10:20.576,0.421,10.0,销售,否
红尖椒,辣椒类,2021-05-28,16:10:04.456,0.11,10.0,销售,否
红尖椒,辣椒类,2021-05-28,21:17:11.474,0.13,10.0,销售,否
红尖椒,辣椒类,2021-05-29,09:51:27.343,0.391,10.0,销售,否
红尖椒,辣椒类,2021-05-29,09:58:52.541,0.271,10.0,销售,否
红尖椒,辣椒类,2021-05-29,10:23:00.399,0.16,10.0,销售,否
红尖椒,辣椒类,2021-05-29,13:07:45.373,0.11,10.0,销售,否
红尖椒,辣椒类,2021-05-29,13:55:02.945,0.251,10.0,销售,否
红尖椒,辣椒类,2021-05-29,14:27:55.358,0.371,10.0,销售,否
红尖椒,辣椒类,2021-05-29,16:11:39.039,0.07,10.0,销售,否
红尖椒,辣椒类,2021-05-29,16:28:53.887,0.19,10.0,销售,否
红尖椒,辣椒类,2021-05-29,17:39:52.764,0.451,10.0,销售,否
红尖椒,辣椒类,2021-05-29,18:22:58.395,0.241,10.0,销售,否
红尖椒,辣椒类,2021-05-29,19:37:43.028,0.351,10.0,销售,否
红尖椒,辣椒类,2021-05-30,09:22:22.256,0.1,10.0,销售,否
红尖椒,辣椒类,2021-05-30,09:38:37.795,0.341,10.0,销售,否
红尖椒,辣椒类,2021-05-30,10:01:16.538,0.18,10.0,销售,否
红尖椒,辣椒类,2021-05-30,10:10:15.733,0.12,10.0,销售,否
红尖椒,辣椒类,2021-05-30,10:44:11.712,0.2,10.0,销售,否
红尖椒,辣椒类,2021-05-30,11:00:54.254,0.251,10.0,销售,否
红尖椒,辣椒类,2021-05-30,11:04:32.905,0.19,10.0,销售,否
红尖椒,辣椒类,2021-05-30,12:28:40.116,0.301,10.0,销售,否
红尖椒,辣椒类,2021-05-30,14:51:25.186,0.16,10.0,销售,否
红尖椒,辣椒类,2021-05-30,16:38:53.130,0.391,10.0,销售,否
红尖椒,辣椒类,2021-05-30,16:40:40.363,0.421,10.0,销售,否
红尖椒,辣椒类,2021-05-30,16:56:50.717,0.261,10.0,销售,否
红尖椒,辣椒类,2021-05-30,17:51:46.325,0.13,10.0,销售,否
红尖椒,辣椒类,2021-05-30,18:00:51.311,0.251,10.0,销售,否
红尖椒,辣椒类,2021-05-30,18:07:45.592,0.301,10.0,销售,否
红尖椒,辣椒类,2021-05-31,12:53:28.360,0.521,10.0,销售,否
红尖椒,辣椒类,2021-05-31,15:52:43.561,0.08,10.0,销售,否
红尖椒,辣椒类,2021-05-31,18:27:36.525,0.291,10.0,销售,否
红尖椒,辣椒类,2021-05-31,21:14:27.318,0.12,10.0,销售,否
红尖椒,辣椒类,2021-06-01,09:16:38.436,0.11,10.0,销售,否
红尖椒,辣椒类,2021-06-01,10:27:12.961,0.11,10.0,销售,否
红尖椒,辣椒类,2021-06-01,11:00:33.864,0.11,10.0,销售,否
