单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
红杭椒(份),辣椒类,2022-02-08,15:39:00.155,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-02-09,13:43:06.420,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-02-09,20:51:18.508,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-02-10,13:52:27.882,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-02-10,18:32:35.372,1.0,2.9,销售,是
红杭椒(份),辣椒类,2022-02-10,21:10:02.802,1.0,2.9,销售,是
红杭椒(份),辣椒类,2022-02-10,21:16:38.175,1.0,2.9,销售,是
红杭椒(份),辣椒类,2022-02-19,15:26:28.390,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-02-26,13:49:43.412,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-02-26,19:01:40.112,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-02-28,15:15:25.889,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-01,11:14:56.310,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-01,13:13:39.732,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-01,18:44:27.201,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-02,18:41:58.530,1.0,4.1,销售,是
红杭椒(份),辣椒类,2022-03-04,20:42:47.576,1.0,4.1,销售,是
红杭椒(份),辣椒类,2022-03-05,09:25:06.333,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-05,09:47:23.432,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-05,11:37:02.405,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-05,11:55:36.657,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-05,16:30:33.201,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-05,19:08:40.405,1.0,4.1,销售,是
红杭椒(份),辣椒类,2022-03-06,14:15:17.434,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-06,14:34:56.109,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-07,11:21:55.387,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-07,14:20:35.776,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-08,10:01:27.347,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-08,11:50:18.845,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-08,12:37:22.971,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-08,17:04:20.389,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-08,21:12:00.122,1.0,3.4,销售,是
红杭椒(份),辣椒类,2022-03-09,09:51:02.951,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-09,16:59:31.930,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-09,18:35:39.717,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-12,16:11:06.684,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-12,16:54:22.323,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-14,10:53:42.323,1.0,10.8,销售,否
红杭椒(份),辣椒类,2022-03-14,10:57:11.267,1.0,10.8,销售,否
红杭椒(份),辣椒类,2022-03-14,11:37:37.258,1.0,10.8,销售,否
红杭椒(份),辣椒类,2022-03-14,20:26:58.552,1.0,10.8,销售,否
红杭椒(份),辣椒类,2022-03-15,16:23:25.967,1.0,10.8,销售,否
红杭椒(份),辣椒类,2022-03-16,16:45:58.959,1.0,10.8,销售,否
红杭椒(份),辣椒类,2022-03-18,18:45:22.636,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-18,18:46:46.642,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-21,11:09:59.465,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-21,20:29:00.467,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-21,20:46:37.514,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-22,09:42:08.311,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-22,10:12:03.140,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-22,11:16:13.295,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-22,11:35:11.905,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-22,13:05:36.530,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-23,20:13:13.780,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-23,20:40:55.204,1.0,3.4,销售,是
红杭椒(份),辣椒类,2022-03-24,10:36:18.878,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-24,17:08:38.248,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-25,16:06:52.070,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-25,17:17:46.436,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-25,17:52:54.248,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-25,20:03:27.802,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-26,09:29:36.214,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-26,09:52:53.947,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-26,10:08:03.873,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-26,10:25:00.655,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-26,14:29:16.405,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-26,17:21:39.970,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-26,21:14:04.681,1.0,4.9,销售,否
红杭椒(份),辣椒类,2022-03-27,09:43:34.576,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-27,10:21:50.798,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-27,11:18:39.514,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-27,14:55:56.191,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-27,16:57:49.920,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-28,10:31:46.139,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-28,12:34:06.762,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-28,15:34:58.014,1.0,4.1,销售,是
红杭椒(份),辣椒类,2022-03-28,17:11:19.458,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-28,18:00:39.910,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-29,09:49:56.021,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-29,16:53:44.483,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-29,17:22:50.964,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-29,19:26:37.906,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-30,10:41:36.311,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-30,16:43:31.498,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-03-30,20:42:09.810,1.0,4.1,销售,是
红杭椒(份),辣椒类,2022-03-31,17:20:41.471,1.0,4.1,销售,是
红杭椒(份),辣椒类,2022-04-01,14:53:30.265,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-04-01,18:43:53.853,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-04-01,19:01:26.155,1.0,5.9,销售,否
红杭椒(份),辣椒类,2022-04-02,09:52:41.765,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-02,10:17:53.155,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-02,11:14:59.639,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-02,16:41:10.595,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-02,16:47:26.201,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-02,18:46:50.795,1.0,5.5,销售,是
红杭椒(份),辣椒类,2022-04-03,09:42:43.701,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-03,10:58:51.262,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-03,11:17:57.664,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-03,15:02:02.795,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-03,17:13:10.358,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-03,18:12:45.264,1.0,5.5,销售,是
红杭椒(份),辣椒类,2022-04-04,10:35:19.950,1.0,7.9,销售,否
红杭椒(份),辣椒类,2022-04-04,12:21:03.956,1.0,5.5,销售,是
红杭椒(份),辣椒类,2022-04-04,17:16:24.480,1.0,5.5,销售,是
红杭椒(份),辣椒类,2022-04-05,10:36:39.073,1.0,9.9,销售,否
