单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
红椒(2),辣椒类,2022-08-14,09:43:51.249,0.207,19.8,销售,否
红椒(2),辣椒类,2022-08-14,10:34:18.371,0.167,19.8,销售,否
红椒(2),辣椒类,2022-08-14,11:00:00.688,0.217,19.8,销售,否
红椒(2),辣椒类,2022-08-14,11:31:56.956,0.212,19.8,销售,否
红椒(2),辣椒类,2022-08-14,13:29:57.188,0.227,19.8,销售,否
红椒(2),辣椒类,2022-08-14,13:59:40.686,0.207,19.8,销售,否
红椒(2),辣椒类,2022-08-14,14:38:46.182,0.283,19.8,销售,否
红椒(2),辣椒类,2022-08-14,15:43:01.264,0.141,19.8,销售,否
红椒(2),辣椒类,2022-08-14,17:52:25.538,0.167,19.8,销售,否
红椒(2),辣椒类,2022-08-14,20:30:14.398,0.197,11.9,销售,是
红椒(2),辣椒类,2022-08-14,20:31:09.545,0.207,19.8,销售,否
红椒(2),辣椒类,2022-08-14,20:37:26.764,0.197,11.9,销售,是
红椒(2),辣椒类,2022-08-15,10:30:58.982,0.232,19.8,销售,否
红椒(2),辣椒类,2022-08-15,10:36:49.123,0.263,19.8,销售,否
红椒(2),辣椒类,2022-08-15,10:39:04.732,0.258,19.8,销售,否
红椒(2),辣椒类,2022-08-15,11:08:10.167,0.177,19.8,销售,否
红椒(2),辣椒类,2022-08-15,11:46:12.592,0.263,19.8,销售,否
红椒(2),辣椒类,2022-08-15,13:30:48.116,0.313,19.8,销售,否
红椒(2),辣椒类,2022-08-15,17:57:42.665,0.293,19.8,销售,否
红椒(2),辣椒类,2022-08-15,18:06:52.561,0.278,19.8,销售,否
红椒(2),辣椒类,2022-08-15,21:14:13.539,0.273,11.9,销售,是
红椒(2),辣椒类,2022-08-16,09:33:29.790,0.242,19.8,销售,否
红椒(2),辣椒类,2022-08-16,09:56:34.530,0.167,19.8,销售,否
红椒(2),辣椒类,2022-08-16,10:38:24.139,0.273,11.9,销售,是
红椒(2),辣椒类,2022-08-16,10:46:38.273,0.288,19.8,销售,否
红椒(2),辣椒类,2022-08-16,12:52:52.963,0.293,19.8,销售,否
红椒(2),辣椒类,2022-08-16,13:39:03.407,0.328,19.8,销售,否
红椒(2),辣椒类,2022-08-16,15:41:18.818,0.338,19.8,销售,否
红椒(2),辣椒类,2022-08-16,16:11:36.795,0.328,19.8,销售,否
红椒(2),辣椒类,2022-08-16,16:22:31.329,0.273,11.9,销售,是
红椒(2),辣椒类,2022-08-16,16:32:17.962,0.313,19.8,销售,否
红椒(2),辣椒类,2022-08-16,16:56:30.108,0.268,19.8,销售,否
红椒(2),辣椒类,2022-08-16,16:59:25.659,0.308,19.8,销售,否
红椒(2),辣椒类,2022-08-16,18:12:35.148,0.222,19.8,销售,否
红椒(2),辣椒类,2022-08-16,18:41:17.342,0.273,11.9,销售,是
红椒(2),辣椒类,2022-08-17,10:47:22.311,1.0,19.8,销售,否
红椒(2),辣椒类,2022-08-17,10:48:52.092,0.268,19.8,销售,否
红椒(2),辣椒类,2022-08-17,11:40:11.536,0.288,19.8,销售,否
红椒(2),辣椒类,2022-08-17,14:21:54.905,0.253,19.8,销售,否
红椒(2),辣椒类,2022-08-17,16:02:53.358,0.293,19.8,销售,否
红椒(2),辣椒类,2022-08-17,16:05:09.842,0.253,19.8,销售,否
红椒(2),辣椒类,2022-08-18,09:49:12.280,0.298,19.8,销售,否
红椒(2),辣椒类,2022-08-18,10:49:58.363,0.293,13.9,销售,是
红椒(2),辣椒类,2022-08-18,11:34:40.989,0.313,19.8,销售,否
红椒(2),辣椒类,2022-08-18,12:04:41.478,0.323,19.8,销售,否
红椒(2),辣椒类,2022-08-18,12:12:11.436,0.318,19.8,销售,否
红椒(2),辣椒类,2022-08-18,12:41:32.866,0.308,19.8,销售,否
红椒(2),辣椒类,2022-08-18,15:49:23.233,0.283,19.8,销售,否
红椒(2),辣椒类,2022-08-18,15:53:30.658,0.298,19.8,销售,否
红椒(2),辣椒类,2022-08-18,18:05:45.882,0.283,19.8,销售,否
红椒(2),辣椒类,2022-08-18,18:33:09.507,0.278,13.9,销售,是
红椒(2),辣椒类,2022-08-18,20:58:51.865,0.303,13.9,销售,是
红椒(2),辣椒类,2022-08-18,21:07:07.842,0.318,13.9,销售,是
红椒(2),辣椒类,2022-08-19,09:26:11.561,0.328,19.8,销售,否
红椒(2),辣椒类,2022-08-19,09:28:53.969,0.283,19.8,销售,否
红椒(2),辣椒类,2022-08-19,09:54:45.276,0.323,19.8,销售,否
红椒(2),辣椒类,2022-08-19,10:01:55.843,0.303,13.9,销售,是
红椒(2),辣椒类,2022-08-19,13:24:02.678,0.288,19.8,销售,否
红椒(2),辣椒类,2022-08-19,13:25:11.097,0.283,19.8,销售,否
红椒(2),辣椒类,2022-08-19,13:31:23.057,0.278,13.9,销售,是
红椒(2),辣椒类,2022-08-19,14:47:46.434,0.263,19.8,销售,否
红椒(2),辣椒类,2022-08-19,15:08:13.567,0.232,19.8,销售,否
红椒(2),辣椒类,2022-08-19,16:08:48.382,0.258,19.8,销售,否
红椒(2),辣椒类,2022-08-19,19:05:40.374,0.197,19.8,销售,否
红椒(2),辣椒类,2022-08-19,19:56:10.920,0.303,19.8,销售,否
红椒(2),辣椒类,2022-08-20,10:20:51.339,0.308,19.8,销售,否
