单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
红椒(份),辣椒类,2022-06-21,13:39:55.123,1.0,2.9,销售,否
红椒(份),辣椒类,2022-06-26,17:25:51.295,1.0,2.9,销售,否
红椒(份),辣椒类,2022-07-10,09:50:25.240,1.0,3.9,销售,否
红椒(份),辣椒类,2022-07-10,17:54:47.916,1.0,3.9,销售,否
红椒(份),辣椒类,2022-07-10,20:35:10.873,1.0,3.9,销售,否
红椒(份),辣椒类,2022-07-10,21:09:43.557,1.0,3.9,销售,否
红椒(份),辣椒类,2022-07-10,21:34:39.796,1.0,3.9,销售,否
红椒(份),辣椒类,2022-07-11,20:42:59.811,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-11,21:13:11.764,1.0,2.1,销售,是
红椒(份),辣椒类,2022-07-12,09:39:07.249,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-12,15:34:39.500,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-12,16:15:31.280,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-14,14:42:26.457,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-15,10:18:51.076,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-15,18:28:23.766,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-16,16:27:22.971,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-16,19:17:30.077,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-17,15:33:53.351,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-17,18:56:40.095,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-18,17:16:57.052,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-19,18:01:33.435,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-20,09:46:27.268,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-20,11:16:10.952,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-20,13:12:46.061,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-20,14:02:33.218,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-20,15:23:20.490,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-20,16:51:50.419,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-20,17:57:40.957,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-20,21:13:07.186,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-21,09:54:35.514,1.0,3.5,销售,否
红椒(份),辣椒类,2022-07-21,11:04:13.764,1.0,3.5,销售,否
