单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
组合椒系列,辣椒类,2021-01-22,11:17:24.664,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-22,11:48:36.373,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-22,15:58:22.014,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-22,15:58:54.733,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-22,20:25:49.514,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-23,10:50:36.312,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-23,11:06:01.531,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-23,11:25:47.390,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-23,11:40:11.203,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-23,12:16:22.578,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-23,16:28:43.180,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-23,16:43:54.479,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-23,20:57:28.472,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-24,10:21:15.483,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-24,10:21:15.549,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-24,10:56:23.704,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-24,11:00:53.826,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-24,16:31:14.523,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-24,17:15:37.975,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-24,17:17:03.420,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-24,17:23:02.913,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-24,18:05:35.342,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-24,19:10:27.196,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-25,10:04:54.483,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-25,11:10:57.592,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-25,20:55:59.075,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-25,21:02:55.378,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-26,15:35:03.409,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-26,18:32:11.092,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-26,19:20:33.056,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-26,19:25:06.623,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-26,20:44:44.297,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-27,10:48:41.242,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-27,11:28:40.108,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-27,13:24:03.284,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-27,16:55:56.737,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-27,17:16:21.080,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-28,09:52:15.235,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-28,10:29:16.526,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-28,12:07:48.258,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-28,18:11:19.222,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-28,19:04:28.233,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-28,19:48:27.155,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-29,10:10:17.247,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-29,10:10:39.397,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-29,15:57:23.957,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-29,16:25:33.515,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-29,19:59:34.812,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-30,10:33:14.076,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-30,11:21:34.771,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-30,11:46:48.701,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-30,12:09:31.701,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-30,12:33:04.873,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-30,13:18:48.998,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-30,13:57:02.961,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-30,16:22:32.233,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-30,16:22:51.076,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-31,10:32:35.599,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-31,10:37:23.495,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-31,11:35:35.233,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-31,11:37:30.498,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-31,11:42:35.342,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-31,14:00:51.139,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-31,16:56:42.005,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-01-31,17:09:02.602,1.0,13.9,销售,否
组合椒系列,辣椒类,2021-02-01,11:17:20.076,1.0,13.9,销售,否
