单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
芝麻苋菜,花叶类,2022-05-19,09:35:05.488,0.587,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,09:52:44.436,0.302,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,09:53:35.201,0.319,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,09:55:41.879,0.285,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,10:02:32.633,0.369,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,10:03:44.983,0.386,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,10:10:10.256,0.269,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,10:45:53.060,0.252,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,11:02:42.030,0.319,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,11:18:21.389,0.487,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,11:25:49.183,0.302,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,11:35:19.436,0.386,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,11:36:07.811,0.336,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,11:38:08.101,0.369,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,11:38:08.317,0.352,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,11:43:41.843,0.369,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,12:02:16.030,0.369,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,13:16:23.002,0.302,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,14:35:51.179,0.235,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,16:53:37.488,0.386,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,17:21:25.927,0.336,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,17:57:26.671,0.587,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,18:03:04.777,0.319,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,18:05:45.766,0.302,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,18:38:34.811,0.352,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,19:29:45.405,0.269,6.0,销售,否
芝麻苋菜,花叶类,2022-05-19,20:03:45.673,0.235,6.0,销售,否
