单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
芥菜,花叶类,2021-06-23,11:13:09.389,0.301,6.0,销售,否
芥菜,花叶类,2021-06-23,11:24:42.748,0.87,6.0,销售,否
芥菜,花叶类,2021-06-23,13:37:09.296,0.585,6.0,销售,否
芥菜,花叶类,2021-06-23,16:34:10.687,0.886,6.0,销售,否
芥菜,花叶类,2021-06-23,16:59:45.222,0.485,6.0,销售,否
芥菜,花叶类,2021-06-23,20:26:21.879,0.284,6.0,销售,否
芥菜,花叶类,2021-06-23,20:46:03.636,1.45,2.0,销售,是
芥菜,花叶类,2021-06-23,20:59:03.045,0.4,2.0,销售,是
芥菜,花叶类,2021-06-23,21:56:44.717,0.55,2.0,销售,是
芥菜,花叶类,2021-06-24,10:17:36.233,0.489,8.0,销售,否
芥菜,花叶类,2021-06-24,11:05:41.519,0.84,8.0,销售,否
芥菜,花叶类,2021-06-24,13:43:27.017,0.614,8.0,销售,否
芥菜,花叶类,2021-06-24,17:32:06.983,0.489,8.0,销售,否
芥菜,花叶类,2021-06-24,20:34:33.925,0.367,3.0,销售,是
芥菜,花叶类,2021-06-24,20:52:10.433,0.5,3.0,销售,是
芥菜,花叶类,2021-06-24,21:08:04.094,0.7,3.0,销售,是
芥菜,花叶类,2021-06-24,21:09:23.436,0.533,3.0,销售,是
芥菜,花叶类,2021-06-24,21:12:27.035,0.533,3.0,销售,是
芥菜,花叶类,2021-07-21,10:51:47.817,0.389,8.0,销售,否
芥菜,花叶类,2021-07-23,09:14:38.748,0.414,8.0,销售,否
芥菜,花叶类,2021-07-23,09:44:35.954,0.288,8.0,销售,否
芥菜,花叶类,2021-07-23,09:47:27.765,0.652,8.0,销售,否
芥菜,花叶类,2021-07-23,10:02:14.724,0.363,8.0,销售,否
芥菜,花叶类,2021-07-23,10:04:05.137,0.363,8.0,销售,否
芥菜,花叶类,2021-07-23,10:49:25.442,0.526,8.0,销售,否
芥菜,花叶类,2021-07-23,11:44:11.996,0.426,8.0,销售,否
芥菜,花叶类,2021-07-24,10:36:35.126,0.439,8.0,销售,否
芥菜,花叶类,2021-07-24,11:12:02.381,0.201,8.0,销售,否
芥菜,花叶类,2021-07-24,12:47:20.342,0.902,8.0,销售,否
芥菜,花叶类,2021-07-24,17:56:34.561,0.389,8.0,销售,否
芥菜,花叶类,2021-07-25,13:14:58.514,0.528,8.0,销售,否
芥菜,花叶类,2021-07-25,14:00:44.826,0.239,8.0,销售,否
芥菜,花叶类,2021-07-25,14:45:59.614,0.201,8.0,销售,否
芥菜,花叶类,2021-07-25,16:16:07.889,0.766,8.0,销售,否
芥菜,花叶类,2021-07-25,16:57:48.993,0.389,8.0,销售,否
芥菜,花叶类,2021-07-25,18:04:02.184,0.427,8.0,销售,否
芥菜,花叶类,2021-07-25,18:16:57.049,0.314,8.0,销售,否
芥菜,花叶类,2021-07-25,18:43:56.757,0.54,8.0,销售,否
芥菜,花叶类,2021-07-25,19:03:47.913,0.54,8.0,销售,否
芥菜,花叶类,2021-07-25,19:16:55.813,0.214,8.0,销售,否
芥菜,花叶类,2021-07-25,20:13:38.467,0.452,8.0,销售,否
芥菜,花叶类,2021-07-26,10:29:27.373,0.239,8.0,销售,否
芥菜,花叶类,2021-07-26,10:34:17.873,0.515,8.0,销售,否
芥菜,花叶类,2021-07-26,10:44:15.420,0.239,8.0,销售,否
芥菜,花叶类,2021-07-26,15:25:54.508,0.477,8.0,销售,否
芥菜,花叶类,2021-07-26,16:52:38.415,0.641,8.0,销售,否
芥菜,花叶类,2021-07-26,17:07:32.639,0.49,8.0,销售,否
芥菜,花叶类,2021-07-26,17:45:47.748,0.452,8.0,销售,否
芥菜,花叶类,2021-07-26,19:14:31.248,0.214,8.0,销售,否
芥菜,花叶类,2021-07-28,09:36:26.420,0.314,8.0,销售,否
芥菜,花叶类,2021-07-28,10:18:44.420,0.314,8.0,销售,否
芥菜,花叶类,2021-07-28,10:18:53.795,0.402,8.0,销售,否
芥菜,花叶类,2021-07-28,10:29:36.561,0.741,8.0,销售,否
芥菜,花叶类,2021-07-28,10:33:33.594,0.741,8.0,销售,否
