单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
花茄子,茄类,2020-09-05,17:16:30.280,0.329,14.0,销售,否
花茄子,茄类,2020-09-05,17:46:54.390,0.501,14.0,销售,否
花茄子,茄类,2020-09-05,18:31:42.514,0.265,14.0,销售,否
花茄子,茄类,2020-09-05,19:36:31.692,0.444,14.0,销售,否
花茄子,茄类,2020-09-05,20:35:21.153,0.401,14.0,销售,否
花茄子,茄类,2020-09-06,09:52:28.265,0.451,14.0,销售,否
花茄子,茄类,2020-09-06,09:53:44.686,0.458,14.0,销售,否
花茄子,茄类,2020-09-06,10:15:48.951,0.365,14.0,销售,否
花茄子,茄类,2020-09-06,18:12:13.123,0.444,14.0,销售,否
花茄子,茄类,2020-09-06,18:18:11.670,0.508,14.0,销售,否
花茄子,茄类,2020-09-07,20:33:29.569,0.537,14.0,销售,否
花茄子,茄类,2020-09-08,17:23:32.733,0.508,14.0,销售,否
花茄子,茄类,2020-09-08,20:06:14.424,0.3,14.0,销售,否
花茄子,茄类,2020-09-09,10:30:58.639,0.501,14.0,销售,否
花茄子,茄类,2020-09-09,11:45:12.954,0.579,14.0,销售,否
花茄子,茄类,2020-09-09,13:50:43.373,0.501,14.0,销售,否
花茄子,茄类,2020-09-10,12:10:36.511,0.257,16.0,销售,否
花茄子,茄类,2020-09-12,13:03:17.967,0.469,16.0,销售,否
花茄子,茄类,2020-11-30,10:22:16.998,1.451,7.6,销售,否
花茄子,茄类,2020-11-30,10:32:33.233,0.317,7.6,销售,否
花茄子,茄类,2020-11-30,11:42:24.496,0.277,7.6,销售,否
花茄子,茄类,2020-11-30,13:50:46.378,0.633,7.6,销售,否
花茄子,茄类,2020-11-30,14:12:19.976,0.554,7.6,销售,否
花茄子,茄类,2020-11-30,16:02:57.800,0.673,7.6,销售,否
花茄子,茄类,2020-11-30,18:40:01.152,0.277,7.6,销售,否
花茄子,茄类,2020-11-30,18:59:52.733,0.567,7.6,销售,否
花茄子,茄类,2020-11-30,19:10:21.249,0.633,7.6,销售,否
花茄子,茄类,2020-11-30,19:51:16.833,0.792,7.6,销售,否
花茄子,茄类,2020-12-01,09:47:04.701,0.277,7.6,销售,否
花茄子,茄类,2020-12-01,12:35:45.828,0.343,7.6,销售,否
花茄子,茄类,2020-12-01,15:24:06.170,0.277,7.6,销售,否
花茄子,茄类,2020-12-01,18:12:48.780,0.33,7.6,销售,否
花茄子,茄类,2020-12-02,11:56:48.701,0.515,7.6,销售,否
花茄子,茄类,2020-12-03,11:07:01.201,0.528,7.6,销售,否
花茄子,茄类,2020-12-03,11:51:28.795,0.567,7.6,销售,否
花茄子,茄类,2020-12-03,18:47:45.076,0.528,7.6,销售,否
花茄子,茄类,2020-12-04,10:56:08.280,0.631,10.0,销售,否
花茄子,茄类,2020-12-05,15:11:39.030,0.835,9.0,销售,否
花茄子,茄类,2020-12-05,19:39:03.884,0.278,9.0,销售,否
花茄子,茄类,2020-12-06,15:40:13.710,0.278,9.0,销售,否
花茄子,茄类,2020-12-06,15:56:49.247,0.78,9.0,销售,否
花茄子,茄类,2020-12-06,16:34:52.506,0.479,9.0,销售,否
花茄子,茄类,2020-12-06,17:06:40.463,0.635,9.0,销售,否
花茄子,茄类,2020-12-07,19:59:51.331,0.234,9.0,销售,否
花茄子,茄类,2020-12-08,18:01:20.576,0.523,9.0,销售,否
花茄子,茄类,2020-12-08,20:21:30.038,0.557,9.0,销售,否
花茄子,茄类,2020-12-10,17:05:42.108,0.334,12.0,销售,否
花茄子,茄类,2020-12-11,16:14:16.639,0.718,12.0,销售,否
花茄子,茄类,2020-12-11,20:55:45.467,0.793,12.0,销售,否
花茄子,茄类,2020-12-12,17:20:09.464,0.584,12.0,销售,否
花茄子,茄类,2020-12-13,17:13:26.879,0.591,10.0,销售,否
花茄子,茄类,2020-12-13,20:54:28.780,0.301,10.0,销售,否
花茄子,茄类,2020-12-14,11:43:01.862,0.501,10.0,销售,否
花茄子,茄类,2020-12-14,15:49:28.115,0.551,10.0,销售,否
花茄子,茄类,2020-12-14,17:02:49.139,0.251,10.0,销售,否
花茄子,茄类,2020-12-14,18:06:30.847,0.631,10.0,销售,否
花茄子,茄类,2020-12-14,20:36:28.935,0.271,10.0,销售,否
花茄子,茄类,2020-12-15,16:13:35.421,0.291,10.0,销售,否
花茄子,茄类,2020-12-15,16:56:34.718,0.812,10.0,销售,否
花茄子,茄类,2020-12-15,21:09:37.125,0.441,10.0,销售,否
花茄子,茄类,2020-12-17,15:49:25.123,0.521,10.0,销售,否
花茄子,茄类,2020-12-17,16:57:30.280,0.351,10.0,销售,否
花茄子,茄类,2020-12-17,16:58:15.092,0.411,10.0,销售,否
花茄子,茄类,2020-12-18,20:48:18.373,0.501,10.0,销售,否
花茄子,茄类,2020-12-21,16:38:01.139,0.501,10.0,销售,否
花茄子,茄类,2020-12-22,20:24:27.311,0.281,10.0,销售,否
花茄子,茄类,2020-12-23,13:47:38.748,0.251,10.0,销售,否
花茄子,茄类,2020-12-24,20:13:02.219,0.561,10.0,销售,否
花茄子,茄类,2020-12-24,20:19:17.033,0.541,10.0,销售,否
花茄子,茄类,2020-12-29,14:24:32.545,0.951,14.0,销售,否
花茄子,茄类,2020-12-29,16:36:56.573,0.429,14.0,销售,否
花茄子,茄类,2020-12-30,19:43:24.884,0.25,14.0,销售,否
花茄子,茄类,2020-12-30,21:03:33.539,0.265,14.0,销售,否
花茄子,茄类,2020-12-31,20:47:29.687,0.494,14.0,销售,否
花茄子,茄类,2021-02-05,14:55:53.045,0.802,10.0,销售,否
花茄子,茄类,2021-02-05,16:18:41.081,0.651,10.0,销售,否
花茄子,茄类,2021-02-06,10:08:58.014,0.461,10.0,销售,否
花茄子,茄类,2021-02-06,10:30:48.373,0.421,10.0,销售,否
花茄子,茄类,2021-02-06,10:39:12.014,0.521,10.0,销售,否
花茄子,茄类,2021-02-06,11:18:10.974,0.521,10.0,销售,否
花茄子,茄类,2021-02-06,12:21:15.170,1.363,10.0,销售,否
花茄子,茄类,2021-02-06,14:49:43.139,0.872,10.0,销售,否
花茄子,茄类,2021-02-06,17:17:00.943,0.471,10.0,销售,否
花茄子,茄类,2021-02-06,17:29:54.858,0.471,10.0,销售,否
花茄子,茄类,2021-02-06,18:09:12.389,0.411,10.0,销售,否
花茄子,茄类,2021-02-06,18:23:42.716,0.21,10.0,销售,否
花茄子,茄类,2021-02-06,19:57:55.416,0.451,10.0,销售,否
花茄子,茄类,2021-02-07,12:19:14.998,0.417,12.0,销售,否
花茄子,茄类,2021-02-07,12:50:20.530,0.818,12.0,销售,否
花茄子,茄类,2021-02-07,13:35:21.748,0.935,12.0,销售,否
花茄子,茄类,2021-02-07,18:15:09.298,0.467,12.0,销售,否
花茄子,茄类,2021-02-07,20:42:43.487,0.576,12.0,销售,否
花茄子,茄类,2021-02-08,11:11:20.951,0.451,12.0,销售,否
花茄子,茄类,2021-02-08,13:35:35.764,0.518,12.0,销售,否
花茄子,茄类,2021-02-08,17:22:24.936,0.518,12.0,销售,否
花茄子,茄类,2021-02-08,19:12:49.600,0.509,12.0,销售,否
花茄子,茄类,2021-02-08,19:23:21.139,0.985,12.0,销售,否
花茄子,茄类,2021-02-08,19:32:52.531,0.267,12.0,销售,否
花茄子,茄类,2021-02-08,20:20:10.326,0.384,12.0,销售,否
花茄子,茄类,2021-02-08,20:39:37.483,1.127,12.0,销售,否
花茄子,茄类,2021-02-08,20:40:25.983,1.628,12.0,销售,否
花茄子,茄类,2021-02-08,20:40:29.045,0.751,12.0,销售,否
花茄子,茄类,2021-07-14,10:11:50.111,0.71,12.0,销售,否
花茄子,茄类,2021-07-15,10:20:08.092,0.776,12.0,销售,否
花茄子,茄类,2021-07-15,13:56:53.682,0.701,12.0,销售,否
花茄子,茄类,2021-07-15,16:18:40.936,0.993,12.0,销售,否
花茄子,茄类,2021-07-15,19:19:08.701,0.434,12.0,销售,否
花茄子,茄类,2021-07-16,09:55:07.234,0.417,12.0,销售,否
花茄子,茄类,2021-07-16,10:40:51.399,0.776,12.0,销售,否
花茄子,茄类,2021-07-16,13:05:11.750,0.743,12.0,销售,否
花茄子,茄类,2021-07-16,13:50:58.171,0.609,12.0,销售,否
花茄子,茄类,2021-07-16,14:07:17.578,0.685,12.0,销售,否
花茄子,茄类,2021-07-16,18:56:35.980,0.376,12.0,销售,否
花茄子,茄类,2021-07-16,19:59:00.739,0.76,12.0,销售,否
花茄子,茄类,2021-07-17,09:37:26.041,0.326,12.0,销售,否
花茄子,茄类,2021-07-17,10:17:51.983,0.342,12.0,销售,否
花茄子,茄类,2021-07-17,10:23:52.617,0.693,12.0,销售,否
花茄子,茄类,2021-07-17,10:24:14.014,0.877,12.0,销售,否
花茄子,茄类,2022-05-01,11:52:34.528,0.251,12.0,销售,否
花茄子,茄类,2022-05-01,20:39:31.534,0.594,12.0,销售,否
花茄子,茄类,2022-05-02,11:55:40.123,0.493,12.0,销售,否
花茄子,茄类,2022-05-02,20:26:57.613,0.602,12.0,销售,否
花茄子,茄类,2022-05-03,11:57:42.998,0.794,12.0,销售,否
花茄子,茄类,2022-05-03,18:27:15.528,0.468,12.0,销售,否
花茄子,茄类,2022-05-03,19:16:51.862,0.911,12.0,销售,否
花茄子,茄类,2022-05-04,15:52:51.545,0.426,12.0,销售,否
花茄子,茄类,2022-05-04,19:26:27.121,0.677,12.0,销售,否
花茄子,茄类,2022-05-04,20:22:31.130,0.418,12.0,销售,否
花茄子,茄类,2022-05-05,16:56:14.743,0.334,12.0,销售,否
花茄子,茄类,2022-05-06,18:56:58.333,0.702,12.0,销售,否
花茄子,茄类,2022-05-06,20:46:52.717,0.836,12.0,销售,否
花茄子,茄类,2022-05-07,18:33:32.309,0.56,12.0,销售,否
花茄子,茄类,2022-05-08,16:21:59.435,0.226,12.0,销售,否
花茄子,茄类,2022-05-08,19:45:16.291,0.393,12.0,销售,否
花茄子,茄类,2022-05-09,10:41:36.173,0.518,12.0,销售,否
花茄子,茄类,2022-05-09,19:36:55.342,0.518,12.0,销售,否
花茄子,茄类,2022-05-10,10:38:59.951,0.819,12.0,销售,否
花茄子,茄类,2022-05-10,11:46:47.248,0.159,12.0,销售,否
花茄子,茄类,2022-05-10,16:55:59.790,0.393,12.0,销售,否
花茄子,茄类,2022-05-10,18:57:38.968,0.217,12.0,销售,否
花茄子,茄类,2022-05-10,20:43:01.955,0.644,12.0,销售,否
花茄子,茄类,2022-05-11,18:12:04.827,0.192,12.0,销售,否
花茄子,茄类,2022-05-12,10:35:30.190,0.627,12.0,销售,否
花茄子,茄类,2022-05-12,10:43:23.436,0.577,12.0,销售,否
花茄子,茄类,2022-05-12,18:15:24.508,0.376,12.0,销售,否
花茄子,茄类,2022-05-12,18:36:12.733,0.351,12.0,销售,否
花茄子,茄类,2022-05-13,16:53:02.690,0.452,12.0,销售,否
花茄子,茄类,2022-05-14,09:50:33.295,0.502,12.0,销售,否
花茄子,茄类,2022-05-14,10:59:11.842,0.326,12.0,销售,否
