单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
苋菜(份),花叶类,2022-04-16,10:03:58.578,1.0,1.5,销售,否
苋菜(份),花叶类,2022-04-16,10:27:12.561,1.0,1.5,销售,否
苋菜(份),花叶类,2022-04-16,10:37:48.915,1.0,1.5,销售,否
苋菜(份),花叶类,2022-04-16,11:56:00.248,1.0,1.5,销售,否
苋菜(份),花叶类,2022-04-16,15:46:41.842,1.0,1.5,销售,否
苋菜(份),花叶类,2022-04-19,09:10:59.373,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-19,09:38:29.005,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-19,10:03:25.467,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-19,11:21:25.514,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-19,17:54:43.561,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-19,18:27:07.811,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-21,09:56:31.186,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-21,20:36:47.156,1.0,1.8,销售,是
苋菜(份),花叶类,2022-04-21,21:20:47.094,1.0,1.8,销售,是
苋菜(份),花叶类,2022-04-22,09:19:37.186,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-22,10:19:48.686,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-22,16:51:25.217,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-23,15:21:59.420,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-23,16:32:12.443,1.0,2.5,销售,否
苋菜(份),花叶类,2022-04-24,20:46:57.383,1.0,1.8,销售,是
苋菜(份),花叶类,2022-04-25,14:19:07.963,1.0,1.9,销售,否
苋菜(份),花叶类,2022-04-27,09:56:15.703,1.0,1.9,销售,否
苋菜(份),花叶类,2022-04-27,17:02:05.605,1.0,1.9,销售,否
苋菜(份),花叶类,2022-04-28,10:04:26.530,1.0,1.9,销售,否
苋菜(份),花叶类,2022-04-29,20:55:27.030,1.0,1.3,销售,是
苋菜(份),花叶类,2022-06-20,21:29:48.542,1.0,2.9,销售,否
苋菜(份),花叶类,2022-06-20,21:32:24.218,1.0,2.9,销售,否
苋菜(份),花叶类,2022-06-22,20:50:40.189,1.0,2.9,销售,否
苋菜(份),花叶类,2022-06-22,20:57:57.884,1.0,2.9,销售,否
苋菜(份),花叶类,2022-06-28,09:26:25.592,1.0,2.9,销售,否
苋菜(份),花叶类,2022-06-29,17:59:39.523,1.0,2.9,销售,否
苋菜(份),花叶类,2022-07-02,10:32:10.326,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-04,09:43:16.514,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-04,17:09:31.861,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,09:41:55.575,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,09:43:28.086,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,09:49:37.748,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,10:53:04.630,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,12:19:58.519,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,16:38:33.919,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,17:02:55.540,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,17:13:25.670,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,18:16:55.045,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,18:27:44.291,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,18:32:52.104,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-06,20:17:54.014,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-06,20:51:44.992,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-07,09:25:19.927,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-07,09:52:31.655,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-07,10:07:31.832,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-07,10:19:18.889,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-08,10:17:32.569,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-08,13:24:27.873,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-08,16:56:17.483,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-08,17:01:12.618,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-08,17:24:17.014,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-08,17:34:15.579,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-08,18:58:01.092,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-08,20:08:02.780,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-08,20:28:08.436,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-08,20:29:18.716,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-08,20:36:33.467,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-08,20:38:21.717,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-08,20:56:06.872,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-08,21:15:11.717,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-09,11:08:35.561,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-09,11:16:37.369,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-09,13:44:45.028,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-09,19:26:51.795,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-09,19:27:08.494,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-09,20:19:44.326,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-09,20:23:05.696,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-09,20:40:52.625,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-09,20:44:47.789,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-09,21:29:02.971,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-10,10:46:45.873,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-10,11:17:34.300,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-10,16:48:06.427,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-10,17:48:51.920,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-10,18:17:08.639,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-10,18:40:38.913,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-10,18:52:15.911,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-10,19:47:08.670,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-10,19:49:01.998,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-10,20:18:40.001,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-10,20:45:35.913,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-10,20:51:37.585,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-10,20:59:55.592,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-10,21:11:35.092,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-10,21:20:55.123,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-11,09:25:37.862,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,09:42:55.427,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,09:45:03.361,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,11:03:28.108,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,11:16:25.250,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,12:37:52.295,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,12:38:46.608,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,16:36:53.675,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,16:52:08.115,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,17:51:19.295,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,18:15:24.237,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,18:55:01.267,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,19:00:26.274,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,19:17:30.496,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,19:58:57.358,1.0,2.9,销售,否
苋菜(份),花叶类,2022-08-11,20:14:16.084,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-11,20:27:51.717,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-11,20:34:22.591,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-11,20:40:13.694,1.0,1.7,销售,是
苋菜(份),花叶类,2022-08-11,21:16:37.920,1.0,1.7,销售,是
