单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
茶树菇(袋),食用菌,2022-11-01,19:46:10.527,1.0,4.5,销售,是
茶树菇(袋),食用菌,2022-11-01,21:21:15.604,1.0,4.5,销售,是
茶树菇(袋),食用菌,2022-11-01,21:21:15.719,1.0,4.5,销售,是
茶树菇(袋),食用菌,2022-11-05,09:47:23.089,1.0,5.0,销售,是
茶树菇(袋),食用菌,2022-11-07,10:54:50.825,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-07,18:57:56.377,1.0,4.0,销售,是
茶树菇(袋),食用菌,2022-11-07,20:06:31.677,1.0,5.0,销售,是
茶树菇(袋),食用菌,2022-11-07,21:06:39.682,1.0,5.0,销售,是
茶树菇(袋),食用菌,2022-11-08,15:35:45.199,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-10,12:59:36.576,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-11,15:16:18.797,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-11,16:05:12.591,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-11,21:31:55.623,1.0,5.9,销售,是
茶树菇(袋),食用菌,2022-11-14,10:11:49.937,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-14,16:45:56.565,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-15,15:16:32.631,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-15,15:44:10.633,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-17,20:09:43.954,1.0,5.0,销售,是
茶树菇(袋),食用菌,2022-11-18,10:29:28.436,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-18,16:51:33.833,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-18,18:52:27.456,1.0,3.0,销售,是
茶树菇(袋),食用菌,2022-11-18,20:18:01.873,1.0,3.0,销售,是
茶树菇(袋),食用菌,2022-11-21,10:39:33.303,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-21,10:44:05.032,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-21,15:25:13.858,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-21,17:24:50.466,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-22,14:47:16.873,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-11-24,12:02:11.133,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-12-10,16:57:03.108,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-12-10,20:36:22.062,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-12-11,10:28:16.016,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-12-11,11:35:45.014,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-12-11,18:55:47.295,1.0,9.9,销售,否
茶树菇(袋),食用菌,2022-12-13,14:31:19.785,1.0,5.9,销售,是
