单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
茼蒿(份),花叶类,2021-12-16,10:41:32.936,2.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-16,18:53:04.045,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-16,19:39:00.733,1.0,0.9,销售,是
茼蒿(份),花叶类,2021-12-22,16:20:57.826,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-22,20:59:34.764,1.0,0.9,销售,是
茼蒿(份),花叶类,2021-12-22,20:59:37.233,1.0,0.9,销售,是
茼蒿(份),花叶类,2021-12-22,20:59:39.311,1.0,0.9,销售,是
茼蒿(份),花叶类,2021-12-23,09:52:36.002,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-24,10:30:45.389,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-24,10:30:52.186,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-24,13:05:20.458,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-24,21:30:35.244,1.0,0.9,销售,是
茼蒿(份),花叶类,2021-12-24,21:32:41.280,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-25,10:19:15.733,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-25,10:39:14.076,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-25,10:39:21.530,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-25,11:03:39.451,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-25,19:45:37.729,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-26,09:50:57.105,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-26,09:50:57.303,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-26,10:27:40.733,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-26,16:51:30.170,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-27,10:53:35.177,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-27,11:55:46.017,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-27,12:33:34.139,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-27,16:50:16.861,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-27,18:30:24.925,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-27,20:16:51.826,1.0,0.9,销售,是
茼蒿(份),花叶类,2021-12-27,21:12:03.370,1.0,0.9,销售,是
茼蒿(份),花叶类,2021-12-28,10:52:54.161,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-28,11:18:35.092,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-28,11:51:41.170,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-28,11:51:45.811,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-30,12:17:05.161,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-30,14:07:48.486,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-30,17:11:08.623,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-31,09:24:47.530,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-31,09:55:52.546,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-31,09:55:52.756,1.0,1.5,销售,否
茼蒿(份),花叶类,2021-12-31,20:59:35.959,1.0,0.9,销售,是
茼蒿(份),花叶类,2022-01-01,09:41:26.909,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-01,10:15:24.076,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-01,10:22:05.119,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-01,10:22:05.317,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-01,10:56:27.048,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-01,16:53:43.994,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-02,10:11:03.655,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-02,14:17:02.561,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-02,18:07:07.549,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-03,10:56:28.575,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-03,13:37:31.936,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-03,14:56:16.717,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-03,20:02:51.257,1.0,0.9,销售,是
茼蒿(份),花叶类,2022-01-03,20:02:51.356,1.0,0.9,销售,是
茼蒿(份),花叶类,2022-01-03,20:15:02.705,1.0,0.9,销售,是
茼蒿(份),花叶类,2022-01-03,20:15:02.802,1.0,0.9,销售,是
茼蒿(份),花叶类,2022-01-03,21:43:25.530,1.0,0.9,销售,是
茼蒿(份),花叶类,2022-01-04,10:14:40.441,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-04,10:14:40.634,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-04,11:43:56.045,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-04,15:47:16.733,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-04,16:38:10.233,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-04,17:10:50.360,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-04,17:10:50.593,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-04,21:10:20.799,1.0,0.9,销售,是
茼蒿(份),花叶类,2022-01-05,09:21:32.451,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-05,11:04:05.370,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-05,11:19:04.681,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-05,16:35:06.207,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-05,16:56:39.903,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-06,14:27:42.558,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-06,20:50:25.076,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-07,09:59:31.295,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-07,11:25:01.998,1.0,1.5,销售,否
茼蒿(份),花叶类,2022-01-07,11:25:06.608,1.0,1.5,销售,否
