单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
荸荠(份),水生根茎类,2022-02-13,15:32:20.145,1.0,6.9,销售,否
荸荠(份),水生根茎类,2022-02-13,19:24:24.170,1.0,6.9,销售,否
荸荠(份),水生根茎类,2022-02-15,09:36:22.356,1.0,6.9,销售,否
荸荠(份),水生根茎类,2022-02-16,16:29:23.717,1.0,6.9,销售,否
荸荠(份),水生根茎类,2022-02-16,17:46:52.264,1.0,6.9,销售,否
荸荠(份),水生根茎类,2022-02-17,17:38:16.133,1.0,4.9,销售,否
荸荠(份),水生根茎类,2022-02-17,20:13:05.014,1.0,4.9,销售,否
荸荠(份),水生根茎类,2022-02-17,20:13:08.873,1.0,4.9,销售,否
荸荠(份),水生根茎类,2022-02-18,14:50:22.545,1.0,4.9,销售,否
荸荠(份),水生根茎类,2022-02-19,10:11:02.105,1.0,4.9,销售,否
