单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
菌蔬四宝(份),食用菌,2022-12-29,10:23:58.782,1.0,7.9,销售,否
菌蔬四宝(份),食用菌,2022-12-29,16:35:03.638,1.0,7.9,销售,否
菌蔬四宝(份),食用菌,2022-12-29,17:55:49.315,1.0,7.9,销售,否
菌蔬四宝(份),食用菌,2022-12-29,17:59:06.21,1.0,7.9,销售,否
菌蔬四宝(份),食用菌,2022-12-30,13:49:41.998,1.0,7.9,销售,否
菌蔬四宝(份),食用菌,2022-12-30,14:31:46.884,1.0,7.9,销售,否
菌蔬四宝(份),食用菌,2022-12-30,16:55:27.843,1.0,4.7,销售,是
菌蔬四宝(份),食用菌,2022-12-30,16:55:27.961,1.0,4.7,销售,是
菌蔬四宝(份),食用菌,2022-12-30,17:57:56.264,1.0,7.9,销售,否
菌蔬四宝(份),食用菌,2022-12-31,11:29:06.944,1.0,4.7,销售,是
菌蔬四宝(份),食用菌,2022-12-31,17:58:47.034,1.0,7.9,销售,否
菌蔬四宝(份),食用菌,2022-12-31,20:37:59.592,1.0,4.7,销售,是
菌蔬四宝(份),食用菌,2023-01-01,18:44:53.623,1.0,4.7,销售,是
