单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
菠菜(份),花叶类,2021-12-16,18:36:40.186,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-16,19:19:34.822,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-16,19:23:07.358,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-16,19:38:47.467,1.0,1.7,销售,是
菠菜(份),花叶类,2021-12-16,19:51:14.658,1.0,1.7,销售,是
菠菜(份),花叶类,2021-12-17,13:12:32.298,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-17,17:36:01.575,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-17,18:06:07.819,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-17,18:24:17.070,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-23,09:47:02.451,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-23,09:51:56.411,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-23,17:10:10.245,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-23,17:44:08.960,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-23,17:55:55.311,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-24,13:41:53.045,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-24,15:00:54.389,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-24,18:15:22.857,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-24,18:46:51.873,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-24,20:18:44.795,1.0,1.7,销售,是
菠菜(份),花叶类,2021-12-25,10:22:27.420,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-25,10:36:51.420,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-25,11:18:05.920,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-25,18:22:58.523,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-26,09:36:52.550,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-26,09:50:57.507,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-26,09:50:57.713,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-26,11:12:02.183,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-26,13:39:28.826,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-26,14:44:00.858,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-27,09:33:55.447,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-27,16:46:35.464,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-27,18:09:22.561,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-27,18:34:07.487,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-28,16:03:48.639,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-28,17:25:40.795,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-28,20:27:22.474,1.0,1.7,销售,是
菠菜(份),花叶类,2021-12-28,20:33:50.889,1.0,1.7,销售,是
菠菜(份),花叶类,2021-12-30,15:18:46.660,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-30,20:34:18.295,1.0,1.7,销售,是
菠菜(份),花叶类,2021-12-30,20:40:23.303,1.0,1.7,销售,是
菠菜(份),花叶类,2021-12-30,20:48:31.201,1.0,1.7,销售,是
菠菜(份),花叶类,2021-12-31,10:34:33.359,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-31,17:31:23.920,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-31,17:44:26.514,1.0,2.9,销售,否
菠菜(份),花叶类,2021-12-31,19:24:36.576,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-01,10:51:26.358,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-01,10:54:57.399,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-01,10:59:29.278,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-01,11:12:50.286,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-01,15:15:22.795,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-01,15:51:24.155,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-02,10:04:44.545,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-02,10:05:13.405,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-02,14:06:39.285,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-02,15:20:57.583,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-02,20:50:37.063,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-02,21:37:09.026,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-03,10:11:52.623,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-03,11:14:44.811,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-03,11:44:24.628,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-03,14:10:33.576,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-04,10:36:32.733,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-04,16:38:00.530,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-04,20:15:34.873,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-04,20:55:25.530,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-04,21:10:20.698,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-05,09:58:17.858,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-05,10:22:39.856,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-05,15:28:40.293,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-05,16:09:06.608,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-05,16:10:44.563,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-06,15:50:33.185,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-07,11:05:27.439,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-07,20:37:11.056,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-07,21:16:50.013,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-07,21:21:00.362,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-08,10:07:32.108,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-08,10:22:37.282,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-08,10:24:47.326,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-08,10:24:48.998,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-08,10:41:01.873,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-08,16:27:16.352,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-09,09:50:18.623,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-09,10:43:37.561,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-09,11:12:59.656,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-09,11:36:08.552,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-09,11:49:54.502,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-09,14:15:32.811,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-09,17:49:33.802,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-09,18:18:03.840,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-10,10:41:14.063,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-10,19:11:56.686,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-10,19:12:03.530,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-10,20:45:19.422,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-11,16:17:54.623,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-11,17:21:12.339,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-11,18:26:27.482,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-11,18:55:03.640,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-11,19:05:17.951,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-11,19:25:51.894,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-11,19:54:18.636,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-11,20:25:28.699,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-12,10:05:13.311,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-12,10:59:37.191,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-12,15:37:15.042,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-12,21:02:05.612,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-12,21:25:17.121,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-12,21:28:05.579,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-13,16:50:56.483,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-13,18:46:59.409,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-13,18:46:59.512,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-13,19:27:11.843,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-13,19:30:51.852,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-13,20:05:04.342,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-14,09:33:32.780,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-14,10:56:18.905,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-14,11:34:55.793,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-14,19:56:13.530,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-14,19:59:57.795,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-15,16:39:32.772,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-15,17:39:34.337,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-15,19:11:25.551,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-15,19:56:38.420,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-15,19:56:44.701,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-15,20:19:33.988,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-15,20:19:34.090,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-15,21:07:49.257,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-16,10:10:00.653,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-16,10:44:35.639,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-16,11:46:58.649,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-16,12:02:16.758,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-16,12:44:38.298,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-16,13:03:20.014,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-16,20:39:30.072,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-16,21:22:42.498,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-17,12:42:44.811,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-17,15:06:41.305,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-17,18:17:21.208,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-17,18:35:40.842,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-17,20:04:58.271,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-18,09:39:52.076,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-18,09:58:00.295,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-18,09:58:09.123,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-18,11:52:26.774,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-18,20:10:26.001,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-18,20:30:39.957,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-18,20:55:15.725,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-18,20:58:46.679,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-19,10:24:49.317,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,10:27:18.139,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,11:03:00.468,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,16:21:36.774,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,16:41:23.051,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,16:41:23.240,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,17:54:10.483,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,18:02:47.498,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,19:00:47.182,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,19:03:51.811,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,19:14:14.608,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,19:38:37.441,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-19,19:39:56.058,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,19:47:56.367,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-19,20:05:59.764,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-19,20:08:04.239,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-19,20:20:43.208,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-19,20:20:43.319,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-19,21:16:04.772,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-19,21:27:17.229,1.0,1.7,销售,是
菠菜(份),花叶类,2022-01-20,11:43:45.920,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-20,11:57:09.155,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-20,11:58:31.951,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-20,12:16:41.382,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-20,16:08:37.014,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-20,16:16:59.548,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-21,11:11:42.983,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-21,14:03:15.623,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-21,16:16:55.248,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-21,17:21:55.498,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-21,17:47:05.700,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-21,18:12:39.905,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-21,18:28:29.264,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-21,18:56:52.389,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-21,19:11:54.197,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-21,20:00:46.803,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-21,21:01:57.295,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-22,10:26:46.186,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-22,10:26:59.951,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-22,10:28:46.270,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-22,11:37:35.516,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-22,11:37:35.695,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-22,12:06:38.061,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-22,12:22:19.248,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-22,13:18:38.834,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-22,14:50:17.373,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-22,20:12:26.311,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-23,10:12:33.944,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-23,10:59:37.561,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-23,11:23:27.540,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-23,11:24:35.749,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-23,11:35:36.436,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-23,14:15:52.002,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-23,15:42:13.700,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-23,16:16:34.232,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-24,13:29:47.711,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-24,17:17:27.351,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-24,18:00:44.186,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-24,19:05:57.416,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-24,19:41:53.614,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-24,19:41:53.717,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-24,19:43:05.798,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-24,19:55:34.795,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-24,20:21:27.162,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-24,21:15:34.716,1.0,2.0,销售,是
菠菜(份),花叶类,2022-01-25,16:29:12.666,1.0,2.9,销售,否
菠菜(份),花叶类,2022-01-25,16:31:33.639,1.0,2.9,销售,否
