单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
蒲公英,花叶类,2021-08-16,10:31:43.773,0.056,16.0,销售,否
蒲公英,花叶类,2022-02-26,09:27:13.305,0.236,49.6,销售,否
蒲公英,花叶类,2022-02-26,10:38:34.797,0.151,49.6,销售,否
蒲公英,花叶类,2022-02-26,19:15:59.217,0.143,49.6,销售,否
蒲公英,花叶类,2022-02-26,19:16:01.748,0.123,49.6,销售,否
蒲公英,花叶类,2022-02-28,18:22:27.727,0.129,49.6,销售,否
蒲公英,花叶类,2022-03-18,09:41:16.623,0.103,49.6,销售,否
蒲公英,花叶类,2022-03-19,15:28:31.920,0.101,49.6,销售,否
蒲公英,花叶类,2022-03-20,09:56:02.394,0.131,39.6,销售,否
蒲公英,花叶类,2022-03-27,16:49:26.264,0.111,31.6,销售,否
蒲公英,花叶类,2022-04-02,14:27:23.788,0.095,33.6,销售,否
蒲公英,花叶类,2022-04-06,21:05:35.483,0.003,33.6,销售,否
蒲公英,花叶类,2022-04-06,21:23:03.467,0.003,33.6,销售,否
蒲公英,花叶类,2022-04-12,12:09:39.889,0.176,29.6,销售,否
蒲公英,花叶类,2022-04-12,12:09:44.342,0.169,29.6,销售,否
蒲公英,花叶类,2022-04-14,19:23:30.263,0.145,29.6,销售,否
蒲公英,花叶类,2022-05-02,20:36:30.717,0.136,19.8,销售,否
蒲公英,花叶类,2022-05-02,20:36:41.061,0.141,19.8,销售,否
蒲公英,花叶类,2022-05-02,20:36:51.342,0.116,19.8,销售,否
蒲公英,花叶类,2023-02-20,11:51:24.123,0.164,39.6,销售,否
蒲公英,花叶类,2023-02-23,11:43:06.688,0.174,31.6,销售,否
蒲公英,花叶类,2023-03-11,16:19:28.03,0.177,19.8,销售,否
蒲公英,花叶类,2023-03-11,16:19:33.811,0.157,19.8,销售,否
蒲公英,花叶类,2023-03-11,19:00:35.326,0.157,19.8,销售,否
蒲公英,花叶类,2023-03-11,20:30:01.781,0.157,11.9,销售,是
蒲公英,花叶类,2023-03-11,20:30:01.93,0.126,11.9,销售,是
蒲公英,花叶类,2023-03-11,20:30:02.071,0.162,11.9,销售,是
蒲公英,花叶类,2023-03-14,16:12:30.317,0.172,19.8,销售,否
蒲公英,花叶类,2023-03-25,11:07:39.311,0.145,18.0,销售,否
蒲公英,花叶类,2023-03-25,11:07:43.311,0.195,18.0,销售,否
蒲公英,花叶类,2023-04-08,18:23:22.484,0.178,18.0,销售,否
