单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
虫草花,食用菌,2020-08-31,11:00:12.530,0.198,29.8,销售,否
虫草花,食用菌,2020-08-31,12:44:27.639,0.201,29.8,销售,否
虫草花,食用菌,2020-09-23,09:48:31.756,0.097,29.8,销售,否
虫草花,食用菌,2020-09-23,10:22:32.581,0.158,29.8,销售,否
虫草花,食用菌,2020-09-23,12:51:33.560,0.164,29.8,销售,否
虫草花,食用菌,2020-09-23,18:31:57.263,0.181,29.8,销售,否
虫草花,食用菌,2020-09-23,19:31:43.920,0.101,29.8,销售,否
虫草花,食用菌,2020-09-24,10:04:41.878,0.104,29.8,销售,否
虫草花,食用菌,2020-09-24,10:51:00.451,0.087,29.8,销售,否
虫草花,食用菌,2020-09-24,10:52:52.579,0.215,29.8,销售,否
虫草花,食用菌,2020-09-24,11:18:27.592,0.131,29.8,销售,否
虫草花,食用菌,2020-09-24,11:32:41.826,0.047,29.8,销售,否
虫草花,食用菌,2020-09-24,16:04:19.475,0.044,29.8,销售,否
虫草花,食用菌,2020-09-24,17:09:35.113,0.077,29.8,销售,否
虫草花,食用菌,2020-09-25,09:50:30.123,0.151,29.8,销售,否
虫草花,食用菌,2020-09-25,10:02:09.858,0.077,29.8,销售,否
虫草花,食用菌,2020-09-25,11:01:24.311,0.144,29.8,销售,否
虫草花,食用菌,2020-09-25,17:48:06.873,0.091,29.8,销售,否
虫草花,食用菌,2020-09-25,19:49:42.545,0.044,29.8,销售,否
虫草花,食用菌,2020-09-25,20:16:10.623,0.044,29.8,销售,否
虫草花,食用菌,2020-09-26,09:42:49.780,0.158,29.8,销售,否
虫草花,食用菌,2020-09-26,09:43:21.006,0.225,29.8,销售,否
虫草花,食用菌,2020-09-26,09:46:16.999,0.081,29.8,销售,否
虫草花,食用菌,2020-09-26,09:58:18.844,0.06,29.8,销售,否
虫草花,食用菌,2020-09-26,12:08:09.655,0.037,29.8,销售,否
虫草花,食用菌,2020-09-26,15:31:42.317,0.054,29.8,销售,否
虫草花,食用菌,2020-09-26,17:28:25.803,0.077,29.8,销售,否
虫草花,食用菌,2020-09-26,18:58:47.436,0.191,29.8,销售,否
虫草花,食用菌,2020-09-27,10:05:27.391,0.191,29.8,销售,否
虫草花,食用菌,2020-09-27,10:18:50.920,0.081,29.8,销售,否
虫草花,食用菌,2020-09-27,10:36:00.686,0.024,29.8,销售,否
虫草花,食用菌,2020-09-27,17:18:37.101,0.02,29.8,销售,否
虫草花,食用菌,2020-09-28,11:02:14.537,0.138,29.8,销售,否
虫草花,食用菌,2020-09-28,11:07:03.237,0.024,29.8,销售,否
虫草花,食用菌,2020-09-28,19:24:44.006,0.097,29.8,销售,否
虫草花,食用菌,2020-09-29,10:14:43.349,0.117,29.8,销售,否
虫草花,食用菌,2020-09-29,10:25:58.593,0.222,29.8,销售,否
虫草花,食用菌,2020-09-29,10:27:47.745,0.128,29.8,销售,否
虫草花,食用菌,2020-09-29,16:33:39.854,0.188,29.8,销售,否
虫草花,食用菌,2020-09-29,16:49:04.577,0.117,29.8,销售,否
虫草花,食用菌,2020-09-29,18:08:27.436,0.071,29.8,销售,否
虫草花,食用菌,2020-09-29,20:47:42.280,0.097,29.8,销售,否
虫草花,食用菌,2020-09-30,09:38:12.915,0.05,29.8,销售,否
虫草花,食用菌,2020-09-30,10:11:27.170,0.057,29.8,销售,否
虫草花,食用菌,2020-09-30,16:20:06.658,0.151,29.8,销售,否
虫草花,食用菌,2020-09-30,16:30:50.694,0.05,29.8,销售,否
虫草花,食用菌,2020-09-30,19:00:53.201,0.269,29.8,销售,否
虫草花,食用菌,2020-09-30,19:46:52.248,0.148,29.8,销售,否
虫草花,食用菌,2020-09-30,20:54:39.623,0.198,29.8,销售,否
虫草花,食用菌,2020-10-02,10:23:34.966,0.148,29.8,销售,否
虫草花,食用菌,2020-10-02,14:24:05.467,0.05,29.8,销售,否
虫草花,食用菌,2020-10-02,14:54:24.780,0.43,29.8,销售,否
虫草花,食用菌,2020-10-02,15:52:30.539,0.03,29.8,销售,否
虫草花,食用菌,2020-10-02,16:04:03.049,0.037,29.8,销售,否
虫草花,食用菌,2020-10-02,17:06:13.155,0.071,29.8,销售,否
虫草花,食用菌,2020-10-02,18:05:44.276,0.037,29.8,销售,否
虫草花,食用菌,2020-10-02,18:34:06.373,0.064,29.8,销售,否
虫草花,食用菌,2020-10-03,09:19:29.108,0.144,29.8,销售,否
虫草花,食用菌,2020-10-03,10:33:55.248,0.161,29.8,销售,否
虫草花,食用菌,2020-10-03,11:03:38.938,0.138,29.8,销售,否
虫草花,食用菌,2020-10-03,11:08:51.842,0.037,29.8,销售,否
虫草花,食用菌,2020-10-03,11:12:43.049,0.131,29.8,销售,否
虫草花,食用菌,2020-10-03,11:18:19.201,0.05,29.8,销售,否
虫草花,食用菌,2020-10-03,11:48:05.044,0.081,29.8,销售,否
虫草花,食用菌,2020-10-03,14:58:18.386,0.111,29.8,销售,否
虫草花,食用菌,2020-10-04,09:54:57.407,0.071,29.8,销售,否
虫草花,食用菌,2020-10-04,10:23:56.905,0.101,29.8,销售,否
虫草花,食用菌,2020-10-04,11:42:35.483,0.121,29.8,销售,否
虫草花,食用菌,2020-10-04,14:20:09.175,0.034,29.8,销售,否
虫草花,食用菌,2020-10-04,15:08:11.733,0.101,29.8,销售,否
虫草花,食用菌,2020-10-04,16:45:09.033,0.067,29.8,销售,否
虫草花,食用菌,2020-10-04,18:00:18.686,0.111,29.8,销售,否
虫草花,食用菌,2020-10-04,18:40:12.732,0.047,29.8,销售,否
虫草花,食用菌,2020-10-04,19:03:27.981,0.071,29.8,销售,否
虫草花,食用菌,2020-10-04,19:23:00.340,0.054,29.8,销售,否
虫草花,食用菌,2020-10-05,10:25:35.295,0.272,29.8,销售,否
虫草花,食用菌,2020-10-05,13:15:58.530,0.154,29.8,销售,否
虫草花,食用菌,2020-10-05,13:19:32.701,0.111,29.8,销售,否
虫草花,食用菌,2020-10-05,13:53:40.862,0.097,29.8,销售,否
虫草花,食用菌,2020-10-05,16:47:55.671,0.027,29.8,销售,否
虫草花,食用菌,2020-10-05,16:59:15.014,0.104,29.8,销售,否
虫草花,食用菌,2020-10-05,20:22:21.022,0.151,29.8,销售,否
虫草花,食用菌,2020-10-06,09:50:16.067,0.044,29.8,销售,否
虫草花,食用菌,2020-10-06,09:59:01.271,0.077,29.8,销售,否
虫草花,食用菌,2020-10-06,10:39:40.733,0.117,29.8,销售,否
虫草花,食用菌,2020-10-06,11:21:25.951,0.044,29.8,销售,否
虫草花,食用菌,2020-10-06,12:13:27.004,0.05,29.8,销售,否
虫草花,食用菌,2020-10-06,12:29:40.390,0.255,29.8,销售,否
虫草花,食用菌,2020-10-06,16:35:34.733,0.107,29.8,销售,否
虫草花,食用菌,2020-10-06,16:47:43.875,0.094,29.8,销售,否
虫草花,食用菌,2020-10-06,17:10:27.842,0.067,29.8,销售,否
虫草花,食用菌,2020-10-06,19:20:24.498,0.121,29.8,销售,否
虫草花,食用菌,2020-10-06,21:20:03.561,0.054,29.8,销售,否
虫草花,食用菌,2020-10-07,09:30:11.717,0.074,29.8,销售,否
虫草花,食用菌,2020-10-07,11:18:49.201,0.074,29.8,销售,否
虫草花,食用菌,2020-10-07,11:34:04.502,0.141,29.8,销售,否
虫草花,食用菌,2020-10-07,11:44:41.451,0.074,29.8,销售,否
