单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
蟹味菇(2),食用菌,2020-07-10,09:50:55.311,1.0,3.5,销售,否
蟹味菇(2),食用菌,2020-07-10,17:09:39.740,1.0,3.5,销售,否
蟹味菇(2),食用菌,2020-07-10,18:08:47.436,1.0,3.5,销售,否
蟹味菇(2),食用菌,2020-07-10,18:43:36.757,1.0,3.5,销售,否
蟹味菇(2),食用菌,2020-12-08,11:13:45.483,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-08,11:33:42.123,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-08,11:44:32.759,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-08,18:17:03.367,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-08,19:01:54.057,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-09,15:14:59.920,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-09,15:25:55.679,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-09,19:11:53.826,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-10,11:24:18.201,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-12,09:56:38.611,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-12,11:45:49.222,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-12,18:24:31.054,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-12,20:17:22.812,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-13,19:12:02.230,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-13,20:45:15.619,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-14,15:35:27.971,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-14,18:46:44.770,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-15,12:36:30.968,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-15,15:03:24.000,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-15,17:00:45.059,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-16,10:11:54.076,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-16,17:50:16.447,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-16,18:42:58.467,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-16,19:22:10.170,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-17,09:54:23.655,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-19,13:24:34.608,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-19,18:29:23.848,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-23,11:01:56.061,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-26,12:52:33.170,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-26,16:21:11.342,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-26,16:24:45.201,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-26,16:24:48.201,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-26,19:02:20.670,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-27,11:50:19.451,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-27,14:04:30.539,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-27,15:36:51.858,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-30,13:31:37.870,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-30,17:06:19.061,1.0,4.9,销售,否
蟹味菇(2),食用菌,2020-12-30,20:48:21.797,1.0,4.9,销售,否
蟹味菇(2),食用菌,2021-01-19,19:03:58.304,1.0,4.9,销售,否
蟹味菇(2),食用菌,2021-01-20,17:06:08.295,1.0,4.9,销售,否
蟹味菇(2),食用菌,2021-01-20,18:32:08.018,1.0,4.9,销售,否
蟹味菇(2),食用菌,2021-01-24,16:36:44.377,1.0,4.9,销售,否
蟹味菇(2),食用菌,2021-01-24,18:24:25.905,1.0,4.9,销售,否
蟹味菇(2),食用菌,2021-01-24,18:49:26.673,1.0,4.9,销售,否
