单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
蟹味菇(盒),食用菌,2022-01-13,10:14:16.315,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-14,18:29:16.780,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-15,17:14:02.413,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-17,19:54:39.125,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-18,12:40:06.123,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-18,16:36:35.056,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-18,19:15:10.208,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-19,12:02:16.377,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-19,12:06:30.451,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-19,14:01:49.323,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-20,13:48:19.076,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-20,18:18:31.951,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-20,18:27:53.545,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-21,10:41:55.592,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-21,18:21:50.983,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-22,12:14:19.998,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-22,12:14:22.592,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-22,19:03:45.155,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-22,19:31:23.186,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-22,20:04:15.155,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-24,10:57:45.675,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-24,17:06:16.340,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-25,16:27:14.605,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-25,16:27:14.830,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-25,16:35:46.274,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-25,18:23:32.222,1.0,2.0,销售,是
蟹味菇(盒),食用菌,2022-01-26,09:21:52.455,1.0,2.0,销售,是
蟹味菇(盒),食用菌,2022-01-26,10:19:39.248,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-26,13:51:50.326,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-26,13:52:38.498,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-26,15:49:53.725,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-01-26,20:02:27.539,1.0,2.0,销售,是
蟹味菇(盒),食用菌,2022-02-01,09:25:17.405,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-04,10:32:45.948,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-04,10:43:51.329,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-04,14:04:16.951,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-04,14:04:22.436,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-04,16:43:18.368,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-08,18:03:54.639,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-09,09:48:44.799,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-10,09:46:23.567,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-10,12:23:32.108,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-10,20:55:52.507,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-11,18:29:22.780,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-12,14:40:37.908,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-13,10:41:39.557,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-13,11:59:11.237,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-13,12:15:53.740,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-13,17:03:57.451,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-14,11:23:04.842,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-14,15:11:05.108,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-15,18:21:51.854,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-15,19:32:14.248,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-16,09:35:24.690,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-17,15:25:06.141,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-17,16:30:11.921,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-18,10:03:44.432,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-18,13:44:14.811,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-18,18:04:57.298,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-18,18:06:12.767,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-18,21:00:40.592,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-18,21:31:15.248,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-19,09:39:37.076,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-19,10:45:57.358,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-19,17:06:06.544,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-19,18:45:58.014,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-19,18:46:00.905,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-23,10:03:24.311,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-25,09:53:11.186,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-25,12:04:58.850,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-26,10:36:34.335,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-26,17:56:44.364,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-27,11:43:53.061,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-27,14:35:05.389,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-02-27,20:06:23.967,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-03-01,09:27:06.319,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-03-01,17:13:05.733,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-03-01,17:16:03.131,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-03-01,18:16:03.749,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-03-02,10:10:18.155,1.0,2.9,销售,否
蟹味菇(盒),食用菌,2022-03-02,18:04:27.436,1.0,2.9,销售,否
