单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
蟹味菇(袋),食用菌,2020-12-10,17:56:38.007,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2020-12-11,20:22:11.378,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2020-12-19,15:49:55.867,1.0,100.0,销售,否
蟹味菇(袋),食用菌,2020-12-20,12:00:13.514,-1.0,100.0,退货,否
蟹味菇(袋),食用菌,2020-12-29,14:21:54.373,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2020-12-29,15:50:28.076,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2020-12-29,16:11:33.618,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2020-12-29,17:22:11.332,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2020-12-29,17:34:03.639,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2020-12-29,19:01:30.076,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2021-01-03,09:42:05.335,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2021-01-03,10:55:57.198,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2021-01-03,11:06:59.055,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2021-01-03,19:12:57.014,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2021-01-04,16:00:20.416,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2021-01-05,11:35:31.030,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2021-01-05,17:20:10.812,1.0,4.9,销售,否
蟹味菇(袋),食用菌,2021-01-06,13:20:01.635,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-06,20:38:40.936,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-07,15:26:40.701,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-07,18:27:01.800,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-08,10:02:55.265,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-08,10:05:44.373,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-08,10:51:32.811,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-08,14:41:47.895,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-08,17:20:47.389,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-09,11:29:03.545,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-09,14:57:07.920,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-09,18:43:21.558,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-09,19:48:10.379,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-10,10:47:46.483,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-10,11:48:13.583,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-10,16:50:49.321,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-10,17:43:39.415,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-11,10:22:25.628,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-11,17:26:06.764,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-11,17:56:06.076,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-11,18:29:05.935,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-12,11:18:43.576,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-12,17:07:01.928,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-12,19:58:11.736,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-14,17:37:00.671,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-14,18:07:09.561,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-15,11:40:26.858,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-15,14:50:34.295,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-15,19:05:10.467,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-15,20:06:44.576,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-16,13:52:47.701,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-16,14:20:04.969,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-16,15:45:51.186,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-17,11:02:47.877,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-17,11:41:39.701,1.0,3.9,销售,否
蟹味菇(袋),食用菌,2021-01-17,12:33:00.936,1.0,3.9,销售,否
