单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-20,10:47:46.576,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-20,11:54:37.091,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-20,11:56:19.947,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-20,12:00:39.774,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-20,12:09:28.936,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-20,13:49:34.962,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-22,11:05:02.112,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-22,11:13:34.97,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-22,14:15:22.928,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-23,11:06:46.314,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-23,12:23:27.825,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-23,14:42:35.389,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-23,16:10:10.94,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-23,17:05:20.385,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-23,17:06:47.065,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-23,18:00:35.226,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-23,18:27:48.838,1.0,11.8,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-26,09:54:34.479,1.0,8.9,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-26,10:31:44.708,1.0,8.9,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-26,10:44:49.653,1.0,8.9,销售,否
蟹味菇与白玉菇双拼(盒),食用菌,2023-01-26,10:59:11.358,1.0,8.9,销售,否
