单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
襄甜红菜苔(袋),花叶类,2022-01-24,21:25:01.524,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-01-25,21:18:26.730,1.0,2.7,销售,是
襄甜红菜苔(袋),花叶类,2022-01-25,21:18:26.853,1.0,2.7,销售,是
襄甜红菜苔(袋),花叶类,2022-01-26,11:10:48.233,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-01-26,11:11:36.967,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-01-26,17:49:37.792,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-01-26,17:49:38.003,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-01-30,11:09:33.355,1.0,2.7,销售,是
襄甜红菜苔(袋),花叶类,2022-01-30,13:35:38.853,1.0,2.7,销售,是
襄甜红菜苔(袋),花叶类,2022-01-30,20:57:43.338,1.0,2.7,销售,是
襄甜红菜苔(袋),花叶类,2022-01-30,20:57:43.452,1.0,2.7,销售,是
襄甜红菜苔(袋),花叶类,2022-02-03,10:12:03.045,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,10:30:55.892,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,10:37:39.905,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,10:37:45.561,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,10:39:48.090,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,11:02:59.545,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,11:52:05.875,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,11:52:06.073,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,13:44:35.486,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,14:04:02.772,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,14:32:48.036,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,14:39:45.941,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,14:54:51.045,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,15:04:32.686,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,16:04:52.860,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,17:06:17.748,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,17:15:07.713,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,17:15:07.913,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,17:32:58.161,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,17:36:14.337,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,17:54:59.998,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,17:55:03.436,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,18:03:46.811,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,18:11:30.072,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,18:14:06.116,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-03,18:14:06.302,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-04,16:20:49.014,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-04,17:10:49.108,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-04,17:20:08.217,1.0,3.9,销售,否
襄甜红菜苔(袋),花叶类,2022-02-05,16:41:04.680,1.0,3.9,销售,否
