单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
西兰花,花菜类,2020-07-01,09:33:09.998,0.329,14.0,销售,否
西兰花,花菜类,2020-07-01,09:46:00.634,0.522,14.0,销售,否
西兰花,花菜类,2020-07-01,09:51:24.696,0.236,14.0,销售,否
西兰花,花菜类,2020-07-01,10:00:17.089,0.401,14.0,销售,否
西兰花,花菜类,2020-07-01,10:04:32.326,0.329,14.0,销售,否
西兰花,花菜类,2020-07-01,10:12:17.628,0.386,14.0,销售,否
西兰花,花菜类,2020-07-01,10:16:55.575,0.393,14.0,销售,否
西兰花,花菜类,2020-07-01,10:20:39.998,0.393,14.0,销售,否
西兰花,花菜类,2020-07-01,10:29:33.595,0.329,14.0,销售,否
西兰花,花菜类,2020-07-01,10:39:30.405,0.444,14.0,销售,否
西兰花,花菜类,2020-07-01,10:41:54.750,0.429,14.0,销售,否
西兰花,花菜类,2020-07-01,10:42:40.748,0.429,14.0,销售,否
西兰花,花菜类,2020-07-01,10:44:45.405,0.436,14.0,销售,否
西兰花,花菜类,2020-07-01,10:45:14.601,0.823,14.0,销售,否
西兰花,花菜类,2020-07-01,10:58:29.373,0.436,14.0,销售,否
西兰花,花菜类,2020-07-01,11:00:06.023,0.393,14.0,销售,否
西兰花,花菜类,2020-07-01,11:01:49.070,0.329,14.0,销售,否
西兰花,花菜类,2020-07-01,11:03:44.326,0.343,14.0,销售,否
西兰花,花菜类,2020-07-01,11:08:13.451,0.329,14.0,销售,否
西兰花,花菜类,2020-07-01,11:21:13.342,0.436,14.0,销售,否
西兰花,花菜类,2020-07-01,11:36:05.401,0.708,14.0,销售,否
西兰花,花菜类,2020-07-01,11:39:29.079,0.343,14.0,销售,否
西兰花,花菜类,2020-07-01,11:46:34.271,0.393,14.0,销售,否
西兰花,花菜类,2020-07-01,12:00:08.795,0.758,14.0,销售,否
西兰花,花菜类,2020-07-01,12:02:11.615,0.472,14.0,销售,否
西兰花,花菜类,2020-07-01,12:16:02.139,0.479,14.0,销售,否
西兰花,花菜类,2020-07-01,12:16:49.092,0.436,14.0,销售,否
