单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
西峡香菇(1),食用菌,2020-07-01,09:24:21.905,0.217,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,09:28:01.983,0.095,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,09:35:13.164,0.256,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,09:52:14.936,0.184,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,10:09:18.087,0.095,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,10:11:13.217,0.312,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,10:27:16.124,0.239,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,10:32:52.420,0.212,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,10:39:46.217,0.223,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,10:53:29.639,0.228,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,10:58:46.988,0.089,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,10:59:29.397,0.084,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,11:03:38.764,0.256,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,11:41:43.967,0.189,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,11:43:04.358,0.178,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,14:37:08.342,0.106,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,14:37:52.586,0.206,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,15:25:41.076,0.173,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,15:46:23.545,0.39,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,16:11:17.775,0.418,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,16:30:14.274,0.123,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,16:43:15.717,0.217,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,17:36:37.175,0.206,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,17:39:30.486,0.123,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,17:43:17.748,0.195,16.0,销售,是
西峡香菇(1),食用菌,2020-07-01,17:46:13.046,0.195,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,17:54:34.889,0.329,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,17:55:55.824,0.15,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,18:04:37.921,0.039,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,18:13:38.945,0.345,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,18:36:43.985,0.084,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,18:49:31.851,0.178,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,19:00:30.478,0.117,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,19:01:20.498,0.106,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,19:15:24.765,0.178,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,19:25:50.284,0.245,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,19:43:29.685,0.295,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,19:49:19.241,0.139,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,20:31:16.733,0.145,18.0,销售,否
西峡香菇(1),食用菌,2020-07-01,21:00:16.030,0.134,18.0,销售,否
西峡香菇(1),食用菌,2020-07-02,09:22:45.358,0.167,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,09:33:52.670,0.722,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,09:39:09.311,0.197,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,09:48:44.227,0.394,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,09:59:31.104,0.232,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:01:47.608,0.48,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:03:37.245,0.111,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:13:30.102,0.177,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:15:07.701,0.182,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:15:20.084,0.308,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:26:10.309,0.333,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:34:20.889,0.242,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:40:05.726,0.338,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:41:09.358,0.258,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:44:17.717,0.111,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,10:53:35.492,0.207,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,11:36:51.107,0.207,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,12:09:11.676,0.232,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,12:11:20.358,0.136,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,12:13:11.898,0.232,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,12:48:42.373,0.308,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,12:51:58.389,0.227,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,12:54:18.811,0.167,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,13:53:52.202,0.086,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,14:12:45.420,0.232,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,14:44:37.201,0.323,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,16:11:24.326,0.162,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,16:18:58.475,0.061,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,16:51:36.309,0.071,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,17:16:03.998,0.222,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,17:42:11.570,0.182,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,17:44:02.295,0.263,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,17:45:31.998,0.147,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,17:52:26.389,0.172,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:15:28.712,0.167,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:18:36.608,0.237,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:21:50.264,0.056,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:28:20.385,0.152,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:31:36.811,0.384,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:31:50.576,0.46,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:32:09.263,0.187,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:32:32.814,0.212,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:43:04.081,0.283,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:49:49.858,0.217,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,18:54:31.479,0.121,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:02:47.142,0.202,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:08:00.155,0.157,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:10:31.560,0.167,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:16:55.895,0.242,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:18:02.795,0.227,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:22:00.923,0.399,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:28:21.670,0.46,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:36:29.922,0.227,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:44:40.717,0.409,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:45:42.553,0.394,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,19:58:45.576,0.237,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:13:11.320,0.278,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:13:45.826,0.308,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:17:46.717,0.253,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:26:31.139,0.455,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:30:57.264,0.177,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:33:11.561,0.333,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:38:30.405,0.318,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:46:55.733,0.232,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:49:16.303,0.46,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:52:34.713,0.217,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,20:52:41.061,0.152,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,21:01:12.076,0.439,19.8,销售,否
西峡香菇(1),食用菌,2020-07-02,21:10:11.106,0.237,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,09:09:13.136,0.394,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,09:28:01.530,0.253,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,09:34:05.506,0.374,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,09:38:23.135,0.192,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,09:46:18.264,0.182,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,09:57:51.943,0.207,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,09:58:05.858,0.182,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,10:05:09.123,0.268,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,10:07:51.139,0.212,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,10:08:17.108,0.182,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,10:12:47.373,0.369,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,10:14:46.483,0.364,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,10:15:44.066,0.884,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,10:38:11.076,0.323,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,10:40:38.805,0.096,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,10:49:33.873,0.333,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,10:51:26.000,0.152,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:04:42.670,0.298,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:09:50.797,0.248,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:20:27.514,0.172,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:21:44.360,0.308,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:24:34.255,0.106,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:26:49.586,0.172,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:27:51.842,0.147,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:28:07.544,0.323,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:51:48.985,0.414,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:56:58.951,0.207,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,11:59:35.561,0.167,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,12:04:48.724,0.157,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,12:21:40.873,0.162,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,12:56:19.576,0.222,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,13:12:04.201,0.177,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,14:02:08.201,0.141,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,14:10:37.438,0.192,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,14:50:07.014,0.207,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,15:24:17.467,0.328,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,16:17:15.823,0.152,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,16:20:02.186,0.293,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,16:27:27.382,0.268,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,16:32:25.748,0.222,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,16:40:14.450,0.253,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,16:46:10.499,0.157,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,16:49:36.139,0.237,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,16:53:34.212,0.232,19.8,销售,否
西峡香菇(1),食用菌,2020-07-03,16:55:54.670,0.061,19.8,销售,否
