单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
野藕(2),水生根茎类,2022-11-16,15:55:12.295,0.486,13.0,销售,否
野藕(2),水生根茎类,2022-11-16,16:45:45.937,0.532,13.0,销售,否
野藕(2),水生根茎类,2022-11-17,10:14:06.658,0.478,13.0,销售,否
野藕(2),水生根茎类,2022-11-17,11:14:47.076,0.857,13.0,销售,否
野藕(2),水生根茎类,2022-11-17,19:23:12.816,0.602,13.0,销售,否
野藕(2),水生根茎类,2022-11-17,20:13:17.436,0.494,13.0,销售,否
野藕(2),水生根茎类,2022-11-18,11:15:04.045,0.486,13.0,销售,否
野藕(2),水生根茎类,2022-11-18,11:15:10.311,0.679,13.0,销售,否
野藕(2),水生根茎类,2022-11-19,13:57:08.075,0.471,13.0,销售,否
野藕(2),水生根茎类,2022-11-19,17:17:18.482,0.463,13.0,销售,否
野藕(2),水生根茎类,2022-11-19,17:48:08.858,0.741,13.0,销售,否
野藕(2),水生根茎类,2022-11-19,17:58:35.013,0.88,13.0,销售,否
野藕(2),水生根茎类,2022-11-19,17:58:51.708,0.525,13.0,销售,否
野藕(2),水生根茎类,2022-11-19,18:04:02.545,0.586,13.0,销售,否
野藕(2),水生根茎类,2022-11-19,18:31:00.379,0.895,13.0,销售,否
野藕(2),水生根茎类,2022-11-20,19:51:04.841,0.463,13.0,销售,否
野藕(2),水生根茎类,2022-11-20,20:33:17.608,0.664,13.0,销售,否
野藕(2),水生根茎类,2022-11-20,20:33:21.67,0.602,13.0,销售,否
野藕(2),水生根茎类,2022-11-21,18:34:14.514,0.494,13.0,销售,否
