单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
银耳(朵),食用菌,2020-09-29,21:43:57.856,1.0,4.9,销售,否
银耳(朵),食用菌,2020-12-07,19:31:36.996,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-09,18:51:20.154,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-11,19:52:53.926,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-12,09:59:39.436,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-12,17:26:17.858,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-13,15:36:25.312,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-13,16:14:02.091,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-13,16:28:55.838,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-13,18:17:17.553,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-16,17:25:19.673,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-16,18:52:08.264,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-17,12:33:34.231,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-18,09:46:56.202,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-21,10:47:23.728,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-21,15:08:41.410,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-22,10:01:10.630,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-23,11:01:15.545,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-24,13:08:02.530,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-24,15:00:20.451,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-24,19:20:53.922,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-24,20:29:43.358,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-25,10:27:11.295,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-25,19:00:13.505,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-25,20:58:11.249,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-26,15:37:35.075,1.0,5.9,销售,否
银耳(朵),食用菌,2020-12-26,17:24:28.781,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-03,16:26:11.373,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-08,10:51:12.608,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-09,16:04:36.576,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-09,17:30:55.655,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-10,21:26:40.073,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-12,09:32:46.039,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-15,18:07:24.623,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-15,19:02:38.858,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-16,12:41:56.998,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-17,10:11:04.483,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-17,20:01:06.514,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-21,15:14:36.740,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-23,12:47:43.921,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-26,12:55:12.379,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-27,10:49:02.140,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-27,18:13:35.176,1.0,5.9,销售,否
银耳(朵),食用菌,2021-01-30,18:27:01.631,1.0,5.9,销售,否
银耳(朵),食用菌,2021-02-15,14:34:03.879,1.0,5.9,销售,否
银耳(朵),食用菌,2021-09-03,20:44:10.902,1.0,5.9,销售,否
银耳(朵),食用菌,2021-09-04,16:09:07.658,1.0,5.9,销售,否
银耳(朵),食用菌,2021-09-06,10:10:35.424,1.0,5.9,销售,否
银耳(朵),食用菌,2021-09-06,18:08:33.998,1.0,5.9,销售,否
银耳(朵),食用菌,2022-01-09,16:14:31.645,1.0,5.8,销售,否
银耳(朵),食用菌,2022-01-23,14:11:16.127,1.0,5.8,销售,否
银耳(朵),食用菌,2022-01-23,14:45:31.811,1.0,5.8,销售,否
银耳(朵),食用菌,2022-01-24,21:52:11.957,1.0,5.8,销售,否
银耳(朵),食用菌,2022-01-27,16:59:37.281,1.0,5.8,销售,否
银耳(朵),食用菌,2022-01-27,20:12:17.193,1.0,5.8,销售,否
银耳(朵),食用菌,2022-02-05,11:44:51.667,1.0,5.8,销售,否
银耳(朵),食用菌,2022-02-05,18:17:27.608,1.0,5.8,销售,否
银耳(朵),食用菌,2022-02-07,10:04:20.842,1.0,5.8,销售,否
银耳(朵),食用菌,2022-02-13,11:12:05.670,1.0,5.8,销售,否
银耳(朵),食用菌,2022-02-13,15:14:07.701,1.0,5.8,销售,否
银耳(朵),食用菌,2022-05-13,16:48:48.873,1.0,5.8,销售,否
银耳(朵),食用菌,2022-07-17,20:40:22.879,1.0,2.9,销售,是
银耳(朵),食用菌,2022-08-01,17:00:03.420,1.0,4.9,销售,否
银耳(朵),食用菌,2022-08-01,17:14:56.185,1.0,4.9,销售,否
银耳(朵),食用菌,2022-08-16,17:25:30.048,1.0,4.9,销售,否
银耳(朵),食用菌,2022-08-19,10:15:49.418,1.0,4.9,销售,否
银耳(朵),食用菌,2022-08-19,12:06:36.701,1.0,4.9,销售,否
银耳(朵),食用菌,2022-08-19,12:18:15.058,1.0,4.9,销售,否
银耳(朵),食用菌,2022-08-25,15:59:46.415,1.0,4.9,销售,否
银耳(朵),食用菌,2022-08-25,16:05:34.159,1.0,4.9,销售,否
银耳(朵),食用菌,2022-08-25,17:46:26.617,1.0,4.9,销售,否
银耳(朵),食用菌,2022-08-25,18:12:18.951,1.0,4.9,销售,否
银耳(朵),食用菌,2022-08-25,20:32:21.795,-1.0,4.9,退货,否
银耳(朵),食用菌,2022-09-02,14:58:31.253,1.0,4.9,销售,否
银耳(朵),食用菌,2022-09-02,18:31:01.050,1.0,4.9,销售,否
银耳(朵),食用菌,2022-09-02,20:40:14.983,1.0,2.9,销售,是
银耳(朵),食用菌,2022-09-15,17:10:17.730,1.0,4.9,销售,否
