单品名称,分类名称,销售日期,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售
青尖椒(份),辣椒类,2022-01-08,16:01:28.248,1.0,2.2,销售,否
青尖椒(份),辣椒类,2022-01-08,16:01:43.748,1.0,2.2,销售,否
青尖椒(份),辣椒类,2022-02-14,16:02:52.311,1.0,4.5,销售,否
青尖椒(份),辣椒类,2022-02-14,16:02:54.373,1.0,4.5,销售,否
青尖椒(份),辣椒类,2022-02-15,10:25:52.030,1.0,4.5,销售,否
青尖椒(份),辣椒类,2022-02-15,13:21:27.233,1.0,4.5,销售,否
青尖椒(份),辣椒类,2022-02-18,18:36:29.389,1.0,2.2,销售,否
青尖椒(份),辣椒类,2022-02-19,16:28:26.967,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-02-20,15:33:52.264,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-02-20,17:05:41.826,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-02-20,18:56:03.877,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-21,21:18:16.561,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-22,18:26:27.598,1.0,1.8,销售,是
青尖椒(份),辣椒类,2022-02-22,20:03:01.007,1.0,1.8,销售,是
青尖椒(份),辣椒类,2022-02-22,21:34:38.576,1.0,1.8,销售,是
青尖椒(份),辣椒类,2022-02-23,11:30:47.345,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-02-23,18:39:41.163,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-23,19:18:58.514,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-23,21:04:42.297,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-02-24,09:49:27.608,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-02-24,17:29:34.733,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-02-24,18:15:18.451,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-24,18:15:21.045,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-24,18:47:06.587,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-25,11:15:16.256,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-25,13:05:29.768,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-25,17:00:09.405,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-26,10:03:25.717,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-02-26,12:27:04.920,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-02-26,15:39:41.617,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-02-28,16:50:55.967,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-02-28,20:48:21.201,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-01,12:16:06.295,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-01,17:51:13.951,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-01,20:34:20.454,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-01,20:51:51.527,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-02,21:26:00.181,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-04,09:58:01.149,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-04,13:52:58.530,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-04,13:53:34.592,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-04,15:39:59.654,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-04,19:05:22.764,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-04,20:42:46.037,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-04,20:42:47.100,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-05,16:37:39.811,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-05,16:37:45.373,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-05,18:30:16.061,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-07,17:08:42.884,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-07,21:37:31.965,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-07,21:37:32.059,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-08,15:34:55.841,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-08,15:34:56.386,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-08,17:48:04.249,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-08,18:01:38.160,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-08,19:24:02.186,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-08,20:19:41.717,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-08,21:22:13.218,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-09,21:24:54.490,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-10,11:03:53.498,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-10,11:10:02.085,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-11,15:13:16.596,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-11,21:11:37.280,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-11,21:18:35.398,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-12,09:40:45.592,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-12,09:49:12.420,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-12,10:01:53.170,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-12,13:27:13.795,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-12,21:16:26.186,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-12,21:16:31.139,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-13,18:30:56.291,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-13,20:46:02.688,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-14,15:47:03.718,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-14,17:18:37.201,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-14,17:18:39.811,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-14,18:26:35.155,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-14,18:41:20.811,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-15,11:05:39.209,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-15,21:26:04.796,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-16,10:58:04.866,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-16,11:00:24.270,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-16,15:43:34.389,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-16,18:23:07.043,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-17,11:02:43.342,1.0,2.1,销售,是
青尖椒(份),辣椒类,2022-03-17,15:43:28.624,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-17,17:21:16.311,1.0,2.1,销售,是
青尖椒(份),辣椒类,2022-03-17,20:47:00.045,1.0,2.1,销售,是
青尖椒(份),辣椒类,2022-03-17,21:32:57.872,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-18,21:10:43.623,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-19,11:46:25.717,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-19,12:18:39.640,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-19,13:37:07.233,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-19,17:40:44.847,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-19,18:03:00.483,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-19,18:52:36.514,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-19,20:48:58.733,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-19,20:50:45.858,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-20,10:26:17.592,1.0,3.5,销售,否
青尖椒(份),辣椒类,2022-03-21,19:43:21.399,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-03-22,09:58:23.170,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-03-22,16:16:26.691,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-03-22,18:02:03.889,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-03-22,18:10:54.639,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-03-22,21:29:24.248,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-03-23,10:02:19.545,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-23,16:22:42.114,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-23,19:50:18.116,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-23,20:28:50.606,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-03-24,12:47:27.998,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-03-24,16:51:14.848,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-03-24,18:15:28.245,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-24,21:39:40.296,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-25,12:09:54.341,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-25,21:07:19.868,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-25,21:08:12.886,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-03-25,21:17:08.936,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-03-27,11:19:28.545,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-27,12:35:39.905,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-27,15:36:30.670,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-27,21:05:14.500,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-03-28,17:56:51.326,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-28,18:44:30.061,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-28,19:02:29.907,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-29,10:06:52.061,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-03-29,12:51:08.889,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-29,16:36:58.025,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-29,17:22:51.131,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-29,17:43:11.024,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-03-29,17:43:11.140,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-03-29,18:08:51.307,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-29,20:01:00.380,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-03-30,10:11:42.717,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-30,10:26:04.576,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-30,11:29:03.655,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-30,12:16:30.066,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-03-30,13:35:21.910,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-01,09:14:41.020,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-01,09:40:08.436,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-01,13:33:08.342,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-01,16:07:17.832,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-01,17:17:04.519,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-01,20:30:08.529,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-01,20:30:08.694,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-01,20:30:47.472,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-02,11:05:02.979,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-02,16:25:13.282,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-02,16:46:54.561,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-02,19:29:50.557,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-02,19:32:12.186,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-02,20:13:58.097,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-03,10:29:34.936,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-03,18:16:57.264,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-03,18:18:53.264,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-03,18:18:55.905,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-03,18:23:53.905,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-03,20:42:48.183,1.0,2.5,销售,是
青尖椒(份),辣椒类,2022-04-03,21:09:09.405,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-04,09:44:36.237,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-04,09:49:39.108,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-04,10:38:11.440,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-04,13:45:06.592,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-04,14:50:18.976,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-04,19:36:36.577,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-04,19:36:36.754,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-05,09:49:27.882,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-05,16:37:55.717,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-05,20:37:26.795,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-05,21:31:44.748,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-05,21:31:48.623,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-06,18:53:57.217,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-06,20:05:37.683,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-07,15:51:28.094,1.0,3.4,销售,是
青尖椒(份),辣椒类,2022-04-07,20:23:27.910,1.0,4.9,销售,否
青尖椒(份),辣椒类,2022-04-08,19:10:49.638,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-08,20:50:17.233,1.0,2.7,销售,是
青尖椒(份),辣椒类,2022-04-09,11:37:27.021,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-09,12:19:13.951,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-09,15:01:49.217,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-09,15:36:19.108,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-09,18:15:54.686,1.0,2.7,销售,是
青尖椒(份),辣椒类,2022-04-09,18:56:53.576,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-09,20:07:04.154,1.0,2.7,销售,是
青尖椒(份),辣椒类,2022-04-10,12:00:16.501,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-11,09:38:02.285,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-11,10:05:52.321,1.0,2.7,销售,是
青尖椒(份),辣椒类,2022-04-11,10:15:20.108,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-11,20:24:16.576,1.0,2.7,销售,是
青尖椒(份),辣椒类,2022-04-12,16:03:27.897,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-13,10:43:44.358,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-13,19:35:39.357,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-14,17:46:56.826,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-14,17:47:04.420,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-16,12:56:38.960,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-16,16:30:20.420,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-16,16:53:33.143,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-16,18:01:34.295,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-16,20:07:09.060,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-17,10:06:46.670,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-17,12:59:45.711,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-17,13:19:51.701,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-17,15:09:48.236,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-17,15:16:22.608,1.0,3.9,销售,否
青尖椒(份),辣椒类,2022-04-17,17:06:15.153,1.0,3.9,销售,否
